,,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월
2017,51,서울특별시 광진구 자양로54길 11 (구의동),서울특별시 광진구 구의2동 22-7,생활방범,1,2014-12
2017,52,서울특별시 광진구 자양로51길 10-9 (구의동),서울특별시 광진구 구의2동 28-8,생활방범,3,2017-04
2017,53,서울특별시 광진구 영화사로16길 19 (구의동),서울특별시 광진구 구의2동 20-11,생활방범,1,2014-12
2017,54,"서울특별시 광진구 영화사로16나길 21 (구의동, 삼성홈타운)",서울특별시 광진구 구의2동 23-13,생활방범,1,2014-12
2017,55,서울특별시 광진구 자양로52길 11 (구의동),서울특별시 광진구 구의2동 25-25,생활방범,1,2015-12
2017,56,"서울특별시 광진구 자양로44길 125 (구의동, 상빌리지)",서울특별시 광진구 구의2동 35-36,생활방범,1,2014-12
2017,57,"서울특별시 광진구 자양로44나길 26-14 (구의동, 대원빌라)",서울특별시 광진구 구의2동 43-24,생활방범,1,2014-12
2017,58,"서울특별시 광진구 자양로44나길 39 (구의동, 신흥아트빌)",서울특별시 광진구 구의2동 45-25,생활방범,3,2014-12
2017,59,"서울특별시 광진구 천호대로137길 38 (구의동, 현대아트빌)",서울특별시 광진구 구의2동 46-28,생활방범,1,2013-12
2017,60,"서울특별시 광진구 자양로49길 15-2 (구의동, 현대아트빌라)",서울특별시 광진구 구의2동 51-23,생활방범,1,2014-12
2017,61,서울특별시 광진구 자양로43길 8 (구의동),서울특별시 광진구 구의2동 55-18,생활방범,1,2014-12
2017,62,"서울특별시 광진구 영화사로11길 22 (구의동, 상평그린빌)",서울특별시 광진구 구의2동 554-5,생활방범,1,2014-12
2017,63,서울특별시 광진구 영화사로15길 23 (구의동),서울특별시 광진구 구의2동 553-3,생활방범,2,2017-04
2017,64,서울특별시 광진구 천호대로135길 16 (구의동),서울특별시 광진구 구의2동 57-17,생활방범,4,2013-12
2017,65,서울특별시 광진구 천호대로137길 10 (구의동),서울특별시 광진구 구의2동 58-16,생활방범,1,2015-12
2017,66,서울특별시 광진구 자양로42길 42-24 (구의동),서울특별시 광진구 구의2동 60-23,생활방범,1,2014-12
2017,67,"서울특별시 광진구 자양로37길 33 (구의동, 지은아트빌)",서울특별시 광진구 구의2동 617-3,생활방범,1,2017-04
2017,68,서울특별시 광진구 자양로37길 21 (구의동),서울특별시 광진구 구의2동 618-1,생활방범,1,2014-12
2017,69,서울특별시 광진구 자양로33길 44 (구의동),서울특별시 광진구 구의2동 619-3,생활방범,1,2015-12
2017,70,서울특별시 광진구 천호대로134길 55 (구의동),서울특별시 광진구 구의2동 64-33,생활방범,4,2014-12
2017,71,서울특별시 광진구 자양로36길 17-12 (구의동),서울특별시 광진구 구의2동 65-15,생활방범,1,2017-04
2017,72,서울특별시 광진구 자양로36길 11 (구의동),서울특별시 광진구 구의2동 69-28,생활방범,1,2017-04
2017,73,서울특별시 광진구 천호대로132길 27-7 (구의동),서울특별시 광진구 구의2동 78-38,생활방범,1,2015-12
2017,74,서울특별시 광진구 구의동 203-26 숲속어린이집,서울특별시 광진구 구의3동 203-26,생활방범,1,2011-12
2017,75,"서울특별시 광진구 구의로16길 36 (구의동, 명성맨션)",서울특별시 광진구 구의3동 204-32,생활방범,1,2014-12
2017,76,서울특별시 광진구 구의로16길 68 (구의동),서울특별시 광진구 구의3동 205-3,생활방범,1,2014-12
2017,77,서울특별시 광진구 광나루로52길 12 (구의동),서울특별시 광진구 구의3동 206-10,생활방범,1,2015-12
2017,78,서울특별시 광진구 아차산로65길 14 (구의동),서울특별시 광진구 구의3동 206-12,생활방범,1,2015-12
2017,79,서울특별시 광진구 구의로4길 51 (구의동),서울특별시 광진구 구의3동 207-40,생활방범,4,2013-12
2017,80,"서울특별시 광진구 구의로6길 21 (구의동, 뉴현대빌라)",서울특별시 광진구 구의3동 208-26,생활방범,1,2012-12
2017,81,"서울특별시 광진구 아차산로63길 37 (구의동, 청호)",서울특별시 광진구 구의3동 209-77,생활방범,3,2017-12
2017,82,서울특별시 광진구 구의로4길 40 (구의동),서울특별시 광진구 구의3동 210-14,생활방범,1,2017-04
2017,83,서울특별시 광진구 구의로4길 60 (구의동),서울특별시 광진구 구의3동 211-13,생활방범,1,2012-12
