기간	구분	고가차도	고가차도	고가차도	입체교차로	입체교차로	입체교차로	터널	터널	터널	지하차도	지하차도	지하차도	지하보도	지하보도	지하보도	보도육교	보도육교	보도육교	복개구조물	복개구조물	복개구조물	공동구	공동구	공동구	언더패스	언더패스	언더패스	가로등
기간	구분	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소
2014	합계	96	83,091	1,381,377	28	14,549	154,803	41	25,177	444,558	142	41,797	668,860	89	4,942	49,724	166	7,807	52,307	71	81,110	1,046,386	6	66,585	184,200	6	1,593	19,630	256,256
2014	도시안전실	36	68,600	1,175,997	20	12,335	123,594	3	4,728	115,450	28	10,657	179,575	-	-	-	-	-	-	1	230	2,070	6	66,585	184,200	6	1,593	19,630	36,132
2014	동부도로사업소	1	71	1,306	-	-	-	3	2,872	54,927	16	4,646	67,350	-	-	-	-	-	-	1	394	15,760	-	-	-	-	-	-	5,501
2014	서부도로사업소	15	3,955	58,496	2	458	6,693	5	6,802	85,349	12	3,682	53,017	-	-	-	-	-	-	12	17,452	266,644	-	-	-	-	-	-	11,580
2014	남부도로사업소	8	2,563	35,782	-	-	-	7	3,477	68,051	10	3,554	56,201	-	-	-	-	-	-	14	17,191	293,359	-	-	-	-	-	-	7,189
2014	북부도로사업소	9	985	12,390	-	-	-	8	4,187	64,295	8	2,241	42,106	-	-	-	-	-	-	15	15,659	236,703	-	-	-	-	-	-	6,325
2014	성동도로사업소	8	1,499	24,359	-	-	-	3	740	14,992	12	3,325	50,614	-	-	-	-	-	-	1	4,715	35,431	-	-	-	-	-	-	4,296
2014	강서도로사업소	7	2,171	38,291	6	1,756	24,516	5	805	18,920	17	6,874	133,028	-	-	-	-	-	-	4	2,882	31,742	-	-	-	-	-	-	7,447
2014	종로구	-	-	-	-	-	-	-	-	-	1	209	1,762	4	320	3,791	3	162	968	2	160	775	-	-	-	-	-	-	8,988
2014	중구	-	-	-	-	-	-	-	-	-	1	109	858	14	979	9,364	3	85	547	-	-	-	-	-	-	-	-	-	9,200
2014	용산구	1	256	4,096	-	-	-	-	-	-	5	1,082	29,584	4	117	779	16	590	3,423	-	-	-	-	-	-	-	-	-	6,886
2014	성동구	-	-	-	-	-	-	-	-	-	2	90	1,007	6	155	1,810	4	100	782	-	-	-	-	-	-	-	-	-	5,532
2014	광진구	-	-	-	-	-	-	-	-	-	1	72	504	3	238	1,467	-	-	-	-	-	-	-	-	-	-	-	-	4,982
2014	동대문구	4	2,219	22,653	-	-	-	-	-	-	7	1,919	15,180	2	87	610	9	350	2,230	2	1,171	3,606	-	-	-	-	-	-	7,738
2014	중랑구	-	-	-	-	-	-	-	-	-	1	300	3,088	3	209	614	4	109	668	-	-	-	-	-	-	-	-	-	5,598
2014	성북구	-	-	-	-	-	-	-	-	-	5	401	6,841	3	94	1,303	5	331	1,480	2	1,390	19,110	-	-	-	-	-	-	5,306
2014	강북구	-	-	-	-	-	-	1	815	12,225	-	-	-	-	-	-	2	50	321	5	4,583	35,938	-	-	-	-	-	-	4,352
2014	도봉구	-	-	-	-	-	-	-	-	-	1	315	3,014	-	-	-	-	-	-	1	870	5,505	-	-	-	-	-	-	4,388
2014	노원구	1	122	2,318	-	-	-	-	-	-	3	512	4,766	6	222	3,797	7	638	3,274	3	2,264	11,712	-	-	-	-	-	-	8,966
2014	은평구	-	-	-	-	-	-	1	340	3,400	-	-	-	-	-	-	1	22	194	-	-	-	-	-	-	-	-	-	8,008
2014	서대문구	2	141	1,569	-	-	-	-	-	-	-	-	-	2	78	909	8	271	1,643	2	1,595	15,417	-	-	-	-	-	-	5,705
2014	마포구	1	20	284	-	-	-	-	-	-	1	130	1,287	2	72	1,180	2	48	407	1	956	18,355	-	-	-	-	-	-	7,475
2014	양천구	1	150	1,163	-	-	-	-	-	-	-	-	-	2	69	291	16	1,106	7,109	-	-	-	-	-	-	-	-	-	7,277
2014	강서구	-	-	-	-	-	-	-	-	-	-	-	-	3	244	2,491	4	273	1,388	-	-	-	-	-	-	-	-	-	6,520
2014	구로구	-	-	-	-	-	-	2	67	2,546	4	596	4,543	8	246	2,728	9	388	5,731	1	3,624	3,980	-	-	-	-	-	-	7,336
2014	금천구	-	-	-	-	-	-	2	234	2,808	1	60	240	-	-	-	9	501	2,694	1	750	9,000	-	-	-	-	-	-	4,669
2014	영등포구	-	-	-	-	-	-	-	-	-	-	-	-	1	27	284	6	274	1,410	-	-	-	-	-	-	-	-	-	9,026
2014	동작구	2	339	2,673	-	-	-	-	-	-	3	402	3,825	4	137	1,585	10	394	2,466	1	2,113	6,339	-	-	-	-	-	-	5,087
2014	관악구	-	-	-	-	-	-	1	110	1,595	-	-	-	1	34	595	8	362	3,821	1	1,340	24,120	-	-	-	-	-	-	5,170
2014	서초구	-	-	-	-	-	-	-	-	-	1	137	824	6	341	2,688	16	668	5,088	-	-	-	-	-	-	-	-	-	10,920
2014	강남구	-	-	-	-	-	-	-	-	-	-	-	-	7	728	6,087	10	419	2,790	-	-	-	-	-	-	-	-	-	12,042
2014	송파구	-	-	-	-	-	-	-	-	-	2	484	9,646	7	511	6,752	5	240	1,117	1	1,771	10,820	-	-	-	-	-	-	9,351
2014	강동구	-	-	-	-	-	-	-	-	-	-	-	-	1	34	599	9	426	2,756	-	-	-	-	-	-	-	-	-	7,264
