기간	구분	고가차도	고가차도	고가차도	입체교차로	입체교차로	입체교차로	터널	터널	터널	지하차도	지하차도	지하차도	지하보도	지하보도	지하보도	보도육교	보도육교	보도육교	복개구조물	복개구조물	복개구조물	공동구	공동구	공동구	언더패스	언더패스	언더패스	가로등
기간	구분	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소
2018	합계	93	82,540	1,371,095	40	12,617	140,790	46	24,838	448,898	150	45,457	737,940	81	4,866	49,086	155	7,745	51,891	73	82,715	1,077,663	7	69,442	192,382	6	1,593	19,630	273,594
2018	안전총괄본부	35	68,588	1,176,139	30	10,314	107,025	4	5,208	129,112	28	9,777	167,969	-	-	-	-	-	-	1	230	2,070	7	69,442	192,382	6	1,593	19,630	35,893
2018	동부도로사업소	1	71	1,306	-	-	-	3	2,872	54,927	13	7,070	110,195	-	-	-	-	-	-	1	394	15,760	-	-	-	-	-	-	9,209
2018	서부도로사업소	14	3,763	54,545	2	456	6,663	6	7,297	108,758	12	3,563	49,285	-	-	-	-	-	-	12	17,452	266,644	-	-	-	-	-	-	9,608
2018	남부도로사업소	8	2,563	35,782	2	91	2,586	6	1,958	35,409	11	3,744	61,432	-	-	-	-	-	-	14	17,335	306,349	-	-	-	-	-	-	7,428
2018	북부도로사업소	9	1,055	12,832	-	-	-	8	4,193	64,295	9	2,268	42,407	-	-	-	-	-	-	16	16,041	240,431	-	-	-	-	-	-	6,881
2018	성동도로사업소	9	1,769	28,431	-	-	-	3	740	14,992	12	3,325	50,614	-	-	-	-	-	-	1	4,715	35,431	-	-	-	-	-	-	4,837
2018	강서도로사업소	6	1,634	28,467	6	1,756	24,516	5	805	14,500	22	8,630	165,107	-	-	-	-	-	-	4	2,904	31,742	-	-	-	-	-	-	10,507
2018	종로구	-	-	-	-	-	-	-	-	-	1	209	1,762	5	580	5,765	3	163	873	2	160	775	-	-	-	-	-	-	9,220
2018	중구	-	-	-	-	-	-	-	-	-	1	109	858	13	921	8,979	2	55	322	-	-	-	-	-	-	-	-	-	8,694
2018	용산구	1	256	4,096	-	-	-	-	-	-	5	1,082	29,584	4	117	779	13	502	2,918	1	390	7,800	-	-	-	-	-	-	7,248
2018	성동구	-	-	-	-	-	-	-	-	-	4	136	1,204	5	192	1,881	4	151	1,149	-	-	-	-	-	-	-	-	-	5,780
2018	광진구	-	-	-	-	-	-	-	-	-	1	72	504	2	187	1,049	-	-	-	-	-	-	-	-	-	-	-	-	4,774
2018	동대문구	4	2,219	22,653	-	-	-	-	-	-	7	1,919	15,180	2	87	610	8	337	1,948	2	1,171	3,606	-	-	-	-	-	-	8,149
2018	중랑구	-	-	-	-	-	-	-	-	-	1	300	3,088	2	154	394	6	187	1,316	-	-	-	-	-	-	-	-	-	5,729
2018	성북구	-	-	-	-	-	-	-	-	-	5	401	6,841	3	94	1,303	5	331	1,480	2	1,390	19,110	-	-	-	-	-	-	5,301
2018	강북구	-	-	-	-	-	-	1	815	12,225	-	-	-	-	-	-	1	22	108	5	4,583	35,938	-	-	-	-	-	-	4,525
2018	도봉구	-	-	-	-	-	-	-	-	-	1	315	3,014	-	-	-	-	-	-	1	870	5,505	-	-	-	-	-	-	4,471
2018	노원구	1	122	2,318	-	-	-	1	45	540	3	512	4,766	6	222	3,797	7	638	3,274	3	2,264	11,712	-	-	-	-	-	-	9,270
2018	은평구	-	-	-	-	-	-	1	340	3,400	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6,428
2018	서대문구	2	141	1,569	-	-	-	-	-	-	-	-	-	2	78	909	7	248	1,473	2	1,595	15,417	-	-	-	-	-	-	6,075
2018	마포구	1	20	284	-	-	-	-	-	-	1	130	1,287	1	36	590	3	84	761	1	956	18,355	-	-	-	-	-	-	8,177
2018	양천구	-	-	-	-	-	-	-	-	-	-	-	-	2	69	291	15	1,053	6,818	-	-	-	-	-	-	-	-	-	7,833
2018	강서구	-	-	-	-	-	-	-	-	-	-	-	-	2	201	2,028	4	306	1,426	-	-	-	-	-	-	-	-	-	6,682
2018	구로구	-	-	-	-	-	-	3	101	2,833	4	596	4,543	5	142	2,266	9	388	5,731	1	3,624	3,980	-	-	-	-	-	-	7,490
2018	금천구	-	-	-	-	-	-	2	234	2,808	-	-	-	1	26	143	8	456	2,426	1	750	9,000	-	-	-	-	-	-	5,294
2018	영등포구	-	-	-	-	-	-	-	-	-	-	-	-	1	27	284	8	487	3,172	-	-	-	-	-	-	-	-	-	9,500
2018	동작구	2	339	2,673	-	-	-	-	-	-	4	490	4,705	4	137	1,585	5	254	1,452	1	2,780	16,500	-	-	-	-	-	-	5,568
2018	관악구	-	-	-	-	-	-	1	110	1,595	-	-	-	1	34	595	9	400	4,235	1	1,340	20,718	-	-	-	-	-	-	4,894
2018	서초구	-	-	-	-	-	-	1	56	1,008	2	284	3,766	6	334	2,944	17	713	5,268	-	-	-	-	-	-	-	-	-	12,691
2018	강남구	-	-	-	-	-	-	-	-	-	-	-	-	7	728	6,087	10	419	2,790	-	-	-	-	-	-	-	-	-	14,193
2018	송파구	-	-	-	-	-	-	1	64	2,496	2	484	9,646	6	466	6,208	2	140	420	1	1,771	10,820	-	-	-	-	-	-	13,263
2018	강동구	-	-	-	-	-	-	-	-	-	1	41	182	1	34	599	9	411	2,532	-	-	-	-	-	-	-	-	-	7,982
