기간	구분	고가차도	고가차도	고가차도	입체교차로	입체교차로	입체교차로	터널	터널	터널	지하차도	지하차도	지하차도	지하보도	지하보도	지하보도	보도육교	보도육교	보도육교	복개구조물	복개구조물	복개구조물	공동구	공동구	공동구	언더패스	언더패스	언더패스	가로등
기간	구분	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소
2013	합계	98	79,218	1,347,290	28	12,785	147,024	39	22,810	352,279	131	37,801	591,732	88	4,901	49,624	165	7,730	50,642	71	81,110	1,046,386	6	66,585	184,200	6	1,586	19,556	254,509
2013	도시안전실	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	66,585	184,200	-	-	-	36,386
2013	동부도로사업소	3	8,873	157,857	2	934	24,639	3	1,690	32,471	12	3,849	70,355	-	-	-	-	-	-	1	394	15,760	-	-	-	-	-	-	3,677
2013	서부도로사업소	23	23,077	358,361	2	458	6,693	5	6,802	85,349	14	4,477	63,586	-	-	-	-	-	-	12	17,452	266,644	-	-	-	-	-	-	11,669
2013	남부도로사업소	25	15,319	214,575	2	3,512	26,995	7	3,477	68,051	12	4,332	72,200	-	-	-	-	-	-	14	17,191	293,359	-	-	-	-	-	-	7,009
2013	북부도로사업소	12	11,057	232,344	4	2,724	20,600	10	7,737	112,214	12	3,625	62,156	-	-	-	-	-	-	15	15,659	236,703	-	-	-	4	1,036	11,306	6,706
2013	성동도로사업소	11	13,629	285,310	8	1,253	9,502	3	740	14,992	14	4,130	55,541	-	-	-	-	-	-	1	4,715	35,431	-	-	-	2	550	8,250	4,325
2013	강서도로사업소	12	4,016	64,087	10	3,904	58,595	5	832	18,920	30	11,243	190,412	-	-	-	-	-	-	5	3,112	33,812	-	-	-	-	-	-	7,408
2013	종로구	-	-	-	-	-	-	-	-	-	1	209	1,762	4	320	3,791	3	162	968	2	160	775	-	-	-	-	-	-	8,975
2013	중구	-	-	-	-	-	-	-	-	-	1	109	858	14	979	9,364	3	85	547	-	-	-	-	-	-	-	-	-	9,281
2013	용산구	1	256	4,096	-	-	-	-	-	-	5	1,082	29,584	4	117	779	16	590	3,423	-	-	-	-	-	-	-	-	-	6,816
2013	성동구	-	-	-	-	-	-	-	-	-	2	90	1,007	6	155	1,810	3	73	438	-	-	-	-	-	-	-	-	-	5,389
2013	광진구	-	-	-	-	-	-	-	-	-	1	72	504	3	238	1,467	-	-	-	-	-	-	-	-	-	-	-	-	4,927
2013	동대문구	4	2,219	22,653	-	-	-	-	-	-	7	1,919	15,180	2	87	610	10	372	2,396	2	1,171	3,606	-	-	-	-	-	-	7,377
2013	중랑구	-	-	-	-	-	-	-	-	-	1	300	3,088	3	209	614	4	109	668	-	-	-	-	-	-	-	-	-	5,297
2013	성북구	-	-	-	-	-	-	-	-	-	5	401	6,841	3	94	1,303	5	331	1,480	2	1,390	19,110	-	-	-	-	-	-	5,281
2013	강북구	-	-	-	-	-	-	1	815	12,225	-	-	-	-	-	-	2	50	321	5	4,583	35,938	-	-	-	-	-	-	4,336
2013	도봉구	-	-	-	-	-	-	-	-	-	1	315	3,014	-	-	-	-	-	-	1	870	5,505	-	-	-	-	-	-	4,797
2013	노원구	1	122	2,318	-	-	-	-	-	-	3	334	4,766	6	206	3,797	7	643	3,296	3	2,264	11,712	-	-	-	-	-	-	8,944
2013	은평구	-	-	-	-	-	-	1	340	2,400	-	-	-	-	-	-	1	22	194	-	-	-	-	-	-	-	-	-	8,125
2013	서대문구	2	141	1,569	-	-	-	-	-	-	-	-	-	2	78	909	9	305	1,907	2	1,595	15,417	-	-	-	-	-	-	5,641
2013	마포구	1	20	284	-	-	-	-	-	-	1	130	1,287	2	72	1,180	2	48	407	1	956	18,355	-	-	-	-	-	-	7,312
2013	양천구	1	150	1,163	-	-	-	-	-	-	-	-	-	2	69	291	16	1,106	7,109	-	-	-	-	-	-	-	-	-	7,286
2013	강서구	-	-	-	-	-	-	-	-	-	-	-	-	3	244	2,491	4	273	1,388	-	-	-	-	-	-	-	-	-	6,871
2013	구로구	-	-	-	-	-	-	1	33	1,254	4	596	4,543	7	221	2,628	9	388	5,731	1	3,624	3,980	-	-	-	-	-	-	6,918
2013	금천구	-	-	-	-	-	-	2	234	2,808	1	60	240	-	-	-	9	501	2,696	1	750	9,000	-	-	-	-	-	-	4,668
2013	영등포구	-	-	-	-	-	-	-	-	-	-	-	-	1	27	284	6	274	1,410	-	-	-	-	-	-	-	-	-	8,810
2013	동작구	2	339	2,673	-	-	-	-	-	-	3	402	3,825	4	137	1,585	10	394	2,466	1	2,113	6,339	-	-	-	-	-	-	5,087
2013	관악구	-	-	-	-	-	-	1	110	1,595	-	-	-	1	34	595	8	362	3,821	1	1,340	24,120	-	-	-	-	-	-	5,160
2013	서초구	-	-	-	-	-	-	-	-	-	-	-	-	6	341	2,688	14	557	3,313	-	-	-	-	-	-	-	-	-	10,694
2013	강남구	-	-	-	-	-	-	-	-	-	-	-	-	7	728	6,087	10	419	2,790	-	-	-	-	-	-	-	-	-	12,292
2013	송파구	-	-	-	-	-	-	-	-	-	1	126	983	7	511	6,752	5	240	1,117	1	1,771	10,820	-	-	-	-	-	-	10,095
2013	강동구	-	-	-	-	-	-	-	-	-	-	-	-	1	34	599	9	426	2,756	-	-	-	-	-	-	-	-	-	6,950
