인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명,X좌표,Y좌표
20200713,영업,0,서울특별시 중랑구 면목동 156-23,서울특별시 중랑구 동일로92길 49 1층 (면목동),씨유 중랑센트럴아이파크점,편의점,127.082705147456,37.5834864631227
20200713,영업,0,서울특별시 송파구 오금동 42-5,서울특별시 송파구 마천로 70-16 1층 102호103호 (오금동),씨유 현대행운점,편의점,127.127750795835,37.507124066058395
20200713,영업,0,서울특별시 관악구 신림동 608-30,서울특별시 관악구 난우길 20 지하1층 (신림동),애견용품할인매장,편의점,126.918645356038,37.4747795063959
20200713,영업,0,서울특별시 강서구 등촌동 518-24 (지상 1층),서울특별시 강서구 등촌로39마길 24 1층 (등촌동),미니스톱 등촌우리점,편의점,126.858845640884,37.54641598350489
20170724,영업,0,서울특별시 금천구 가산동 345-33 에이스하이엔드타워7차 104호,서울특별시 금천구 가산디지털2로 67 104호 (가산동 에이스하이엔드타워7차),규젤(GUZEL),편의점,126.88115588123699,37.474204348377
20140508,폐업,20200713,서울특별시 동대문구 전농동 38-104 1층,서울특별시 동대문구 전농로16길 54 1층 (전농동),윤언니네 카페,편의점,127.060377827267,37.5781116025386
20200714,영업,0,서울특별시 중랑구 면목동 1515 성원아파트,서울특별시 중랑구 용마산로 276 성원아파트 상가동 1층 101호 (면목동),씨유 중랑용마점,편의점,127.090731767812,37.5774850852518
20190620,폐업,20200714,서울특별시 강남구 역삼동 670-9,서울특별시 강남구 테헤란로27길 30 지상1층 (역삼동),어반소스카페,편의점,127.037507530985,37.5033945903678
20160624,폐업,20200714,서울특별시 마포구 성산동 242-5 지1층일부,서울특별시 마포구 성미산로 52 (성산동 지1층일부),워크룸케이브,편의점,126.91385419431101,37.559042171390296
20200715,영업,0,서울특별시 영등포구 영등포동7가 68-3,서울특별시 영등포구 국회대로46길 5 1층 (영등포동7가),씨유영등포자매점,편의점,126.90481256645599,37.5250454773455
20200716,영업,0,서울특별시 강남구 역삼동 658-22,서울특별시 강남구 논현로106길 31 1층 (역삼동),씨유 역삼황제펭귄점,편의점,127.03693852814399,37.506790658632205
20200716,영업,0,서울특별시 동대문구 장안동 418-7,서울특별시 동대문구 한천로2길 81 1층 (장안동),더리터 장한평점,편의점,127.063017060157,37.562688698925705
20200409,영업,0,서울특별시 은평구 진관동 194-4,서울특별시 은평구 연서로50길 7 1층 (진관동),소성,편의점,126.938587488034,37.6408805565434
20191115,영업,0,서울특별시 도봉구 창동 135-26 창동EMART,서울특별시 도봉구 노해로65길 4 창동EMART 1층 (창동),송사부수제쌀고로케 이마트창동점,편의점,127.04732810898199,37.6520217634045
20200113,영업,0,서울특별시 강동구 둔촌동 430번지,서울특별시 강동구 양재대로102길 39 (둔촌동),월디커피로스터스,편의점,127.140454900061,37.5322903182213
20200717,영업,0,서울특별시 노원구 상계동 683,서울특별시 노원구 한글비석로 477 백운유치원 1층 (상계동),씨유 노원 보람점,편의점,127.064995661896,37.664224628723204
20181207,폐업,20200602,서울특별시 광진구 중곡동 622-5번지 102호,서울특별시 광진구 면목로 67-4 1층 102호 (중곡동),달콤,편의점,127.077832108832,37.559985431750604
20160307,폐업,20200716,서울특별시 서대문구 연희동 115-41 1층,서울특별시 서대문구 연희로11마길 8 1층 (연희동),노크(knock),편의점,126.928221482807,37.5690319341006
20151224,폐업,20200717,서울특별시 강서구 화곡동 1051-27 (지상 1층),서울특별시 강서구 강서로 179 1층 (화곡동 3동),롯데쇼핑(주) 롯데마켓999,편의점,126.839331238239,37.5423697075161
20140822,폐업,20200717,서울특별시 중랑구 면목동 183-24 지상1층,서울특별시 중랑구 봉우재로 41 1층 (면목동),GS25동부시장점,편의점,127.077868378309,37.590801758150704
20200717,영업,0,서울특별시 중랑구 면목동 172-84,서울특별시 중랑구 동일로91길 20 1층 (면목동),지에스(GS) 25 면목라온점,편의점,127.078453001168,37.5830657187756
20200717,영업,0,서울특별시 강남구 논현동 123-11 논현1호주차장,서울특별시 강남구 학동로6길 19 논현1호주차장 지하1층 b-1호 (논현동),스타 카페,편의점,127.02459416713002,37.5106934224151
20200717,영업,0,서울특별시 도봉구 창동 418 도봉문화정보도서관,서울특별시 도봉구 덕릉로 315 도봉문화정보도서관 1층 (창동),마을카페 책마루,편의점,127.044001630518,37.6445695760629
20200717,영업,0,서울특별시 서초구 서초동 1339-2 서초 스페이스다온 1동 301호,서울특별시 서초구 효령로 423 서초 스페이스다온 1동 301호 (서초동),카페 무가공,편의점,127.029948535984,37.4893131136386
