,,인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명
2017,86,20140922,영업,0,서울특별시 서초구 양재동 138-4번지 101호,서울특별시 서초구 바우뫼로 101 101호 (양재동),이마트24 양재우성점,편의점
2017,87,20030115,영업,0,서울특별시 서초구 양재동 249-4번지 1층,서울특별시 서초구 마방로 12 1층 (양재동),세븐일레븐(양재7호점),편의점
2017,88,19951113,영업,0,서울특별시 종로구 평창동 343-1번지 ,서울특별시 종로구 평창11길 17 (평창동),세븐일레븐 평창점,편의점
2017,89,19950605,영업,0,서울특별시 종로구 낙원동 178-0번지 ,서울특별시 종로구 수표로 110 (낙원동),세븐일레븐탑골공원점,편의점
2017,92,20070907,영업,0,서울특별시 종로구 평동 85-15번지 (지상1층) ,서울특별시 종로구 경교장길 8 (평동(지상1층)),그라찌에 중앙대학교 평동캠퍼스점,편의점
2017,95,20170228,영업,0,서울특별시 종로구 공평동 144번지 104호 ,서울특별시 종로구 삼봉로 94 1층 104호 (공평동),GS25시94빌딩점,편의점
2017,108,20090609,영업,0,서울특별시 종로구 평동 164번지 ,서울특별시 종로구 새문안로 9 (평동),세븐일레븐(서울적십자병원점),편의점
2017,112,20150429,영업,0,서울특별시 종로구 삼청동 22번지 지상1층 ,서울특별시 종로구 삼청로 132 지상1층 (삼청동),씨유종로 삼청점,편의점
2017,113,20150430,영업,0,서울특별시 종로구 와룡동 84번지 ,서울특별시 종로구 돈화문로 76 1층 (와룡동),카페 에쏘미오(ESPRESSO MIO),편의점
2017,114,20140116,영업,0,서울특별시 종로구 동숭동 1-83번지 1층 ,서울특별시 종로구 동숭길 101 지상 1층 (동숭동),써브웨이 대학로점,편의점
2017,115,20170727,영업,0,서울특별시 종로구 연건동 315번지 ,서울특별시 종로구 율곡로 191-1 (연건동),GS25 종로율곡로점,편의점
2017,116,20131021,영업,0,서울특별시 종로구 옥인동 102-6번지 ,서울특별시 종로구 옥인길 2 1층 (옥인동),라온,편의점
2017,117,20170213,영업,0,서울특별시 종로구 청진동 70번지 그랑서울1층102호 ,서울특별시 종로구 종로 33 1층 102호 (청진동 그랑서울),GS25 그랑서울본,편의점
2017,118,20130206,영업,0,서울특별시 종로구 관수동 4-4번지 ,서울특별시 종로구 종로16길 11 1층 (관수동),씨유 종로2가점,편의점
2017,119,20131202,영업,0,서울특별시 종로구 청진동 1번지 ,서울특별시 종로구 종로5길 46 1.2층 (청진동),카페이든(Cafe E:den),편의점
2017,120,20131203,영업,0,서울특별시 종로구 혜화동 9-8번지 1층 ,서울특별시 종로구 혜화로 50-1 1층 (혜화동),착한 커피,편의점
2017,121,20031113,영업,0,서울특별시 종로구 계동 144-2번지 1층 ,서울특별시 종로구 계동길 15 1층 (계동),쥬씨,편의점
2017,122,20140821,영업,0,서울특별시 종로구 숭인동 63-1번지 지상1층 ,서울특별시 종로구 지봉로10길 2 지상1층 (숭인동),씨유 종로숭인점,편의점
2017,123,20101001,영업,0,서울특별시 종로구 돈의동 137번지 (지하2층) ,서울특별시 종로구 돈화문로5가길 1 (돈의동(지하2층)),CGV 피카디리1958,편의점
2017,124,20130315,영업,0,서울특별시 종로구 신문로1가 58-18번지 ,서울특별시 종로구 경희궁길 4 1층 (신문로1가),(주)비지에프리테일 종로경희궁점,편의점
2017,125,20140725,영업,0,서울특별시 종로구 화동 100번지 지상2층 ,서울특별시 종로구 북촌로5가길 12 지상2층 (화동),민스 빈,편의점
2017,126,20170203,영업,0,서울특별시 종로구 명륜4가 113-1번지 1층102호 ,서울특별시 종로구 대학로11길 23 1층 102호 (명륜4가),GS25 명륜스타점,편의점
2017,127,20170208,영업,0,서울특별시 종로구 혜화동 201번지 1층 ,서울특별시 종로구 동숭길 140 1층 (혜화동),GS25동숭점,편의점
2017,128,20100920,영업,0,서울특별시 종로구 수송동 135번지 ,서울특별시 종로구 종로1길 42-1 (수송동),세븐일레븐(세종로점),편의점
2017,129,20130916,영업,0,서울특별시 종로구 삼청동 산 2-1번지 삼청공원내 ,서울특별시 종로구 북촌로 134-3 1층 (삼청동),숲속도서관카페,편의점
2017,130,20130923,영업,0,서울특별시 종로구 가회동 11-61번지 1~2층 ,서울특별시 종로구 창덕궁길 170 1~2층 (가회동),가회 한경헌,편의점
2017,131,20120928,영업,0,서울특별시 종로구 동숭동 169-1번지 ,서울특별시 종로구 대학로 86 (동숭동),카페 락앤락,편의점
2017,132,20130522,영업,0,서울특별시 종로구 봉익동 10-1번지 ,서울특별시 종로구 율곡로10길 105 1층 (봉익동),커피팡,편의점
2017,135,20120405,영업,0,서울특별시 종로구 연건동 134-2번지 지상1층 ,서울특별시 종로구 대학로 79 1층 (연건동),134-2,편의점
2017,136,20120424,영업,0,서울특별시 종로구 재동 106-4번지 (지상1층) ,서울특별시 종로구 북촌로 1 1층 (재동),배스킨라빈스 안국역점,편의점
2017,137,20141015,영업,0,서울특별시 종로구 청진동 201-1번지 ,서울특별시 종로구 종로3길 38 (청진동),GS25 청진본,편의점
2017,138,20141103,영업,0,서울특별시 종로구 청진동 70번지 그랑서울 TOWER1-OA 901호,서울특별시 종로구 종로 33 9층 (청진동 그랑서울),카페 쉐어링 동양생명점,편의점
2017,139,20101123,영업,0,서울특별시 종로구 관철동 12-15번지 2층 ,서울특별시 종로구 종로12길 21 (관철동2층),스타벅스 종로관철점,편의점
2017,140,20110523,영업,0,서울특별시 종로구 평창동 97-9번지 (지상1층) ,서울특별시 종로구 평창30길 19 (평창동(지상1층)),씨유 평창북악점,편의점
2017,141,20111130,영업,0,서울특별시 종로구 종로6가 12-9번지 (지상1층) ,서울특별시 종로구 율곡로 271 지상1층 (종로6가),GS25,편의점
2017,142,20100223,영업,0,서울특별시 종로구 연지동 1-7번지 현대그룹빌딩 동관1층 ,서울특별시 종로구 율곡로 194 (연지동현대그룹빌딩 동관1층),오세븐스,편의점
2017,143,20130712,영업,0,서울특별시 종로구 중학동 19번지 b동 13호,서울특별시 종로구 종로1길 50 B동 지하1층 13호 (중학동 더케이트윈타워),씨유 종로K트윈타워점,편의점
2017,144,20130802,영업,0,서울특별시 종로구 홍지동 59번지 1층 ,서울특별시 종로구 홍지문2길 2 1층 (홍지동),교가루,편의점
