,,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월
2019,32,서울특별시 동대문구 답십리로65길 124-5 (장안동),서울특별시 동대문구 장안동 286-9,시설물관리,8,2014-01
2019,33,서울특별시 동대문구 난계로28길 16 (신설동),서울특별시 동대문구 신설동 114-29,시설물관리,8,2011-01
2019,34,서울특별시 도봉구 마들로11길 20 (창동),서울특별시 도봉구 창동 1-10,시설물관리,14,2011-01
2019,35,서울특별시 도봉구 도봉로 955  (도봉동),서울특별시 도봉구 도봉동 288-19,시설물관리,69,2013-01
2019,36,서울특별시 노원구 동일로246길 8 (상계동),서울특별시 노원구 상계동 1028,시설물관리,8,2011-01
2019,37,서울특별시 금천구 독산로50길 23  (시흥동),서울특별시 금천구 시흥동 산139-2,시설물관리,14,2011-01
2019,38,서울특별시 구로구 오리로 지하1154  (오류동),서울특별시 구로구 오류동 174-5,시설물관리,103,2011-01
2019,39,서울특별시 구로구 도림천로 477  (구로동),서울특별시 구로구 구로동 810-3,시설물관리,17,2011-01
2019,40,서울특별시 구로구 구로중앙로8길 50  (구로동),서울특별시 구로구 구로동 120-5,시설물관리,9,2011-01
2019,41,서울특별시 강서구 양천로 22  (방화동),서울특별시 강서구 방화동 846,시설물관리,8,2011-01
2019,42,서울특별시 강서구 개화동로8길 19  (개화동),서울특별시 강서구 개화동 490-3,시설물관리,73,2011-01
2019,43,서울특별시 강동구 천호대로 1015 (천호동),서울특별시 강동구 천호동 455,시설물관리,141,2015-01
2019,44,서울특별시 강남구 광평로 지하270 (수서동),서울특별시 강남구 수서동 727,시설물관리,14,2011-01
2019,45,서울특별시 강남구 남부순환로 지하3104 (대치동),서울특별시 강남구 대치동 512,시설물관리,23,2011-01
