,,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월
2017,718,서울특별시 강북구 오현로 186,서울특별시 강북구 번3동 155-4,어린이보호,1,2014-01
2017,719,서울특별시 강북구 오현로 186,서울특별시 강북구 번3동 155-4,교통단속,1,2014-01
2017,720,서울특별시 강북구 삼양로19길 153,서울특별시 강북구 삼각산동 1353-8,어린이보호,1,2014-01
2017,721,서울특별시 강북구 삼양로19길?153,서울특별시 강북구 삼각산동 1353-8,교통단속,1,2014-01
2017,722,서울특별시 강북구 솔샘로 160,서울특별시 강북구 삼각산동 1353,어린이보호,1,2014-01
2017,723,서울특별시 강북구 솔샘로 160,서울특별시 강북구 삼각산동 1353,교통단속,1,2014-01
2017,724,서울특별시 강북구 삼양로138길 19,서울특별시 강북구 우이동 72-194,공원및놀이터,1,2013-10
2017,725,서울특별시 강북구 삼양로138길 19,서울특별시 강북구 우이동 72-194,공원및놀이터,1,2013-10
2017,726,서울특별시 강북구 4.19로21길 40,서울특별시 강북구 인수동 535-342,공원및놀이터,1,2013-08
2017,727,서울특별시 강북구 4.19로17길 42-3,서울특별시 강북구 인수동 535-154,공원및놀이터,1,2013-08
2017,728,서울특별시 강북구 삼양로93길 27,서울특별시 강북구 인수동 409-104,공원및놀이터,1,2014-06
2017,729,서울특별시 강북구 솔매로52길 27,서울특별시 강북구 미아동 124-1,생활방범,1,2014-06
2017,730,서울특별시 강북구 솔매로43길 96,서울특별시 강북구 미아동 217-84,생활방범,1,2014-06
2017,731,서울특별시 강북구 도봉로49길 54,서울특별시 강북구 미아동 301-5,생활방범,1,2014-06
2017,732,서울특별시 강북구 덕릉로30길 9-14,서울특별시 강북구 미아동 158-86,생활방범,1,2014-06
2017,733,서울특별시 강북구 한천로124길 61,서울특별시 강북구 번1동 461-99,생활방범,1,2014-06
2017,734,서울특별시 강북구 번동 산23-14,서울특별시 강북구 번2동 산23-14,생활방범,1,2014-06
2017,735,서울특별시 강북구 오현로180,서울특별시 강북구 번3동 138,생활방범,1,2014-06
2017,736,서울특별시 강북구 오현로180,서울특별시 강북구 번3동 138,생활방범,1,2014-08
2017,737,서울특별시 강북구 인수봉로6나길 21,서울특별시 강북구 삼양동 836-97,생활방범,1,2014-06
2017,740,서울특별시 강북구 인수봉로12길 34,서울특별시 강북구 삼양동 791-2835,생활방범,1,2014-06
2017,741,서울특별시 강북구 도봉로61길 75,서울특별시 강북구 삼양동 791-435,생활방범,1,2014-06
2017,742,서울특별시 강북구 인수봉로12가길 15,서울특별시 강북구 삼양동 791-2899,생활방범,1,2014-06
2017,744,서울특별시 강북구 도봉로27길 77,서울특별시 강북구 송천동 353-1,생활방범,1,2013-12
2017,745,서울특별시 강북구 삼양로27길 14,서울특별시 강북구 삼각산동 691-23,생활방범,1,2013-12
2017,747,서울특별시 강북구 도봉로96길 12,서울특별시 강북구 번1동 463-1,생활방범,1,2013-12
2017,748,서울특별시 강북구 오패산로67길 17,서울특별시 강북구 번1동 443-62,생활방범,1,2013-12
2017,749,서울특별시 강북구 한천로124다길 24,서울특별시 강북구 번1동 459-8,생활방범,1,2013-12
2017,750,서울특별시 강북구 한천로124다길 46,서울특별시 강북구 번1동 457-28,생활방범,1,2013-12
2017,751,서울특별시 강북구 오현로31길 17-6,서울특별시 강북구 번2동 316-2,생활방범,1,2013-12
2017,752,서울특별시 강북구 오현로25나길 33,서울특별시 강북구 번2동 148-124,생활방범,1,2013-12
2017,753,서울특별시 강북구 덕릉로40나길 42-1,서울특별시 강북구 번2동 434-48,생활방범,1,2013-12
2017,754,서울특별시 강북구 덕릉로40길 32-24,서울특별시 강북구 번2동 521-8,생활방범,1,2013-12
2017,755,서울특별시 강북구 인수봉로 110,서울특별시 강북구 수유1동 486-271,생활방범,1,2013-12
2017,756,서울특별시 강북구 수유로8길 13-13,서울특별시 강북구 수유1동 49-63,생활방범,1,2013-12
2017,757,서울특별시 강북구 삼양로81길 15,서울특별시 강북구 수유1동 472-235,생활방범,1,2013-12
2017,758,서울특별시 강북구 인수봉로23길 54,서울특별시 강북구 수유1동 486-715,생활방범,1,2013-12
2017,759,서울특별시 강북구 노해로35길 13-2,서울특별시 강북구 수유2동 719-2,생활방범,1,2013-12
2017,760,서울특별시 강북구 삼양로116길 8,서울특별시 강북구 수유2동 334-1,생활방범,1,2013-12
2017,761,서울특별시 강북구 삼양로124길 37,서울특별시 강북구 수유2동 273-37,생활방범,1,2013-12
2017,762,서울특별시 강북구 노해로33다길 3,서울특별시 강북구 수유2동 703-14,생활방범,1,2013-12
