인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명
20160922,영업,0,서울특별시 도봉구 쌍문동 20-101번지 ,서울특별시 도봉구 도당로 7 1층 (쌍문동),(주)쿱스토어쌍문점,일반조리판매
20101019,영업,0,서울특별시 도봉구 창동 807번지 쌍용아파트 상가 지하1호,서울특별시 도봉구 마들로 555 지하1호 (창동 쌍용아파트 상가),오렌지분식,일반조리판매
20170921,영업,0,서울특별시 도봉구 쌍문동 423-96,서울특별시 도봉구 삼양로142길 3 (쌍문동),이주연 식연구소,일반조리판매
20170508,영업,0,서울특별시 도봉구 방학동 632-13번지 1층 ,서울특별시 도봉구 도당로13다길 21 1층 (방학동),열열떡볶이,일반조리판매
20170510,영업,0,서울특별시 도봉구 창동 581-27번지 ,서울특별시 도봉구 덕릉로57길 22 (창동),박리김밥,일반조리판매
20100111,영업,0,서울특별시 도봉구 창동 3-3번지 콤마플라자 1층 7호 ,서울특별시 도봉구 마들로11길 73 (창동콤마플라자 1층 7호),불볶이와튀김범벅,일반조리판매
20090114,영업,0,서울특별시 도봉구 방학동 707-7번지 홈플러스 방학점내(지하2층) ,서울특별시 도봉구 도봉로 678 (방학동홈플러스 방학점내(지하2층)),조리식품,일반조리판매
20090122,영업,0,서울특별시 도봉구 쌍문동 20번지 벽산플라자 105호105-1호 지상1층 ,서울특별시 도봉구 도당로 7 (쌍문동벽산플라자 105호105-1호 지상1층),봉구스밥버거쌍문점,일반조리판매
20090128,영업,0,서울특별시 도봉구 쌍문동 20-5번지 지상1층 ,서울특별시 도봉구 해등로 198 (쌍문동지상1층),아딸 쌍문점,일반조리판매
20170925,영업,0,서울특별시 도봉구 도봉동 568-39번지 1층 ,서울특별시 도봉구 도봉로181길 26 1층 (도봉동),꿈의김밥,일반조리판매
20100913,영업,0,서울특별시 도봉구 창동 333-2번지 한성빌딩 지상1층 101호 ,서울특별시 도봉구 노해로65길 11 지상1층 101호 (창동 한성빌딩),창동 으뜸 만두,일반조리판매
20141112,영업,0,서울특별시 도봉구 쌍문동 88-42번지 지상1층 ,서울특별시 도봉구 도봉로113길 6 지상1층 (쌍문동),호호만두,일반조리판매
20161028,영업,0,서울특별시 도봉구 창동 13-1번지 12층 B동 ,서울특별시 도봉구 마들로11길 61 B동 12층 (창동),써브웨이창동역점,일반조리판매
20061228,영업,0,서울특별시 도봉구 창동 569-4번지 (지상1층) ,서울특별시 도봉구 덕릉로 250 (창동(지상1층)),본죽,일반조리판매
20170601,영업,0,서울특별시 도봉구 창동 74-5번지 503호,서울특별시 도봉구 노해로63길 78 5층 503호 (창동),피에스타PC방,일반조리판매
20170605,영업,0,서울특별시 도봉구 방학동 651-13번지 1층 ,서울특별시 도봉구 도봉로153길 27 1층 (방학동),핫떡,일반조리판매
20170608,영업,0,서울특별시 도봉구 도봉동 597-19번지 101.102호,서울특별시 도봉구 도봉로169나길 38 (도봉동),GS25도봉럭키점,일반조리판매
20170614,영업,0,서울특별시 도봉구 방학동 717-6번지 ,서울특별시 도봉구 마들로 645 (방학동 빅마켓도봉점 2층),북촌손만두빅마켓도봉점,일반조리판매
20170614,영업,0,서울특별시 도봉구 도봉동 63번지 ,서울특별시 도봉구 도봉로180길 31 (도봉동),스마트PC방,일반조리판매
20161011,영업,0,서울특별시 도봉구 창동 582-60번지 1층 ,서울특별시 도봉구 덕릉로57길 38 1층 (창동),워터로치킨,일반조리판매
20170316,영업,0,서울특별시 도봉구 쌍문동 423-14번지 ,서울특별시 도봉구 삼양로146길 6 1층 (쌍문동),백운분식,일반조리판매
20161027,영업,0,서울특별시 도봉구 도봉동 582-10번지 ,서울특별시 도봉구 도봉로177길 11-14 (도봉동),공릉동원조멸치국수도봉점,일반조리판매
20180716,영업,0,서울특별시 도봉구 방학동 713-13번지 도봉청소년독서실 지하1층 ,서울특별시 도봉구 마들로 605 도봉청소년독서실 지하1층 (방학동),요네바로,일반조리판매
20180717,영업,0,서울특별시 도봉구 쌍문동 137-101번지 1층 ,서울특별시 도봉구 노해로49길 68 1층 (쌍문동),영호네,일반조리판매
20170105,영업,0,서울특별시 도봉구 도봉동 609-3번지 ,서울특별시 도봉구 도당로27길 75 1층 (도봉동),서초우동,일반조리판매
20161208,영업,0,서울특별시 도봉구 방학동 304-50번지 리치하우스 101호,서울특별시 도봉구 방학로12가길 15 1층 101호 (방학동 리치하우스),샌드윗치(Sand witch),일반조리판매
20161208,영업,0,서울특별시 도봉구 쌍문동 143-61번지 쌍문동빌딩1층 ,서울특별시 도봉구 노해로 240 1층 (쌍문동 쌍문동빌딩),반올림피자샵도봉구점,일반조리판매
20161219,영업,0,서울특별시 도봉구 방학동 718-7번지 ,서울특별시 도봉구 마들로 657 1층 106-1호 (방학동 ESA상가),명랑핫도그방학역점,일반조리판매
20051209,영업,0,서울특별시 도봉구 창동 1-10번지 농협창동유통센터 지하1층 ,서울특별시 도봉구 마들로11길 20 지하1층 (창동 농협창동유통센터),황제통닭치킨,일반조리판매
20051209,영업,0,서울특별시 도봉구 방학동 717-6번지 ,서울특별시 도봉구 마들로 645 지하1층 (방학동 빅마켓),롯데쇼핑(주)빅마켓도봉점,일반조리판매
