인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명,경도,위도,상태
20150511,영업,0,0,서울특별시 동작구 상도로 293 1층 (상도1동),선 김밥,카페,126.9493458,37.5016285,정좌표
20140418,영업,0,0,서울특별시 종로구 삼일대로30길 31 1층 (익선동),르바(LeBar),카페,126.9891574,37.57446866,정좌표
20140428,영업,0,0,서울특별시 중구 을지로 88 (을지로2가 을지로지하도상가 을특4호),더카페 을지스타몰점,카페,126.9868689,37.56615283,정좌표
20150205,영업,0,0,서울특별시 중구 을지로 지하 58 (을지로2가 을지입구쇼핑센타 333436호),제퍼커피 을지로입구역점,카페,126.9839887,37.56611891,정좌표
20130531,영업,0,0,서울특별시 중구 을지로 지하 12 (을지로1가 시청광장 지하상가 100호),일리하우스,카페,126.9786312,37.56562883,정좌표
20130726,영업,0,0,서울특별시 중구 을지로 지하 58 (을지로2가 을지로지하도상가 을특12호),크리미티,카페,126.9839887,37.56611891,정좌표
20161104,영업,0,0,서울특별시 중랑구 신내역로3길 4 102호 (신내동 신내골드프라자),카페 홍뜰,카페,127.1067159,37.61951971,정좌표
20170405,영업,0,0,서울특별시 성북구 종암로 13 (종암동 교우회관내 지하1층),커피에반하다고려대점(교우회관),카페,127.0353333,37.59217035,정좌표
20120628,영업,0,0,서울특별시 성북구 종암로 167 (하월곡동),소셜카페,카페,127.0309905,37.60505817,정좌표
20140403,영업,0,0,서울특별시 강북구 오패산로38길 21 (미아동),세라띠에커피공방,카페,127.0349397,37.61537947,정좌표
20161107,영업,0,0,서울특별시 노원구 공릉로 221 1층 (공릉동),커피온리(only),카페,127.0769324,37.62890556,정좌표
20160921,영업,0,0,서울특별시 노원구 상계로1길 8 103호 (상계동),와플대학노원역캠퍼스,카페,127.0617755,37.6563726,정좌표
20160201,영업,0,0,서울특별시 노원구 석계로1길 18 301호 (월계동),후아나,카페,127.0637368,37.61554695,정좌표
20150813,영업,0,0,서울특별시 노원구 동일로207길 186 201동 17호 (하계동),카페리노,카페,127.0631346,37.63458897,정좌표
20151014,영업,0,0,서울특별시 은평구 은평로 195 2층 (녹번동 녹번동주민센터),여성건강카페 화음,카페,126.9298925,37.60264141,정좌표
20140811,영업,0,0,서울특별시 서대문구 신촌로 83 4층 (창천동),띵크커피코리아(think coffee korea),카페,126.9358453,37.55608301,정좌표
20151104,영업,0,0,서울특별시 서대문구 가재울미래로 2 101동 1층 105호 (남가좌동 DMC파큐뷰자이상가),이디야 가재울 중앙점,카페,126.9141889,37.57225583,정좌표
20140526,영업,0,0,서울특별시 서대문구 거북골로 64 (남가좌동),필레오,카페,126.9211619,37.57744699,인근좌표
20140923,영업,0,0,서울특별시 마포구 마포대로 지하 100 (공덕동 지하철6호선 공덕역B1층),비틀주스 공덕역점,카페,126.9513638,37.5445264,정좌표
20171013,영업,0,0,서울특별시 마포구 월드컵로 240 2층 XP Y30호 (성산동),쥬씨 상암월드컵점,카페,126.8990337,37.56994315,정좌표
20150122,폐업,20200311,0,서울특별시 마포구 삼개로 38 1동 105호 (도화동 도화3지구우성아파트),해피스토리,카페,126.9470832,37.53717288,정좌표
20160531,영업,0,0,서울특별시 영등포구 당산로27길 9 1층 (당산동3가),킹콩쥬스&커피(KINGKONG JUICE &COFFEE),카페,126.8954121,37.52500606,정좌표
20150128,영업,0,0,서울특별시 동작구 여의대방로20길 33 (신대방동),시립보라매청소년센터,카페,126.9222557,37.494437,정좌표
20140310,영업,0,0,서울특별시 동작구 보라매로5길 15 (신대방동),에스프레사멘테 일리 보라매점,카페,126.9270647,37.49464971,인근좌표
20151208,영업,0,0,서울특별시 동작구 국사봉7길 23 지상1층 (상도동),머피커피해피,카페,126.9315484,37.49749594,정좌표
20160111,영업,0,0,서울특별시 동작구 여의대방로54길 18 지상1층 (대방동),카페모아서울여성플라자점(실로암장애인근로사업장),카페,126.9272265,37.51160947,정좌표
20150305,영업,0,0,서울특별시 동작구 보라매로5길 35 지하1층 4호 (신대방동 한국컴퓨터빌딩),헤븐리카페,카페,126.9270647,37.49464971,인근좌표
20140801,영업,0,0,서울특별시 동작구 보라매로19길 5-1 1층 (신대방동),테이크아웃 커피전문점 H,카페,126.9274639,37.49756635,인근좌표
20140620,영업,0,0,서울특별시 동작구 여의대방로22가길 11 (신대방동),아데네,카페,126.9201437,37.49719381,정좌표
20140512,영업,0,0,서울특별시 동작구 상도로 329 지하1층 (상도1동),카페숨,카페,126.9517056,37.49900067,정좌표
20140512,영업,0,0,서울특별시 동작구 동작대로39길 22 114호 (동작동 이수힐스테이트상가),트루커피(TRUE COFFEE),카페,126.9787076,37.49479189,정좌표
20150604,영업,0,0,서울특별시 동작구 상도로30길 8 1층 (상도동),카페마루,카페,126.9412337,37.50479356,정좌표
20150721,영업,0,0,서울특별시 동작구 대림로 41 1층 (신대방동),집커피,카페,126.9085175,37.48743525,정좌표
20150916,영업,0,0,서울특별시 동작구 상도로30길 39 120동 108-1호 (상도동),카페베네,카페,126.942298,37.50479633,정좌표
20150930,영업,0,0,서울특별시 동작구 상도로41길 31 지상1층 (상도1동),작업실,카페,126.9507582,37.50235725,정좌표
20150908,영업,0,0,서울특별시 동작구 동작대로 89 골든시네마 제7 층 제707호 (사당동),커피도씨(℃),카페,126.9816648,37.48461288,정좌표
20171025,폐업,20200416,0,서울특별시 강남구 논현로 705 1층 (논현동),우주라이크커피 메드렉스 논현점,카페,127.0299782,37.51490115,정좌표
20150409,영업,0,0,서울특별시 강동구 천호대로170길 96 102호 (성내동 하늘채),셀람(SELAM),카페,127.1314291,37.53136072,정좌표
20151218,영업,0,0,서울특별시 동작구 상도로60길 8 지상4층 (상도동 외 6필지),시니어카페카리스,카페,126.953855,37.4942594,정좌표
20151214,영업,0,0,서울특별시 동작구 상도로 354 지상1~3층 (상도동 외 1필지),스타벅스커피숭실대입구역점,카페,126.9527265,37.49687712,정좌표
20141107,폐업,20200625,0,서울특별시 동작구 현충로 257 2층 431-04호 (동작동 동작역),라이스카페 동작점,카페,126.9802686,37.50287042,정좌표
