인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명,경도,위도,상태
20170530,영업,0,서울특별시 구로구 천왕동 27번지 천왕이펜하우스3단지 상가동 106호,서울특별시 구로구 천왕로 56 상가동 106호 (천왕동 천왕이펜하우스3단지),GS25 구로천왕점,편의점,126.8419515,37.48255617,인근좌표
20160729,영업,0,서울특별시 구로구 천왕동 27번지 천왕이펜하우스 6단지 106호,서울특별시 구로구 천왕로 9 1층 106호 (천왕동 천왕이펜하우스 6단지 상가동),세븐일레븐 천왕이펜하우스1호점,편의점,126.8419515,37.48255617,인근좌표
20170303,영업,0,서울특별시 금천구 독산동 441-20번지 금천롯데캐슬골드파크1차상가 지상1층 113동 120호,서울특별시 금천구 벚꽃로 40 113동 지상1층 120호 (독산동 금천롯데캐슬골드파크1차상가),GS25독산캐슬점,편의점,126.892863,37.45867074,인근좌표
20010105,영업,0,서울특별시 영등포구 영등포동4가 441-21번지 ,0,록산식품,편의점,126.9057433,37.51744281,인근좌표
20160908,영업,0,서울특별시 영등포구 신길동 329-94번지 영등포프레비뉴 삼성래미안 상가 지하2층 B222호,서울특별시 영등포구 가마산로 442 지하2층 B222호 (신길동 영등포프레비뉴 삼성래미안 상가 ),GS25(영등포프레비뉴점),편의점,126.9101799,37.50542017,인근좌표
20171207,영업,0,서울특별시 영등포구 영등포동7가 145-8번지 아크로타워 스퀘어 상가6동 3호 ,서울특별시 영등포구 국회대로54길 10 (영등포동7가 아크로타워 스퀘어 상가6동 3호),세븐일레븐영등포아크로타워점,편의점,126.9058849,37.52388327,인근좌표
20171020,영업,0,서울특별시 영등포구 영등포동7가 145-8번지 아크로타워스퀘어 상가 13동 108호 ,서울특별시 영등포구 국회대로54길 10 (영등포동7가 아크로타워스퀘어 상가 13동 108호),GS25영등포아크로점,편의점,126.9058849,37.52388327,인근좌표
20170605,영업,0,서울특별시 영등포구 신길동 2039번지 래미안에스티움상가 지하2층 A동 110호 ,서울특별시 영등포구 신풍로 77 (신길동 래미안에스티움상가 지하2층 A동 110호),GS25신풍래미안1호,편의점,126.9134825,37.50182792,인근좌표
20091216,영업,0,서울특별시 동작구 신대방동 395번지 (보라매공원 매점) ,0,바이더웨이 보라매공원점,편의점,126.9238361,37.49204209,인근좌표
20100112,영업,0,서울특별시 동작구 대방동 393번지 신대방삼거리역점 ,0,지에스25에스(GS25S) 신대방삼거리역점,편의점,126.9280173,37.50112352,인근좌표
20190508,영업,0,서울특별시 동작구 흑석동 232-55번지 ,서울특별시 동작구 서달로 123 상가동 1층 102호 (흑석동),지에스25 흑석캐슬,편의점,126.9598817,37.5064765,인근좌표
20180921,영업,0,서울특별시 동작구 사당동 167-19번지 래미안 로이파크 ,서울특별시 동작구 사당로23길 112 상가동 108109호 (사당동 래미안 로이파크),세븐일레븐 사당로이파크점,편의점,126.9751998,37.4871075,인근좌표
19991118,영업,0,서울특별시 동작구 신대방동 349-3번지 ,서울특별시 동작구 여의대방로22길 136 (신대방동),바이더웨이,편의점,126.9273361,37.49770222,인근좌표
20030109,영업,0,서울특별시 동작구 상도1동 51번지 ,0,세븐일레븐(상도점),편의점,126.9507121,37.49906167,인근좌표
20150923,영업,0,서울특별시 관악구 봉천동 13-1번지 ,서울특별시 관악구 청림3길 10 1층 (봉천동),GS25 관악스타힐스점,편의점,126.9595477,37.48799747,인근좌표
20180813,영업,0,서울특별시 관악구 봉천동 산 56-1번지 서울대학교 900동 ,서울특별시 관악구 관악로 1 서울대학교 지하2층 (신림동),GS25 서울대관악사,편의점,126.9568091,37.47611976,인근좌표
20190423,영업,0,서울특별시 서초구 잠원동 115-5번지 1층 ,0,지에스25 한강반포 2호점,편의점,127.0113134,37.51909629,인근좌표
19930811,영업,0,서울특별시 서초구 방배동 983-10번지 ,0,에이엠피엠서초점,편의점,126.9989067,37.48115311,인근좌표
20190115,영업,0,서울특별시 서초구 방배동 992-1번지 방배아트자이 103동 상가1층 101호 ,서울특별시 서초구 명달로9길 57 103동 상가1층 101호 (방배동 방배아트자이),지에스(GS)25 방배아트자이점,편의점,127.0026277,37.48050603,인근좌표
20020424,영업,0,서울특별시 서초구 양재동 11-43번지 ,0,미니스톱양재시장점,편의점,127.0369217,37.48426282,인근좌표
19961221,영업,0,서울특별시 강남구 도곡동 112-0번지 ,0,베스토아,편의점,127.054466,37.49300121,인근좌표
19931021,영업,0,서울특별시 강남구 신사동 162-16번지 .17 ,0,에이엠피엠코리아,편의점,127.0158718,37.52568485,인근좌표
20190522,영업,0,서울특별시 강남구 일원동 690-2번지 래미안 루체하임 ,서울특별시 강남구 개포로110길 50 상가동 1층 2호 (일원동 래미안 루체하임),씨유개포루체하임점,편의점,127.0786493,37.49021498,인근좌표
20180430,영업,0,서울특별시 송파구 거여동 181-158번지 거송빌딩 ,서울특별시 송파구 거마로 31 1층 (거여동),세븐일레븐 거여본점,편의점,127.147031,37.49752852,인근좌표
20191126,영업,0,서울특별시 강동구 고덕동 217번지 고덕그라시움아파트(상가1동) ,서울특별시 강동구 고덕로 353 고덕그라시움아파트(상가1동) 지1층 B108~B119B128호 (고덕동),지에스 더 프레시 고덕그라시움점,편의점,127.1625263,37.55788607,정좌표
20180102,영업,0,서울특별시 강동구 상일동 134번지 고덕숲아이파크 ,서울특별시 강동구 고덕로80길 134 1층 103호 (상일동 고덕숲아이파크),지에스25 고덕숲아이파크점,편의점,127.1652804,37.55296825,인근좌표
20200512,영업,0,서울특별시 강동구 상일동 187번지 고덕롯데캐슬베네루체아파트(상가B동) ,서울특별시 강동구 구천면로 636 고덕롯데캐슬베네루체아파트(상가B동) 1층 104호 (상일동),씨유 고덕베네루체점,편의점,127.1677751,37.54930241,정좌표
20181026,폐업,20200619,서울특별시 광진구 구의동 122-2번지,서울특별시 광진구 광나루로 545 상가A동 1층 3호 (구의동),지에스(GS)25광진래미안점,편의점,127.0883958,37.54912174,인근좌표
20010213,영업,0,서울특별시 서초구 양재동 23-2번지 (1층),0,세븐일레븐(양재역점),편의점,127.0342499,37.48282675,인근좌표
20200625,영업,0,서울특별시 강동구 상일동 121 고덕아르테온아파트(상가2동),서울특별시 강동구 고덕로 380 고덕아르테온아파트(상가2동) 1층 101-2호 (상일동),GS(지에스)25 고덕아르테온점,편의점,127.1686059,37.55517856,정좌표
20200410,영업,0,서울특별시 강동구 고덕동 217 고덕그라시움아파트(상가1동),서울특별시 강동구 고덕로 353 고덕그라시움아파트(상가1동) 1층 127128호 (고덕동),지에스25 고덕그라시움점,편의점,127.1625263,37.55788607,정좌표
20181002,폐업,20200911,서울특별시 동대문구 전농동 518 동대문롯데캐슬노블레스,서울특별시 동대문구 답십리로23길 30 지하2층 12호 (전농동 동대문롯데캐슬노블레스),씨유전농롯데캐슬점,편의점,127.0492861,37.57728528,인근좌표
