인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명,X좌표,Y좌표
20200713,영업,0,서울특별시 중랑구 면목동 156-23,서울특별시 중랑구 동일로92길 49 1층 (면목동),씨유 중랑센트럴아이파크점,편의점,37.5834864631227,127.082705147456
20200713,영업,0,서울특별시 송파구 오금동 42-5,서울특별시 송파구 마천로 70-16 1층 102호103호 (오금동),씨유 현대행운점,편의점,37.5071240660584,127.127750795835
20200713,영업,0,서울특별시 관악구 신림동 608-30,서울특별시 관악구 난우길 20 지하1층 (신림동),애견용품할인매장,편의점,37.4747795063959,126.918645356038
20200713,영업,0,서울특별시 강서구 등촌동 518-24 (지상 1층),서울특별시 강서구 등촌로39마길 24 1층 (등촌동),미니스톱 등촌우리점,편의점,37.5464159835049,126.858845640884
20170724,영업,0,서울특별시 금천구 가산동 345-33 에이스하이엔드타워7차 104호,서울특별시 금천구 가산디지털2로 67 104호 (가산동 에이스하이엔드타워7차),규젤(GUZEL),편의점,37.474204348377,126.881155881237
20140508,폐업,20200713,서울특별시 동대문구 전농동 38-104 1층,서울특별시 동대문구 전농로16길 54 1층 (전농동),윤언니네 카페,편의점,37.5781116025386,127.060377827267
20200714,영업,0,서울특별시 중랑구 면목동 1515 성원아파트,서울특별시 중랑구 용마산로 276 성원아파트 상가동 1층 101호 (면목동),씨유 중랑용마점,편의점,37.5774850852518,127.090731767812
20190620,폐업,20200714,서울특별시 강남구 역삼동 670-9,서울특별시 강남구 테헤란로27길 30 지상1층 (역삼동),어반소스카페,편의점,37.5033945903678,127.037507530985
20160624,폐업,20200714,서울특별시 마포구 성산동 242-5 지1층일부,서울특별시 마포구 성미산로 52 (성산동 지1층일부),워크룸케이브,편의점,37.5590421713903,126.913854194311
20200715,영업,0,서울특별시 영등포구 영등포동7가 68-3,서울특별시 영등포구 국회대로46길 5 1층 (영등포동7가),씨유영등포자매점,편의점,37.5250454773455,126.904812566456
20200716,영업,0,서울특별시 강남구 역삼동 658-22,서울특별시 강남구 논현로106길 31 1층 (역삼동),씨유 역삼황제펭귄점,편의점,37.5067906586322,127.036938528144
20200716,영업,0,서울특별시 동대문구 장안동 418-7,서울특별시 동대문구 한천로2길 81 1층 (장안동),더리터 장한평점,편의점,37.5626886989257,127.063017060157
20200409,영업,0,서울특별시 은평구 진관동 194-4,서울특별시 은평구 연서로50길 7 1층 (진관동),소성,편의점,37.6408805565434,126.938587488034
20191115,영업,0,서울특별시 도봉구 창동 135-26 창동EMART,서울특별시 도봉구 노해로65길 4 창동EMART 1층 (창동),송사부수제쌀고로케 이마트창동점,편의점,37.6520217634045,127.047328108982
20200113,영업,0,서울특별시 강동구 둔촌동 430번지,서울특별시 강동구 양재대로102길 39 (둔촌동),월디커피로스터스,편의점,37.5322903182213,127.140454900061
20200717,영업,0,서울특별시 노원구 상계동 683,서울특별시 노원구 한글비석로 477 백운유치원 1층 (상계동),씨유 노원 보람점,편의점,37.6642246287232,127.064995661896
20181207,폐업,20200602,서울특별시 광진구 중곡동 622-5번지 102호,서울특별시 광진구 면목로 67-4 1층 102호 (중곡동),달콤,편의점,37.5599854317506,127.077832108832
20160307,폐업,20200716,서울특별시 서대문구 연희동 115-41 1층,서울특별시 서대문구 연희로11마길 8 1층 (연희동),노크(knock),편의점,37.5690319341006,126.928221482807
20151224,폐업,20200717,서울특별시 강서구 화곡동 1051-27 (지상 1층),서울특별시 강서구 강서로 179 1층 (화곡동 3동),롯데쇼핑(주) 롯데마켓999,편의점,37.5423697075161,126.839331238239
20140822,폐업,20200717,서울특별시 중랑구 면목동 183-24 지상1층,서울특별시 중랑구 봉우재로 41 1층 (면목동),GS25동부시장점,편의점,37.5908017581507,127.077868378309
20200717,영업,0,서울특별시 중랑구 면목동 172-84,서울특별시 중랑구 동일로91길 20 1층 (면목동),지에스(GS) 25 면목라온점,편의점,37.5830657187756,127.078453001168
20200717,영업,0,서울특별시 강남구 논현동 123-11 논현1호주차장,서울특별시 강남구 학동로6길 19 논현1호주차장 지하1층 b-1호 (논현동),스타 카페,편의점,37.5106934224151,127.02459416713
20200717,영업,0,서울특별시 도봉구 창동 418 도봉문화정보도서관,서울특별시 도봉구 덕릉로 315 도봉문화정보도서관 1층 (창동),마을카페 책마루,편의점,37.6445695760629,127.044001630518
20200717,영업,0,서울특별시 서초구 서초동 1339-2 서초 스페이스다온 1동 301호,서울특별시 서초구 효령로 423 서초 스페이스다온 1동 301호 (서초동),카페 무가공,편의점,37.4893131136386,127.029948535984
20200717,영업,0,서울특별시 송파구 신천동 29 롯데월드타워앤드롯데월드몰,서울특별시 송파구 올림픽로 300 롯데월드몰 5층 (신천동),원조 공주떡집,편의점,37.513101157342,127.103433202893
20200717,영업,0,서울특별시 서초구 방배동 440-33 1층,서울특별시 서초구 동작대로 54-1 1층 (방배동),언택트 카페 무(방배점),편의점,37.4814498647357,126.982259495315
20170619,영업,0,서울특별시 송파구 방이동 131-19번지,서울특별시 송파구 가락로36길 15 1층 (방이동),원팩토리 커피 방이점,편의점,37.5095474665573,127.119694006946
20200717,영업,0,서울특별시 마포구 공덕동 254-5 신용보증기금빌딩,서울특별시 마포구 마포대로 122 신용보증기금빌딩 19층 (공덕동),라운지엑스 마포,편의점,37.5453772782007,126.952564111706
20170912,폐업,20200717,서울특별시 영등포구 여의도동 17 더?아일랜드파크 101동 117호,서울특별시 영등포구 의사당대로 38 (여의도동 더?아일랜드파크 101동 117호),GS25여의파크점,편의점,37.5257046937181,126.918741678497
