년,정류장명,Y좌표,X좌표,주소,구,행정동
2020,자하문터널입구.석파정,37.59559351,126.9636435,서울특별시 종로구 부암동 162-4,종로구,부암동
2020,부암동주민센터.무계원,37.59273806,126.9639574,서울특별시 종로구 부암동 312-2,종로구,부암동
2020,부암동주민센터.무계원,37.59278617,126.9651419,서울특별시 종로구 부암동 260-26,종로구,부암동
2020,자하문터널입구.석파정,37.59555757,126.96397759999998,서울특별시 종로구 부암동 208-37,종로구,부암동
2020,하림각,37.59814765,126.9622153,서울특별시 종로구 부암동 134-2,종로구,부암동
2020,상명대입구.세검정교회,37.59961633,126.9592406,서울특별시 종로구 홍지동 99-7,종로구,부암동
2020,세검정.상명대,37.60055246,126.95893429999998,서울특별시 종로구 홍지동 92-6,종로구,부암동
2020,세검정초등학교,37.60226807,126.96143290000002,서울특별시 종로구 신영동 142-1,종로구,부암동
2020,국민은행세검정지점,37.60471919,126.9612088,서울특별시 종로구 신영동 20-1,종로구,부암동
2020,승가사입구,37.61158441,126.95630600000001,서울특별시 종로구 구기동 151,종로구,평창동
2020,구기동현대빌라,37.610035499999995,126.9564576,서울특별시 종로구 구기동 150,종로구,평창동
2020,구기터널.삼성출판박물관,37.60860989,126.9562103,서울특별시 종로구 구기동 120-1,종로구,평창동
2020,구기터널.삼성출판박물관,37.6083054,126.95641670000002,서울특별시 종로구 구기동 110-1,종로구,평창동
2020,구기동,37.60696445,126.9585298,서울특별시 종로구 구기동 95-27,종로구,평창동
2020,구기동,37.607008799999996,126.9591017,서울특별시 종로구 구기동 88-20,종로구,평창동
2020,승가사입구,37.61148,126.95648200000001,서울특별시 종로구 구기동 139-21,종로구,평창동
2020,갑을씨티텔앞,37.60437097,126.96353500000001,서울특별시 종로구 평창동 288-1,종로구,평창동
2020,평창파출소,37.60532237,126.9660433,서울특별시 종로구 평창동 591,종로구,평창동
2020,평창동주민센터,37.60660737,126.9695663,서울특별시 종로구 평창동 157-4,종로구,평창동
2020,일성아파트,37.60876631,126.97299850000002,서울특별시 종로구 평창동 85-2,종로구,평창동
2020,롯데아파트,37.61042956,126.9764662,서울특별시 종로구 평창동 66-137,종로구,평창동
2020,롯데아파트,37.610248,126.976652,서울특별시 종로구 평창동 106-4,종로구,평창동
2020,벽산평창힐스아파트,37.60819,126.972797,서울특별시 종로구 평창동 43-3,종로구,평창동
2020,예능교회,37.606517,126.97,서울특별시 종로구 평창동 157-4,종로구,평창동
2020,서울예술고등학교.평창동주민센터,37.60577876,126.96762759999999,서울특별시 종로구 평창동 229-4,종로구,평창동
2020,화정박물관,37.60450382,126.96481029999998,서울특별시 종로구 평창동 285-2,종로구,평창동
2020,강북삼성병원,37.56814593,126.9686005,서울특별시 종로구 평동 108-1,종로구,교남동
2020,독립문역.서대문형무소역사관,37.57321269,126.9594644,서울특별시 종로구 무악동 46-2003,종로구,무악동
2020,서대문.서울시교육청,37.56825381,126.9645273,서울특별시 종로구 교남동 4-1,종로구,교남동
2020,서대문역사거리.적십자병원,37.56710815,126.9675878,서울특별시 종로구 평동 171,종로구,교남동
2020,독립문,37.57117332,126.9615633,서울특별시 종로구 교북동 35-7,종로구,교남동
2020,창덕궁.서울돈화문국악당,37.57754057,126.98853940000001,서울특별시 종로구 운니동 98-9,종로구,가회동
2020,무교동,37.56924238,126.9802682,서울특별시 종로구 서린동 93-2,종로구,종로1.2.3.4가동
2020,청계1가.광교,37.56868439,126.9849267,서울특별시 종로구 관철동 268,종로구,종로1.2.3.4가동
2020,청계2가.수표교,37.56843718,126.99067420000002,서울특별시 종로구 관수동 91-4,종로구,종로1.2.3.4가동
2020,청계4가.세운교,37.56886912,126.9964906,서울특별시 종로구 예지동 134-2,종로구,종로1.2.3.4가동
2020,청계5가.광장시장,37.56945128,126.99979740000002,서울특별시 종로구 예지동 293-1,종로구,종로1.2.3.4가동
2020,원남동,37.57453251,126.9973383,서울특별시 종로구 원남동 95-1,종로구,종로1.2.3.4가동
2020,창덕궁.서울돈화문국악당,37.57719464,126.9878777,서울특별시 종로구 운니동 114-2,종로구,종로1.2.3.4가동
2020,안국역.종로경찰서.인사동,37.5757849,126.9842426,서울특별시 종로구 관훈동 112-4,종로구,종로1.2.3.4가동
2020,조계사,37.57236602,126.9832244,서울특별시 종로구 견지동 111,종로구,종로1.2.3.4가동
2020,조계사,37.57248581,126.98282590000001,서울특별시 종로구 견지동 110,종로구,종로1.2.3.4가동
2020,안국동,37.57461057,126.9827201,서울특별시 종로구 견지동 32-8,종로구,종로1.2.3.4가동
2020,종로5가.효제동.김상옥의거터,37.5745,127.00223000000001,서울특별시 종로구 효제동 30-1,종로구,종로5.6가동
2020,종로5가.효제초등학교,37.57287901,127.0021442,서울특별시 종로구 효제동 297-2,종로구,종로5.6가동
2020,종로5가,37.5705596,127.0021827,서울특별시 종로구 종로5가 194-1,종로구,종로5.6가동
2020,청계6가.동대문시장,37.56983511,127.00284939999999,서울특별시 종로구 종로5가 194-1,종로구,종로5.6가동
2020,동대문,37.57172624,127.0084126,서울특별시 종로구 종로6가 89,종로구,종로5.6가동
2020,충신동,37.57402235,127.00627879999999,서울특별시 종로구 충신동 27-61,종로구,종로5.6가동
2020,충신동,37.57446028,127.0063434,서울특별시 종로구 충신동 27-13,종로구,종로5.6가동
2020,현대그룹빌딩,37.575873,127.000533,서울특별시 종로구 연지동 1-14,종로구,종로5.6가동
2020,통신대(이화장),37.578043,127.00243700000001,서울특별시 종로구 동숭동 199-41,종로구,이화동
2020,혜화역.마로니에공원,37.58111949,127.00227690000001,서울특별시 종로구 동숭동 1-177,종로구,이화동
2020,혜화역.서울대병원입구,37.58106363,127.0019395,서울특별시 종로구 연건동 1-3,종로구,이화동
2020,통신대(이화장),37.57812967,127.00199380000001,서울특별시 종로구 연건동 134-1,종로구,이화동
2020,이화동(이화장),37.57611936,127.00069509999999,서울특별시 종로구 연건동 203-5,종로구,이화동
2020,창경궁.서울대학교병원,37.57882799,126.9968717,서울특별시 종로구 연건동 28-37,종로구,이화동
2020,이화동(이화장),37.57593729,127.00327079999998,서울특별시 종로구 이화동 207-2,종로구,이화동
2020,혜화동로터리,37.58576463,127.00072469999999,서울특별시 종로구 혜화동 120,종로구,혜화동
2020,명륜동2가.성균관대입구,37.58333349,126.9993988,서울특별시 종로구 명륜2가 194-1,종로구,혜화동
