인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명,X좌표,Y좌표,구,행정동,구 행정동
19870924,영업,0,서울특별시 중구 신당동 140-34번지 ,서울특별시 중구 다산로44길 53 (신당동),신라베이커리,제과제빵,127.019953834329,37.565257974824206,중구,신당5동,중구 신당5동
19930629,영업,0,서울특별시 중구 신당동 217-95번지 ,서울특별시 중구 청계천로 318 (신당동),가나안제과,제과제빵,127.013772247509,37.56934550451661,중구,신당동,중구 신당동
20150420,영업,0,서울특별시 중구 남대문로5가 541번지 서울스퀘어 지하1층 31-1호 ,서울특별시 중구 한강대로 416 (남대문로5가 서울스퀘어 지하1층 31-1호),멜로우힐 서울스퀘어점,제과제빵,126.97386054981001,37.5555219467145,중구,회현동,중구 회현동
19940808,영업,0,서울특별시 중구 소공동 1-0번지 ,0,카도로,제과제빵,126.981089534575,37.5648098108631,중구,소공동,중구 소공동
20110321,영업,0,서울특별시 중구 신당동 775번지 제일평화시장 3층 ,0,제일평화시장 3층 매점,제과제빵,127.01141155799999,37.5684682767088,중구,신당동,중구 신당동
20141125,영업,0,서울특별시 중구 충무로1가 52-5번지 신세계백화점 지하1층 ,서울특별시 중구 소공로 63 (충무로1가 신세계백화점 지하1층),도쿄빵야,제과제빵,126.981138732453,37.5609226495431,중구,회현동,중구 회현동
20160701,영업,0,서울특별시 중구 충무로5가 36-2번지 1층105호 ,서울특별시 중구 퇴계로49길 14 1층 105호 (충무로5가),GS25 중구엘크루점,제과제빵,127.000001584595,37.5633835164692,중구,광희동,중구 광희동
19890812,영업,0,서울특별시 중구 소공동 1번지 외6필지 롯데백화점(지하1층) ,0,탑,제과제빵,126.981089534575,37.5648098108631,중구,소공동,중구 소공동
20160420,영업,0,서울특별시 중구 정동 22번지 ,서울특별시 중구 정동길 3 1층 (정동 경향아트힐),아재커피 정동점,제과제빵,126.96999218784201,37.568170118699605,중구,소공동,중구 소공동
19950503,영업,0,서울특별시 중구 회현동1가 199-6번지 ,서울특별시 중구 남대문시장길 61 (회현동1가),에이투렛,제과제빵,126.97944161404,37.560776134448,중구,회현동,중구 회현동
