인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명,X좌표,Y좌표,구,행정동,구 행정동
20191218,영업,0,서울특별시 노원구 공릉동 740번지 대아아파트 제상가동 101호,서울특별시 노원구 공릉로39길 10 제상가동 제1층 101호 (공릉동 대아아파트),딜리스,카페,127.079020010184,37.6239897509961,노원구,공릉2동,노원구 공릉2동
20200106,영업,0,서울특별시 노원구 중계동 501-9번지 시립북부여성발전센타 ,서울특별시 노원구 동일로207길 50 북부여성창업보육센터 1층 102호 (중계동),카페사랑빵,카페,127.06167724114701,37.6430013354273,노원구,중계2.3동,노원구 중계2.3동
20191203,영업,0,서울특별시 노원구 공릉동 670-20번지 노원 프레미어스 엠코 ,서울특별시 노원구 동일로 986 101동 1층 116호 (공릉동 노원 프레미어스 엠코),커피엉클샵,카페,127.076218870796,37.6185318804274,노원구,공릉1동,노원구 공릉1동
20191212,영업,0,서울특별시 노원구 중계동 361번지 롯데마트 ,서울특별시 노원구 노원로 330 롯데마트 지하1층 (중계동),타카플레이카페 롯데마트중계점,카페,127.071090007906,37.6465484379978,노원구,중계1동,노원구 중계1동
20191213,영업,0,서울특별시 노원구 상계동 751-1 상계주공4단지아파트,서울특별시 노원구 동일로214길 21 라상가동 103호 (상계동 상계주공4단지아파트),카페 바움,카페,127.064624570139,37.6500778846165,노원구,상계6.7동,노원구 상계6.7동
20191127,영업,0,서울특별시 노원구 하계동 72-18번지 우리아트홈 1층 ,서울특별시 노원구 공릉로58길 122 우리아트홈 1층 (하계동),터프커피(tuff coffee),카페,127.07509420527599,37.6360785917995,노원구,하계1동,노원구 하계1동
20191121,영업,0,서울특별시 노원구 중계동 361번지 롯데마트 ,서울특별시 노원구 노원로 330 롯데마트 지하1층 (중계동),차이 롯데중계점,카페,127.071090007906,37.6465484379978,노원구,중계1동,노원구 중계1동
20200103,영업,0,서울특별시 노원구 상계동 735번지 노원평생교육원 ,서울특별시 노원구 동일로217길 48 노원평생교육원 2층 (상계동),사랑방 카페,카페,127.057973985,37.6531096336809,노원구,상계6.7동,노원구 상계6.7동
20200103,영업,0,서울특별시 노원구 공릉동 622번지 ,서울특별시 노원구 동일로174길 27 서울여성공계센터더아리움 1층 (공릉동),(주)도노커피 크라프트살롱,카페,127.076778623724,37.6196120721059,노원구,공릉1동,노원구 공릉1동
20010704,영업,0,서울특별시 노원구 상계동 599-0번지 ,서울특별시 노원구 상계로 70 (상계동),누크커피,카페,127.06286159277799,37.6559990134727,노원구,상계2동,노원구 상계2동
20191205,영업,0,서울특별시 노원구 공릉동 270-65번지 ,서울특별시 노원구 노원로1길 109 1층 102호 (공릉동),구구커피,카페,127.08123095468099,37.620450973958896,노원구,공릉2동,노원구 공릉2동
20191112,영업,0,서울특별시 노원구 상계동 630번지 청수빌딩 ,서울특별시 노원구 동일로228길 35 청수빌딩 105호 (상계동),카페그린비,카페,127.059033271702,37.6679418756916,노원구,상계9동,노원구 상계9동
20191014,영업,0,서울특별시 노원구 공릉동 593-3번지 드림데시앙 ,서울특별시 노원구 동일로178길 14 드림데시앙 1층 101호 (공릉동),카페비 공릉점,카페,127.075477969812,37.6210998108949,노원구,공릉1동,노원구 공릉1동
20191216,영업,0,서울특별시 노원구 공릉동 441-26번지 오성빌딩 ,서울특별시 노원구 동일로192길 88 오성빌딩 2층 201호 (공릉동),설빙 서울과기대점,카페,127.077631515628,37.6273121600869,노원구,공릉2동,노원구 공릉2동
