년,호선,역명,주소,Y좌표,X좌표,구,행정동
2020,1,가산디지털단지,서울특별시 금천구 벚꽃로 309,37.48159574,126.8825595,금천구,가산동
2020,1,개봉,서울특별시 구로구 경인로40길 47,37.49452225,126.85910259999999,구로구,개봉1동
2020,1,광운대,서울특별시 노원구 석계로 98-2,37.62303356,127.0617635,노원구,월계1동
2020,1,구로,서울특별시 구로구 구로중앙로 174,37.50243451,126.8814916,구로구,구로5동
2020,1,구일,서울특별시 구로구 구일로 133,37.49639118,126.86992040000001,구로구,구로2동
2020,1,금천구청,서울특별시 금천구 시흥대로63길 91,37.45560998,126.89451409999998,금천구,시흥1동
2020,1,남영,서울특별시 용산구 한강대로77길 25,37.5405646,126.97133240000001,용산구,남영동
2020,1,노량진,서울특별시 동작구 노량진로 151,37.51580267,126.9483592,동작구,노량진1동
2020,1,녹천,서울특별시 노원구 마들로5길 114,37.64472,127.05083,노원구,월계2동
2020,1,대방,서울특별시 영등포구 여의대방로 300,37.51332546,126.926303,영등포구,신길7동
2020,1,도봉,서울특별시 도봉구 도봉로170길 2,37.68036291,127.04576399999999,도봉구,도봉2동
2020,1,도봉산,서울특별시 도봉구 도봉로 964-33,37.689440000000005,127.04583000000001,도봉구,도봉2동
2020,1,독산,서울특별시 금천구 벚꽃로 115,37.46598732,126.8895142,금천구,가산동
2020,1,동대문,서울특별시 종로구 종로 지하302,37.57177757,127.01116709999998,종로구,창신2동
2020,1,동묘앞,서울특별시 종로구 종로 359,37.57337221,127.01675120000002,종로구,숭인1동
2020,1,방학,서울특별시 도봉구 도봉로 150다길 3,37.66634661,127.04442309999999,도봉구,방학1동
2020,1,서울,서울특별시 중구 세종대로 지하2,37.55715948,126.97255459999998,중구,회현동
2020,1,석계,서울특별시 노원구 화랑로 341,37.61530594,127.0656473,노원구,월계1동
2020,1,시청,서울특별시 중구 세종대로 지하101,37.56543852,126.97698319999999,중구,소공동
2020,1,신길,서울특별시 영등포구 영등포로 327,37.51703185,126.91722490000001,영등포구,신길1동
2020,1,신도림,서울특별시 구로구 새말로 117-21,37.50877014,126.89108049999999,구로구,신도림동
2020,1,신설동,서울특별시 동대문구 왕산로 지하1,37.57531948,127.02470190000001,동대문구,용신동
2020,1,신이문,서울특별시 동대문구 한천로 472,37.60427864,127.0695773,동대문구,이문2동
2020,1,영등포,서울특별시 영등포구 경인로 846,37.51566803,126.90766599999999,영등포구,영등포본동
2020,1,오류동,서울특별시 구로구 경인로20길 13,37.49435919,126.8446007,구로구,오류2동
2020,1,온수,서울특별시 구로구 부일로 872,37.49247392,126.8240386,구로구,수궁동
2020,1,외대앞,서울특별시 동대문구 휘경로 27,37.59541368,127.0630588,동대문구,이문1동
2020,1,용산,서울특별시 용산구 한강대로23길 55,37.5297718,126.9647415,용산구,한강로동
2020,1,월계,서울특별시 노원구 월계로53길 40,37.63210894,127.0587294,노원구,월계2동
2020,1,제기동,서울특별시 동대문구 왕산로 지하93,37.57820141,127.03469059999999,동대문구,제기동
2020,1,종각,서울특별시 종로구 종로 지하55,37.57021404,126.98323970000001,종로구,종로1.2.3.4가동
2020,1,종로3가,서울특별시 종로구 종로 지하129,37.5704266,126.99202930000001,종로구,종로1.2.3.4가동
2020,1,종로5가,서울특별시 종로구 종로 지하 216,37.57090754,127.0019166,종로구,종로5.6가동
2020,1,창동,서울특별시 도봉구 마들로 11길 77,37.65321748,127.047715,도봉구,창5동
2020,1,청량리,서울특별시 동대문구 왕산로 지하205,37.58022722,127.04505120000002,동대문구,청량리동
2020,1,회기,서울특별시 동대문구 회기로 196,37.58974424,127.05803540000001,동대문구,휘경1동
2020,2,용답,서울특별시 성동구 용답길 86,37.56200491,127.0507293,성동구,용답동
2020,2,신답,서울특별시 성동구 천호대로 232,37.56999106,127.0468202,성동구,용답동
2020,2,용두,서울특별시 동대문구 천호대로 지하129,37.57393805,127.0380311,동대문구,용신동
2020,2,신설동,서울특별시 동대문구 왕산로 지하1,37.57531948,127.02470190000001,동대문구,용신동
2020,2,시청,서울특별시 중구 서소문로 지하127,37.56357935,126.97538940000001,중구,소공동
2020,2,을지로입구,서울특별시 중구 을지로 지하42,37.56605095,126.9823729,중구,명동
2020,2,을지로3가,서울특별시 중구 을지로 지하106,37.56626595,126.9903084,중구,을지로동
2020,2,을지로4가,서울특별시 중구 을지로 지하178,37.56663699,126.99785279999999,중구,을지로동
2020,2,동대문역사문화공원,서울특별시 중구 을지로 지하279,37.56558952,127.0091315,중구,광희동
2020,2,신당,서울특별시 중구 퇴계로 지하 431-1,37.56565403,127.0195406,중구,황학동
2020,2,상왕십리,서울특별시 성동구 왕십리로 지하374,37.56446871,127.02903119999999,성동구,왕십리2동
2020,2,왕십리,서울특별시 성동구 왕십리로 지하300,37.56122174,127.0366554,성동구,행당1동
2020,2,한양대,서울특별시 성동구 왕십리로 206,37.55557788,127.0435845,성동구,사근동
2020,2,뚝섬,서울특별시 성동구 아차산로 18,37.54718822,127.0473652,성동구,성수1가2동
2020,2,성수,서울특별시 성동구 아차산로 100,37.5445024,127.0560905,성동구,성수2가3동
2020,2,건대입구,서울특별시 광진구 아차산로 243,37.54041889,127.0691733,광진구,자양4동
2020,2,구의,서울특별시 광진구 아차산로 384-1,37.53715356,127.08617920000002,광진구,자양2동
2020,2,강변,서울특별시 광진구 강변역로 53,37.53516928,127.0946646,광진구,구의3동
2020,2,잠실나루,서울특별시 송파구 오금로 20,37.52068673,127.1038111,송파구,잠실6동
