기간	구분	총가구	총가구	총가구	총가구	일반가구	일반가구	일반가구	일반가구	집단가구	집단가구	집단가구	집단가구	집단가구	집단가구	집단가구	집단가구	외국인가구	외국인가구	외국인가구	외국인가구
기간	구분	총가구	총가구	총가구	총가구	일반가구	일반가구	일반가구	일반가구	비혈연 6인이상 가구	비혈연 6인이상 가구	비혈연 6인이상 가구	비혈연 6인이상 가구	집단시설가구	집단시설가구	집단시설가구	집단시설가구	외국인가구	외국인가구	외국인가구	외국인가구
기간	구분	가구수	가구원수	가구원수	가구원수	가구수	가구원수	가구원수	가구원수	가구수	가구원수	가구원수	가구원수	가구수	가구원수	가구원수	가구원수	가구수	가구원수	가구원수	가구원수
기간	구분	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자
2016	도봉구	126,297	336,745	164,407	172,338	125,384	329,548	159,573	169,975	10	82	53	29	27	1,481	254	1,227	876	1,376	674	702
2016	노원구	205,793	555,420	270,058	285,362	204,606	540,372	259,901	280,471	46	352	163	189	41	5,377	2,279	3,098	1,100	1,781	891	890
2016	은평구	180,698	472,242	229,215	243,027	178,775	458,783	220,012	238,771	21	161	88	73	36	4,229	2,400	1,829	1,866	3,203	1,532	1,671
2016	서대문구	130,954	320,258	151,756	168,502	126,581	298,202	141,698	156,504	51	432	161	271	43	9,430	3,075	6,355	4,279	7,334	2,853	4,481
2016	마포구	158,474	375,142	179,193	195,949	153,610	357,717	169,347	188,370	54	461	261	200	20	3,707	1,805	1,902	4,790	7,873	3,353	4,520
2016	양천구	165,412	460,267	226,927	233,340	163,253	449,311	218,936	230,375	14	118	74	44	26	873	310	563	2,119	3,711	1,885	1,826
2016	강서구	225,672	574,287	279,521	294,766	222,652	559,978	269,519	290,459	19	164	119	45	40	1,808	889	919	2,961	5,240	2,609	2,631
2016	구로구	171,945	442,165	221,227	220,938	156,671	397,844	195,434	202,410	28	261	162	99	35	2,730	1,279	1,451	15,211	35,931	19,595	16,336
2016	금천구	103,691	247,819	126,271	121,548	93,402	220,371	110,481	109,890	18	134	73	61	21	1,219	414	805	10,250	22,351	12,104	10,247
2016	영등포구	161,970	398,120	199,142	198,978	146,904	346,269	169,915	176,354	51	426	267	159	37	2,392	1,274	1,118	14,978	43,009	22,681	20,328
2016	동작구	165,785	404,076	197,854	206,222	159,770	381,131	184,880	196,251	57	522	269	253	19	5,091	2,429	2,662	5,939	11,982	5,690	6,292
2016	관악구	241,003	515,648	259,824	255,824	230,570	481,589	240,531	241,058	96	996	699	297	24	6,662	3,293	3,369	10,313	19,443	9,372	10,071
2016	서초구	157,437	419,682	201,062	218,620	155,051	407,756	193,616	214,140	32	279	178	101	23	2,294	656	1,638	2,331	3,773	1,860	1,913
2016	강남구	212,128	532,469	254,645	277,824	208,904	517,916	244,758	273,158	57	472	282	190	13	1,646	538	1,108	3,154	4,607	2,394	2,213
2016	송파구	234,836	628,212	305,494	322,718	230,801	610,031	293,122	316,909	34	281	209	72	27	3,016	1,490	1,526	3,974	6,773	3,422	3,351
2016	강동구	162,679	429,416	212,899	216,517	160,021	417,818	204,634	213,184	26	245	176	69	28	1,471	781	690	2,604	4,187	2,134	2,053
2017	합계	3,948,850	9,741,871	4,757,642	4,984,229	3,813,260	9,239,517	4,468,616	4,770,901	1,429	12,754	7,052	5,702	817	95,491	41,001	54,490	133,344	258,259	125,955	132,304
2017	종로구	66,711	157,277	76,670	80,607	62,372	140,074	67,612	72,462	74	616	387	229	50	5,540	2,894	2,646	4,215	7,576	3,187	4,389
2017	중구	56,239	127,896	62,195	65,701	52,208	114,557	55,609	58,948	66	597	361	236	23	2,575	810	1,765	3,942	7,478	3,429	4,049
2017	용산구	96,975	223,898	108,471	115,427	91,102	204,962	97,634	107,328	56	478	238	240	29	2,359	931	1,428	5,788	11,287	5,954	5,333
2017	성동구	125,421	302,367	149,060	153,307	120,957	287,387	140,138	147,249	58	495	260	235	17	2,785	1,541	1,244	4,389	7,460	3,587	3,873
