X좌표,Y좌표,자치구,번째,1인 가구 점수,2인 가구 점수,4인 가구 점수
126.88888180909402,37.5846382005432,마포구,1617,47.0,47.0,41
126.889871430729,37.5840194338839,마포구,1692,89.0,89.0,49
126.889923309103,37.5839871015205,마포구,1692,89.0,89.0,49
126.89000954876002,37.583931718349206,마포구,1692,89.0,89.0,49
126.890037516758,37.5839140043606,마포구,1692,89.0,89.0,49
126.896785578348,37.579581378622606,마포구,1766,91.0,92.0,53
126.897534315858,37.579095507937396,마포구,1766,91.0,92.0,53
126.90208107408701,37.5760045274761,마포구,1840,62.0,63.0,40
126.902085504448,37.5760014408229,마포구,1840,62.0,63.0,40
126.902095770028,37.5759944127619,마포구,1840,62.0,63.0,40
126.902105151506,37.575988221873104,마포구,1840,62.0,63.0,40
126.90250225465799,37.5757171333215,마포구,1840,62.0,63.0,40
126.90254668788299,37.5756906995867,마포구,1840,62.0,63.0,40
126.90267681474899,37.575596493302605,마포구,1840,62.0,63.0,40
126.90272798100901,37.5755633077345,마포구,1840,62.0,63.0,40
126.902888553362,37.5754561704962,마포구,1840,62.0,63.0,40
126.90290926534401,37.575442114383,마포구,1840,62.0,63.0,40
126.90299300753,37.575385863610286,마포구,1840,62.0,63.0,40
126.90311091898701,37.575300088894295,마포구,1840,62.0,63.0,40
126.903920288367,37.5747750889507,마포구,1840,62.0,63.0,40
126.90413024651698,37.574633645199214,마포구,1840,62.0,63.0,40
126.90469994250499,37.5742500680492,마포구,1840,62.0,63.0,40
126.905420260784,37.5737753858734,마포구,1839,48.0,49.0,36
126.90624131154301,37.5732253229146,마포구,1839,48.0,49.0,36
126.90628928166201,37.5731927008303,마포구,1839,48.0,49.0,36
126.906504202248,37.573040832393296,마포구,1839,48.0,49.0,36
126.90666243478701,37.5729581769211,마포구,1839,48.0,49.0,36
126.906707033639,37.5729236508734,마포구,1839,48.0,49.0,36
126.906719440765,37.57291429957871,마포구,1839,48.0,49.0,36
126.906739440672,37.5728982690527,마포구,1839,48.0,49.0,36
126.906814078131,37.5728402963563,마포구,1839,48.0,49.0,36
126.907133127293,37.572590257577794,마포구,1914,60.0,60.0,34
126.907691710285,37.57217055438871,마포구,1914,60.0,60.0,34
126.9080451772,37.571920324224294,마포구,1914,60.0,60.0,34
126.90840308529499,37.5716832779395,마포구,1914,60.0,60.0,34
126.90879166053699,37.571451768692704,마포구,1914,60.0,60.0,34
126.909089092731,37.571298662853714,마포구,1914,60.0,60.0,34
126.909424241506,37.5711448739072,마포구,1914,60.0,60.0,34
126.909532186484,37.57109793551809,마포구,1914,60.0,60.0,34
126.909546694499,37.5710917570361,마포구,1914,60.0,60.0,34
126.909789141548,37.570987205847395,마포구,1914,60.0,60.0,34
126.910258802999,37.570773585258,마포구,1914,60.0,60.0,34
126.910835719371,37.5705090853574,마포구,1914,60.0,60.0,34
126.910938533449,37.5704632679698,마포구,1914,60.0,60.0,34
126.910948080556,37.5704593379779,마포구,1914,60.0,60.0,34
126.911034082068,37.57042532856661,마포구,1914,60.0,60.0,34
126.911085045323,37.5704042574723,마포구,1914,60.0,60.0,34
126.911179541418,37.57036603783849,마포구,1914,60.0,60.0,34
126.91119865722,37.570359006740006,마포구,1914,60.0,60.0,34
126.911213696295,37.5703533870709,마포구,1914,60.0,60.0,34
126.911548471593,37.5702300361548,마포구,1914,60.0,60.0,34
126.91163429686002,37.5701915302415,마포구,1914,60.0,60.0,34
126.912196890984,37.569912371701896,마포구,1914,60.0,60.0,34
126.91286249603901,37.5695972123101,마포구,1913,139.0,140.0,88
126.91289693212,37.5695759748505,마포구,1913,139.0,140.0,88
126.91347990994,37.5692909420104,마포구,1988,129.0,130.0,89
126.913666075483,37.5691975941794,마포구,1988,129.0,130.0,89
126.913988965422,37.5690470987227,마포구,1988,129.0,130.0,89
126.914409907337,37.568872257988296,마포구,1988,129.0,130.0,89
126.914533122408,37.568819460838704,마포구,1988,129.0,130.0,89
126.91466551060302,37.5687626158625,마포구,1988,129.0,130.0,89
126.91478742868901,37.56870542968071,마포구,1988,129.0,130.0,89
126.915292110749,37.5684679024686,마포구,1988,129.0,130.0,89
126.915894312999,37.5681832140574,마포구,1988,129.0,130.0,89
126.91606206246,37.56811438297621,마포구,1988,129.0,130.0,89
126.91614451733999,37.568079250033705,마포구,1988,129.0,130.0,89
126.91628907741502,37.5680168439228,마포구,1988,129.0,130.0,89
126.916303233064,37.56801094365871,마포구,1988,129.0,130.0,89
126.916313674436,37.568006446253904,마포구,1988,129.0,130.0,89
126.916432050646,37.56795613034829,마포구,1988,129.0,130.0,89
126.916458595478,37.5679448871239,마포구,1988,129.0,130.0,89
126.91647699801399,37.5679370167344,마포구,1988,129.0,130.0,89
126.91650372394,37.56792577363021,마포구,1988,129.0,130.0,89
126.916583166241,37.567891764445896,마포구,1988,129.0,130.0,89
126.91660422970399,37.567883049021795,마포구,1988,129.0,130.0,89
126.91667694485001,37.5678521343348,마포구,1988,129.0,130.0,89
126.916764178049,37.56781503122721,마포구,1988,129.0,130.0,89
126.916773181329,37.5678109832433,마포구,1988,129.0,130.0,89
126.916784992654,37.5678061353945,마포구,1988,129.0,130.0,89
126.917249944654,37.567638073478605,마포구,1988,129.0,130.0,89
126.91731481115299,37.567610729718105,마포구,1988,129.0,130.0,89
126.91740204533501,37.56757222059649,마포구,1988,129.0,130.0,89
