X좌표,Y좌표,자치구,번째,1인 가구 점수,2인 가구 점수,4인 가구 점수
126.954708594502,37.516032608325204,동작구,2500,11.0,11.0,8
126.955545464884,37.515711389451106,동작구,2500,11.0,11.0,8
126.955551474604,37.5157057605632,동작구,2500,11.0,11.0,8
126.956023836807,37.5155113822944,동작구,2500,11.0,11.0,8
126.956608454067,37.515270310180995,동작구,2500,11.0,11.0,8
126.957289598925,37.514987311943,동작구,2500,11.0,11.0,8
126.95748298717699,37.514907141454394,동작구,2500,11.0,11.0,8
126.957615754622,37.5148534103978,동작구,2500,11.0,11.0,8
126.957853163332,37.514756641279504,동작구,2500,11.0,11.0,8
126.95806176672701,37.51467141186321,동작구,2500,11.0,11.0,8
126.958125395401,37.5146452522974,동작구,2500,11.0,11.0,8
126.958159166787,37.5146317407416,동작구,2500,11.0,11.0,8
126.95827283514299,37.5145867325874,동작구,2500,11.0,11.0,8
126.958420263013,37.514528789326,동작구,2500,11.0,11.0,8
126.958715650017,37.514412325804294,동작구,2500,11.0,11.0,8
126.958891725862,37.5143383455822,동작구,2500,11.0,11.0,8
126.95908405944598,37.5142570368265,동작구,2500,11.0,11.0,8
126.95953430984699,37.514068276759794,동작구,2500,11.0,11.0,8
126.959805655296,37.51395574832,동작구,2500,11.0,11.0,8
126.960054897333,37.5138654480934,동작구,2500,11.0,11.0,8
126.960171570081,37.5138241062161,동작구,2575,0.0,0.0,0
126.96083745042601,37.513586699557294,동작구,2575,0.0,0.0,0
126.961189933295,37.513459266327295,동작구,2575,0.0,0.0,0
126.961611019664,37.5132389534737,동작구,2575,0.0,0.0,0
126.961884500175,37.51309854412521,동작구,2575,0.0,0.0,0
126.961900237873,37.51309038637429,동작구,2575,0.0,0.0,0
126.96258513957198,37.5126187170565,동작구,2575,0.0,0.0,0
126.96314647095801,37.512198243343,동작구,2574,83.0,84.0,51
126.963883891737,37.5116421150071,동작구,2574,83.0,84.0,51
126.964074300331,37.511495204895795,동작구,2574,83.0,84.0,51
126.964370248293,37.511277644497206,동작구,2574,83.0,84.0,51
126.964740466731,37.51099929820639,동작구,2574,83.0,84.0,51
126.96497471682699,37.5108183335697,동작구,2574,83.0,84.0,51
126.965008295307,37.5108000356923,동작구,2574,83.0,84.0,51
126.965232974524,37.5106911383341,동작구,2574,83.0,84.0,51
126.965316827525,37.5106503308733,동작구,2574,83.0,84.0,51
126.96637541293,37.5101351270131,동작구,2649,0.0,0.0,0
126.966857277335,37.50989874861,동작구,2649,0.0,0.0,0
126.96692090903299,37.5098751160864,동작구,2649,0.0,0.0,0
126.96699956330099,37.5098461450056,동작구,2649,0.0,0.0,0
126.967962473593,37.5095862594957,동작구,2649,0.0,0.0,0
126.96836120899799,37.5094805049057,동작구,2649,0.0,0.0,0
126.96887518592399,37.5093438045811,동작구,2649,0.0,0.0,0
126.969341246134,37.5092177928229,동작구,2649,0.0,0.0,0
126.969639950741,37.509136504738,동작구,2649,0.0,0.0,0
126.969764196683,37.5091030301097,동작구,2649,0.0,0.0,0
126.96989587393298,37.50906815178421,동작구,2649,0.0,0.0,0
126.96999944205601,37.5090405909237,동작구,2649,0.0,0.0,0
126.970073136488,37.5090208967409,동작구,2649,0.0,0.0,0
126.97009258089399,37.50901583831,동작구,2649,0.0,0.0,0
126.970098067065,37.5090141458943,동작구,2649,0.0,0.0,0
126.970121041203,37.5090068359041,동작구,2649,0.0,0.0,0
126.970197046853,37.5089775736664,동작구,2649,0.0,0.0,0
126.97027463611099,37.5089477441702,동작구,2649,0.0,0.0,0
126.97034939740101,37.508918760814296,동작구,2649,0.0,0.0,0
126.970418864638,37.5088917492016,동작구,2649,0.0,0.0,0
126.970486385999,37.5088658722934,동작구,2649,0.0,0.0,0
126.9705805925,37.5088292894792,동작구,2649,0.0,0.0,0
126.97075769318701,37.50876063467671,동작구,2649,0.0,0.0,0
126.971003558788,37.5086658144058,동작구,2649,0.0,0.0,0
126.971851951665,37.5083382926903,동작구,2648,39.0,39.0,30
126.97257007115,37.5080602878737,동작구,2723,0.0,0.0,0
126.97354216752501,37.5076809768715,동작구,2723,0.0,0.0,0
126.974058792526,37.507480626125705,동작구,2723,0.0,0.0,0
126.974084424586,37.5074707751672,동작구,2723,0.0,0.0,0
126.975139576848,37.507060214628794,동작구,2723,0.0,0.0,0
