XÁÂÇ¥,YÁÂÇ¥,ÀÚÄ¡±¸,¹øÂ°,1ÀÎ °¡±¸ Á¡¼ö,2ÀÎ °¡±¸ Á¡¼ö,4ÀÎ °¡±¸ Á¡¼ö
127.11130504302099,37.620691840346,Áß¶û±¸,4476,0.0,0.0,0
127.112142861023,37.6203070152999,Áß¶û±¸,4476,0.0,0.0,0
127.11291730766399,37.6201579044225,Áß¶û±¸,4476,0.0,0.0,0
127.11339856484,37.620063134581706,Áß¶û±¸,4476,0.0,0.0,0
127.11350523816002,37.620037409535605,Áß¶û±¸,4551,0.0,0.0,0
127.113938996886,37.6198956514025,Áß¶û±¸,4551,0.0,0.0,0
127.11441572387699,37.6197358399863,Áß¶û±¸,4551,0.0,0.0,0
127.115021064578,37.619537602355706,Áß¶û±¸,4551,0.0,0.0,0
127.115544339242,37.6196142488334,Áß¶û±¸,4551,0.0,0.0,0
127.11571498794399,37.6196343558754,Áß¶û±¸,4551,0.0,0.0,0
127.11606145962799,37.61913397621871,Áß¶û±¸,4551,0.0,0.0,0
127.11607895291701,37.619114813413404,Áß¶û±¸,4551,0.0,0.0,0
127.11620308827,37.6189330913121,Áß¶û±¸,4550,0.0,0.0,0
127.115873008882,37.618583155618296,Áß¶û±¸,4550,0.0,0.0,0
127.116509787909,37.6182359298184,Áß¶û±¸,4550,0.0,0.0,0
127.117146741831,37.617888439110295,Áß¶û±¸,4550,0.0,0.0,0
127.11713533407601,37.617836085318,Áß¶û±¸,4550,0.0,0.0,0
127.117090131008,37.6176762056069,Áß¶û±¸,4550,0.0,0.0,0
127.11702339493701,37.6174422863741,Áß¶û±¸,4550,0.0,0.0,0
127.117015730777,37.617400911851604,Áß¶û±¸,4550,0.0,0.0,0
127.117009654943,37.61736853656689,Áß¶û±¸,4550,0.0,0.0,0
127.11701812855301,37.617347409296606,Áß¶û±¸,4550,0.0,0.0,0
127.117122133062,37.6170863114926,Áß¶û±¸,4550,0.0,0.0,0
127.117255025741,37.6167342312919,Áß¶û±¸,4550,0.0,0.0,0
127.11699356412399,37.6164557421012,Áß¶û±¸,4550,0.0,0.0,0
127.116904933459,37.6163671452876,Áß¶û±¸,4550,0.0,0.0,0
127.116878330345,37.6163249333325,Áß¶û±¸,4550,0.0,0.0,0
127.116671666238,37.61601542313171,Áß¶û±¸,4550,0.0,0.0,0
127.11670323998699,37.6157189156757,Áß¶û±¸,4550,0.0,0.0,0
127.116713440451,37.6156718835458,Áß¶û±¸,4550,0.0,0.0,0
127.116735973283,37.6154840611646,Áß¶û±¸,4550,0.0,0.0,0
127.116790836999,37.6150284537809,Áß¶û±¸,4550,0.0,0.0,0
127.11679621635099,37.6149546762321,Áß¶û±¸,4549,0.0,0.0,0
127.116675440539,37.61467295838021,Áß¶û±¸,4549,0.0,0.0,0
127.11706076714,37.614144381817,Áß¶û±¸,4549,0.0,0.0,0
