자치구,1인 가구 점수,2인 가구 점수,4인 가구 점수
강남구,34.94805194805195,35.00613275613276,19.66017316017316
강동구,33.90283613445378,34.12079831932773,20.07983193277311
강북구,69.11803713527851,69.51492042440319,46.9184350132626
강서구,9.63524500109866,9.678642056690837,5.510217534607778
관악구,70.56105610561056,70.91683168316831,43.308910891089106
광진구,27.700544464609802,27.708711433756807,15.927404718693285
구로구,82.01663286004057,82.28052738336714,49.173630831643
금천구,71.47721822541966,71.67426059152677,41.972821742605916
노원구,47.19422665716322,47.6703492516037,33.36493228795438
도봉구,50.77899343544858,51.154631655725744,34.391684901531725
동대문구,94.9454128440367,95.49311926605505,55.804587155963304
동작구,107.499173553719,108.05578512396694,65.36694214876033
마포구,85.77707581227436,86.23781588447653,53.97111913357401
서대문구,148.04145077720207,148.6865284974093,86.89637305699482
서초구,51.57694491766042,51.77030096536059,28.793299261783076
성동구,98.08354755784062,98.72943444730078,61.59383033419023
성북구,83.281896966779,83.95570534424651,53.85652383245065
송파구,26.65826911677534,26.87581505631298,17.033195020746888
양천구,61.951124144672534,62.353372434017594,37.49071358748778
영등포구,84.54970375246873,85.00131665569454,50.72086899275839
용산구,56.02826310380267,56.40082219938335,36.793422404933196
은평구,43.58778135048232,43.7983922829582,26.931832797427653
종로구,218.3271128271128,219.15658515658515,120.49163449163449
중구,50.14853441146742,50.315492051823945,27.469815308278967
중랑구,44.80548628428928,45.19908561928512,29.49875311720698
