구분,노선명,공동주택명,계약종별,가로등분전함위치
저압,응암로-06,"(응암동,농협 응암오거리)",가로등(을),"서울특별시 은평구 응암로 222 (응암동,농협 응암오거리)"
저압,응암로-03,"(응암동,SK텔레콤 응암오거리)",가로등(을),"서울특별시 은평구 응암로 223(응암동,SK텔레콤 응암오거리)"
저압,응암로-05,"(응암동,응암오거리 서대문구계)",가로등(을),"서울특별시 은평구 응암로 188-1 (응암동,응암오거리 서대문구계)"
저압,응암로-04,"(응암동,응암오거리국민은행 서대문구계)",가로등(을),"서울특별시 은평구 응암로 177(응암동,응암오거리국민은행 서대문구계)"
저압,연서로-15,(진관동),가로등(을),서울특별시 은평구 연서로 535  (진관동)
저압,연서로-11,(진관동),가로등(을),서울특별시 은평구 연서로 11  (진관동)
저압,연서로-13,(진관동),가로등(을),서울특별시 은평구 대서문길 42-3  (진관동)
저압,연서로-14,(진관동),가로등(을),서울특별시 은평구 연서로 631  (진관동)
저압,연서로-12,(역촌동),가로등(을),서울특별시 은평구 연서로 12  (역촌동)
저압,가좌로-01,"(응암동,세기건설앞)",가로등(을),"서울특별시 은평구 가좌로 196(응암동,세기건설앞)"
저압,가좌로-02,"(응암동,청해수산앞)",가로등(을),"서울특별시 은평구 가좌로 240(응암동,청해수산앞)"
저압,가좌로-03,"(신사동,정명앞)",가로등(을),"서울특별시 은평구 가좌로 294(신사동,정명앞)"
저압,가좌로-04,"(신사동,명남아파트앞)",가로등(을),"서울특별시 은평구 가좌로 293 (신사동,명남아파트앞)"
저압,가좌로-05,"(응암동,응암안경앞)",가로등(을),"서울특별시 은평구 응암로 201 (응암동,응암안경앞)"
저압,가좌로-06,(응암동),가로등(을),서울특별시 은평구 가좌로 191 (응암동)
저압,수색로-01,"(증산동,증산펌프장앞)",가로등(을),"서울특별시 은평구 증산로 213 (증산동,증산펌프장앞)"
저압,수색로-03,"(수색동,공주공업사앞)",가로등(을),"서울특별시 은평구 수색로 220 (수색동,공주공업사앞)"
저압,수색로-04,"(수색동,수색소방서앞)",가로등(을),"서울특별시 은평구 수색로 294 (수색동,수색소방서앞)"
저압,수색로-05,"(수색동,수색로-5, 덕은상사앞)",가로등(을),"서울특별시 은평구 수색로 326 (수색동,수색로-5, 덕은상사앞)"
저압,수색로-06,"(수색동,신한목재앞)",가로등(을),"서울특별시 은평구 수색로 386  (수색동,신한목재앞)"
저압,수색로-07,"(수색동,대선비철앞)",가로등(을),"서울특별시 은평구 수색로 408 (수색동,대선비철앞)"
저압,수색로-08,"(수색동,물레방아건너편)",가로등(을),"서울특별시 은평구 수색로 380  (수색동,물레방아건너편)"
저압,수색로-09,"(수색동,수색교아래)",가로등(을),"서울특별시 은평구 수색로 336 (수색동,수색교아래)"
저압,수색로-10,"(수색동,SK텔레콤앞)",가로등(을),"서울특별시 은평구 수색로 279 (수색동,SK텔레콤앞)"
저압,수색로-11,"(수색동,신수색역앞)",가로등(을),"서울특별시 은평구 수색로 257 (수색동,신수색역앞)"
저압,수색로-12,"(수색동,이어도횟집앞)",가로등(을),"서울특별시 은평구 수색로 22 (수색동,이어도횟집앞)"
저압,응삼길-01,(응암동),가로등(을),서울특별시 은평구 응암로21길 13  (응암동)
저압,연천초교길-01,(불광동),가로등(을),서울특별시 은평구 연서로34길 29  (불광동)
저압,백련산길-05,(응암동),가로등(을),서울특별시 은평구 백련산로 148  (응암동)
저압,백련산길-01,"(응암동,제일교회앞)",가로등(을),"서울특별시 은평구 백련산로 169-1  (응암동,제일교회앞)"
저압,백련산길-02,"(응암동,신동아아파트앞)",가로등(을),"서울특별시 은평구 백련산로 127 (응암동,신동아아파트앞)"
저압,백련산길-03,(응암동),가로등(을),서울특별시 은평구 백련산로 73-1(응암동)
저압,백련산길-04,(응암동),가로등(을),서울특별시 은평구 백련산로 23  (응암동)
저압,덕산2길,"(신사동,은평구청)",가로등(을),"서울특별시 은평구 갈현로1길 36 (신사동,서울특별시 은평구청)"
저압,북한산길-06,잠정공급(LP-2B),가로등(을),서울특별시 은평구 진관동 산66-5
저압,북한산길-07,"(진관동,잠정공급(LP-2C))",가로등(을),서울특별시 은평구 진관4로 77
저압,북한산길-08,잠정공급(LP-2D),가로등(을),서울특별시 은평구 진관동 산66-5
저압,북한산길-15,LP-1A(잠정공급),가로등(을),서울특별시 은평구 진관동 산66-5
저압,북한산길-05,창릉천변 LP-2A,가로등(을),서울특별시 은평구 진관동 산66-5
저압,북한산길-14,창릉천변LP-1B,가로등(을),서울특별시 은평구 진관동 산66-5
저압,북한산길-13,"(진관동,창릉천변 LP-1C)",가로등(을),서울특별시 은평구 진관4로 77
저압,북한산길-12,창릉천변 LP-1D,가로등(을),서울특별시 은평구 진관동 산66-5
저압,진흥로-05,"(녹번동,식약청앞)",가로등(을),"서울특별시 은평구 통일로 684   (녹번동,식약청앞)"
저압,진흥로-04,"(녹번동,양광교회앞)",가로등(을),"서울특별시 은평구 진흥로 176  (녹번동,양광교회앞)"
저압,진흥로-03,"(녹번동,현대자동차앞)",가로등(을),"서울특별시 은평구 진흥로 126  (녹번동,현대자동차앞)"
저압,진흥로-06,"(녹번동,약수터앞)",가로등(을),"서울특별시 은평구 진흥로 290 (녹번동,약수터앞)"
저압,진흥로-07,"(녹번동,배수지앞)",가로등(을),"서울특별시 은평구 진흥로 314   (녹번동,배수지앞)"
저압,진흥로-08,배수지건너편,가로등(을),서울특별시 은평구 불광동 산1    배수지건너편
저압,진흥로-09,"(불광동,약수터건너편)",가로등(을),"서울특별시 은평구 진흥로 295-3  (불광동,약수터건너편)"
저압,진흥로-10,"(불광동,보건원앞)",가로등(을),"서울특별시 은평구 진흥로 235  (불광동,보건원앞)"
저압,진흥로-11,"(대조동,오페라앞)",가로등(을),"서울특별시 은평구 통일로 753  (대조동,오페라앞)"
저압,진흥로-12,"(대조동,프라자약국앞)",가로등(을),"서울특별시 은평구 진흥로 147-1  (대조동,프라자약국앞)"
저압,진흥로-13,"(대조동,현대부품앞)",가로등(을),"서울특별시 은평구 진흥로 127   (대조동,현대부품앞)"
저압,불광동길-07,"(불광동,가로등)",가로등(을),"서울특별시 은평구 불광로 122 (불광동,가로등)"
저압,불광천변길-03,"(응암동,가로등(불광천변길-4)",가로등(을),"서울특별시 은평구 불광천길 526(응암동,가로등(불광천변길-4)"
저압,불광천변길-04,"(응암동,불광천변길-4(가로등))",가로등(을),"서울특별시 은평구 불광천길 442  (응암동,불광천변길-4(가로등))"
