구분,노선명,공동주택명,계약종별,가로등분전함위치
저압,태양광가로등,"(신사동,토목과)",가로등(을),"서울특별시 은평구 증산로 445   서울특별시 은평구청(신사동,토목과)"
저압,불광먹자골목,"(불광동,먹자골목내)",가로등(을),"서울특별시 은평구 통일로66길 5  (불광동,먹자골목내)"
저압,2지구 B공구 교량경관-1,"(진관동,2-11단지교량보안등)",가로등(을),"서울특별시 은평구 진관3로 15-35  (진관동,2-11단지교량보안등)"
저압,2지구 B공구-3(LP-02),"(진관동,2-7,2-8중로 가로등)",가로등(을),"서울특별시 은평구 진관3로 15-35  (진관동,2-7,2-8중로 가로등)"
저압,2지구 C공구-1(LP-01),"(진관동,2지구C공구 LP-1)",가로등(을),"서울특별시 은평구 진관2로 1   우체국앞(진관동,2지구C공구 LP-1)"
저압,2지구 C공구-2(LP-02),"(진관동,2지구C공구(LP-2))",가로등(을),"서울특별시 은평구 진관2로 29-21  (진관동,2지구C공구(LP-2))"
저압,2지구 C공구-3(LP-03),"(진관동,2지구C공구(LP-3))",가로등(을),"서울특별시 은평구 진관2로 4  (진관동,2지구C공구(LP-3))"
저압,2지구 C공구-4(LP-04),"(진관동,2지구C공구(LP-4))",가로등(을),"서울특별시 은평구 진관2로 3  (진관동,2지구C공구(LP-4))"
저압,2지구 C공구-5(LP-05),"(진관동,2지구C공구(LP-5))",가로등(을),"서울특별시 은평구 진관2로 5  (진관동,2지구C공구(LP-5))"
저압,2지구 C공구-6(LP-06),"(진관동,2지구C공구(LP-6))",가로등(을),"서울특별시 은평구 연서로 455  (진관동,2지구C공구(LP-6))"
저압,2지구 C공구-7(LP-07),"(진관동,2지구C공구(LP-7))",가로등(을),"서울특별시 은평구 진관2로 111-7  (진관동,2지구C공구(LP-7))"
저압,2지구 U-CITY 생활가로등 (L-1),"(진관동,2지구B공구320옆)",가로등(을),"서울특별시 은평구 진관2로 90 (진관동,2지구B공구320옆)"
저압,2지구 U-CITY 생활가로등 (L-2),"(진관동,2지구B공구320동옆)",가로등(을),"서울특별시 은평구 진관2로 0(진관동,2지구B공구320동옆)"
저압,2지구 B공구-2 (LP-01-1),"(진관동,3-2대로 가로등2)",가로등(을),"서울특별시 은평구 진관1로 46  (진관동,3-2대로 가로등2)"
저압,2지구 B공구 교량경관-2,"(진관동,제2교량 경관조명)",가로등(을),"서울특별시 은평구 진관3로 15-35  (진관동,제2교량 경관조명)"
저압,2지구 B공구 교량경관-3,"(진관동,제3교량 경관조명)",가로등(을),"서울특별시 은평구 진관3로 15-35  (진관동,제3교량 경관조명)"
저압,2지구 B공구 교량경관-4,"(진관동,제4교량 경관조명)",가로등(을),"서울특별시 은평구 진관3로 15-35  (진관동,제4교량 경관조명)"
저압,3지구 B공구 (L-7),"(진관동,L-6)",가로등(을),"서울특별시 은평구 진관3로 12(진관동,L-6)"
저압,3지구 B공구 (L-6),"(진관동,L-7)",가로등(을),"서울특별시 은평구 진관3로 1(진관동,L-7)"
저압,3지구 B공구 (L-8),"(진관동,L-8)",가로등(을),"서울특별시 은평구 진관2로 29-20 (진관동,L-8)"
저압,3지구 D공구 (L-3),"(진관동,L-3(은평3D)교량경관조명)",가로등(을),"서울특별시 은평구 진관1로 90(진관동,L-3(은평3D)교량경관조명)"
저압,,"(진관동,L-4(은평3D))",가로등(을),"서울특별시 은평구 연서로46길 1 (진관동,L-4(은평3D))"
저압,,"(진관동,L-5(은평3D))",가로등(을),"서울특별시 은평구 연서로44길 7 (진관동,L-5(은평3D))"
저압,,"(진관동,L-6(은평3D))",가로등(을),"서울특별시 은평구 연서로44길 51 (진관동,L-6(은평3D))"
저압,불광3구역,(불광동),가로등(을),서울특별시 은평구 불광로14길 5 (불광동)
저압,불광6구역,LP-01,가로등(을),서울특별시 은평구 불광동 1-200
저압,불광6구역,LP-02,가로등(을),서울특별시 은평구 불광동 1-200
저압,진관사 입구,진관사입구 가로등,가로등(을),서울특별시 은평구 진관동 34    진관사입구 가로등
저압,,"(진관동,3지구 B공구 가로등)",가로등(을),"서울특별시 은평구 진관3로 15-59 (진관동,3지구 B공구 가로등)"
저압,,"(진관동,L-11)",가로등(을),"서울특별시 은평구 진관3로 15-59  3지구B공구가로등(진관동,L-11)"
저압,,"(진관동,L-12)",가로등(을),"서울특별시 은평구 진관3로 15-59(진관동,L-12)"
저압,,"(진관동,L-13)",가로등(을),"서울특별시 은평구 진관3로 15-59(진관동,L-13)"
저압,,"(진관동,3지구 공구 가로등)",가로등(을),"서울특별시 은평구 진관3로 15-59(진관동,3지구 공구 가로등)"
저압,,"(진관동,L-2)",가로등(을),"서울특별시 은평구 진관3로 15-59 (진관동,L-2)"
저압,,역촌센트레빌 도로,가로등(을),서울특별시 은평구 역촌동 220 역촌센트레빌 도로
저압,통일로 버스전용차로,"(불광동,박석고개삼거리가로등)",가로등(을),"서울특별시 은평구 통일로 906  (불광동,박석고개삼거리가로등)"
저압,통일로 버스전용차로,"(불광동,연신내역 가로등)",가로등(을),"서울특별시 은평구 통일로 852  (불광동,연신내역 가로등)"
저압,통일로 버스전용차로,"(대조동,연신내역 가로등(2))",가로등(을),"서울특별시 은평구 통일로 843-1  (대조동,연신내역 가로등(2))"
저압,통일로 버스전용차로,"(대조동,동명여고 가로등)",가로등(을),"서울특별시 은평구 통일로 801  (대조동,동명여고 가로등)"
저압,통일로 버스전용차로,"(대조동,불광동사거리 가로등)",가로등(을),"서울특별시 은평구 통일로 739  (대조동,불광동사거리 가로등)"
저압,통일로 버스전용차로,"(대조동,질병관리본부사거리 가로등(1))",가로등(을),"서울특별시 은평구 통일로 713  (대조동,질병관리본부사거리 가로등(1))"
저압,통일로 버스전용차로,"(녹번동,질병관리본부사거리 가로등(2))",가로등(을),"서울특별시 은평구 진흥로 200  (녹번동,질병관리본부사거리 가로등(2))"
저압,통일로 버스전용차로,"(녹번동,질병관리본부사거리 가로등(3))",가로등(을),"서울특별시 은평구 통일로 664  (녹번동,질병관리본부사거리 가로등(3))"
저압,통일로 버스전용차로,"(녹번동,녹번역삼거리 가로등)",가로등(을),"서울특별시 은평구 은평로 239  (녹번동,녹번역삼거리 가로등)"
저압,,가로등 L-6,가로등(을),서울특별시 은평구 진관동 141-11
저압,,가로등 L-5,가로등(을),서울특별시 은평구 진관동 141-11
저압,,"(진관동,L-4)",가로등(을),서울특별시 은평구 진관3로 3
저압,,"(진관동,L-11)",가로등(을),서울특별시 은평구 진관3로 2
저압,,"(진관동,L-6)",가로등(을),서울특별시 은평구 진관3로 11
저압,,"(진관동,L-3)",가로등(을),서울특별시 은평구 진관3로 15-59
저압,,"(진관동,L-15)",가로등(을),서울특별시 은평구 진관1로 21-35
저압,,"(진관동,L-16)",가로등(을),서울특별시 은평구 통일로 1010
저압,진관사입구,가로등 L-7,가로등(을),서울특별시 은평구 진관동 141-12
저압,인덕원앞,가로등 L-8,가로등(을),서울특별시 은평구 진관동 141-13
저압,하나고건너편,가로등 L-9,가로등(을),서울특별시 은평구 진관동 141-14
저압,,"(불광동,기부체납도로가로등)",가로등(을),서울특별시 은평구 통일로72길 17
저압,,,가로등(을),서울특별시 은평구 신사동 19-19
저압,응암9구역,A 가로등아파트,가로등(을),서울특별시 은평구 응암동 663    A 가로등아파트
저압,응암9구역,"(응암동,B 가로등아파트)",가로등(을),"서울특별시 은평구 백련산로2길 39  (응암동,B 가로등아파트)"
저압,응암7구역,(응암동),가로등(을),서울특별시 은평구 백련산로 8  (응암동)
저압,응암8구역,(응암동),가로등(을),서울특별시 은평구 백련산로 7  (응암동)
저압,의상봉길-01,(진관동),가로등(을),서울특별시 은평구 의상봉길 20 (진관동)
저압,의상봉길-02,(진관동),가로등(을),서울특별시 은평구 의상봉길 51 (진관동)
저압,진관3로-17,"(진관동,금호어울림상가앞)",가로등(을),"서울특별시 은평구 진관3로 15-59  (진관동,금호어울림상가앞)"
저압,북한산길-10,"(진관동,저류지앞)",가로등(을),"서울특별시 은평구 진관3로 15-59  (진관동,저류지앞)"
저압,기본,"(녹번동,토목과장 T.351-7943)",가로등(을),서울특별시 은평구 은평로 195
저압,기본,"(녹번동,토목과장 T.351-7943)",가로등(을),서울특별시 은평구 은평로 195
저압,나눔의거리,"(응암동,나눔의거리)",가로등(을),"서울특별시 은평구 응암로9길 8-1 (응암동,나눔의거리)"
저압,,"(불광동,은평구청 토목과)",가로등(을),서울특별시 은평구 불광로 64
저압,걷고싶은거리,"(역촌동,걷고싶은 서부시장길)",가로등(을),"서울특별시 은평구 진흥로1길 28 (역촌동,걷고싶은 서부시장길)"
저압,서오릉로-05,"(갈현동,서오릉로-5)",가로등(을),"서울특별시 은평구 서오릉로 208  (갈현동,서오릉로-5)"
저압,서오릉로-06,"(갈현동,서오릉-6)",가로등(을),"서울특별시 은평구 서오릉로 228  (갈현동,서오릉-6)"
저압,서오릉로-07,"(갈현동,서오릉-7)",가로등(을),"서울특별시 은평구 서오릉로 258  (갈현동,서오릉-7)"
저압,서오릉로-08,"(구산동,서오릉로-8)",가로등(을),"서울특별시 은평구 서오릉로 269  (구산동,서오릉로-8)"
저압,서오릉로-09,"(구산동,서오릉로-9)",가로등(을),"서울특별시 은평구 서오릉로 227  (구산동,서오릉로-9)"
저압,서오릉로-10,"(구산동,서오릉로-10)",가로등(을),"서울특별시 은평구 서오릉로 203  (구산동,서오릉로-10)"
저압,레인보우교,"(신사동,불광천 보도교량)",일반용(갑)저압,"서울특별시 은평구 증산로19길 0  (신사동,불광천 보도교량)"
저압,,"(진관동,L-S1(생태교))",일반용(갑)저압,"서울특별시 은평구 연서로 487 (진관동,L-S1(생태교))"
저압,,L-S2 (생태2교),일반용(갑)저압,서울특별시 은평구 진관동 141-15
저압,기자촌 입구,,가로등(을),서울특별시 서울특별시 은평구 진관동 175-397
저압,기자촌 입구,,가로등(을),서울특별시 서울특별시 은평구 진관동 175-731
저압,대우 푸르지오,,가로등(을),서울특별시 서울특별시 은평구 통일로58길 24
저압,롯데몰 입구,,가로등(을),서울특별시 은평구 진관동 86-11
저압,응암길,,가로등(을),서울특별시 은평구 응암로16가길 8
저압,은평로-1,,가로등(을),서울특별시 은평구 은평로 217
저압,은평로1길-1,,가로등(을),서울특별시 은평구 가좌로12길 20-29
저압,은평로1길-2,,가로등(을),서울특별시 은평구 신사동 19-117
저압,진흥로-15,,가로등(을),서울특별시 은평구 진흥로 33-1
저압,진흥로,,가로등(을),서울특별시 은평구 진흥로 51
저압,진흥로-2,,가로등(을),서울특별시 은평구 진흥로 70
저압,진흥로-1,,가로등(을),서울특별시 은평구 진흥로 52
저압,,,가로등(을),서울특별시 은평구 은평로 195
저압,북한산 푸르지오,,가로등(을),서울특별시 은평구 녹번동 281-12
저압,응암10구역-1,,가로등(을),서울특별시 은평구 응암동 409-23
저압,응암10구역-2,,가로등(을),서울특별시 은평구 응암동 450-1
저압,백련산로 계단조명,,가로등(을),서울특별시 은평구 백련산로 38
