노선명,구 간,노폭(m),설치년도,조도(lx),경간(m),형태,선로배전방식,등주타입,본수,광원
삼일대로,세종호텔 ~ 남산1호터널,40,1994,20,15,A,3선로,벽부 치부형,0,MH350(W)
새문안로,세종호텔 ~ 남산1호터널,40,2015,22,30,B,3선로,SE12-28Q,11,LED120(W)
새문안로,세종호텔 ~ 남산1호터널,40,2015,22,30,B,3선로,SE12-28QY,2,LED120(W)
서소문로,충정로역 ~ 시청,30,2004,22,26,B,4선로,SE10-25Q,16,LED100(W)
서소문로,충정로역 ~ 시청,30,2004,22,26,B,4선로,SE10-25Q,10,LED110(W)
서소문로,충정로역 ~ 시청,30,2004,22,26,B,4선로,SE10-25QY,4,CDM250(W)
서소문로,충정로역 ~ 시청,30,2004,22,26,B,4선로,SE10-25QY,2,LED110(W)
서소문로,(시청역12번출구~국민은행 앞),30,2004,22,26,B,4선로,SE10-25Q,3,LED140(W)
서소문로,(시청역12번출구~국민은행 앞),30,2004,22,26,B,4선로,SE10-25Q,5,LED140(W)
서소문로,(시청역12번출구~국민은행 앞),30,2004,22,26,B,4선로,SE10-25QY,2,LED140(W)
서소문로,(국민은행앞~고가앞),30,2004,22,26,B,4선로,SE10-25Q,20,LED165(W)
세종대로,조선일보~신한은행본점,50,2009,22,30,B,4선로,AZ12-25R,58,LED150(W)
세종대로,조선일보~신한은행본점,50,2009,20,30,B,4선로,AZ12-25RY,1,MH350(W)
세종대로,조선일보~신한은행본점,50,2009,20,30,B,4선로,AZ08-25R,4,MH350(W)
세종대로,조선일보~신한은행본점,50,2009,20,30,B,4선로,AZ08-25R,5,LED150(W)
세종대로,숭례문~서울역 YTN,50,2017,18,30,B,4선로,R12-25QY(3),1,LED120(W)
세종대로,숭례문~서울역 YTN,50,2017,18,30,B,4선로,R11-25QY,1,LED100(W)
세종대로,숭례문~서울역 YTN,50,2017,18,30,B,4선로,R11-25Q,9,LED100(W)
세종대로,숭례문~서울역 YTN,50,2002,20,30,B,4선로,R11-25Q,14,LED100(W)
세종대로,숭례문~서울역 YTN,50,2002,20,30,B,4선로,R10-25Q,3,LED100(W)
소공로,중앙우체국 ~ 3호터널입구,35,2007,20,30,B,3선로,RZ12-25R,39,LED125(W)
소공로,롯데캐슬 신축공사 암교체 Y,35,2007,22,30,B,3선로,RZ12-25RY,3,LED125(W)
소공로,롯데캐슬 신축공사 암교체 Y,35,2007,20,30,D,3선로,RZ12-25RY ⑷,5,LED125(W)
소공로,롯데캐슬 신축공사 암교체 Y,35,2005,20,30,D,3선로,SE12-28RY,4,LED100(W)
소공로,롯데캐슬 신축공사 암교체 Y,35,2002,20,30,D,3선로,SE12-25R,1,LED100(W)
소공로,롯데캐슬 신축공사 암교체 Y,35,2002,20,30,D,3선로,SE12-25RY,5,LED100(W)
소공로,롯데캐슬 신축공사 암교체 Y,35,2001,20,30,D,3선로,SE12-25RY,5,LED150(W)
