표찰번호,지번주소,설치일자,X좌표,Y좌표
가족공원길01,대방동 17-27,20160823,126.93194528072514,37.50864875768504
가족공원길02,대방동 17-45,20160823,126.93165982606372,37.50850668464845
가족공원길03,대방동 15-17,20160823,126.93145634889363,37.50838943614522
가족공원길04,대방동 15-19,20160823,126.93124439177497,37.50826992984211
가족공원길05,대방동 15-10,20160823,126.9309928683523,37.50813012744281
가족공원길06,대방동 15-10,20160823,126.93062548552726,37.50791592362651
가족공원길08,대방동 503-2,20160823,126.92997526354567,37.50779615683109
가족공원길09,대방동 20-114,20160823,126.92985657462876,37.50772400603096
가족공원길10,대방동 20-124,20160823,126.92963049066216,37.507597730894865
가족공원길11,대방동 15-46,20160823,126.92933097262353,37.50738581595692
가족공원길12,대방동 15-42,20160823,126.9291220238792,37.507081601633516
가족공원길13,대방동 15-42,20160823,126.9289270391883,37.50696210133147
가족공원길14,대방동 15-51,20160823,126.92867838197635,37.506790760529405
가족공원길15,대방동 15-51,20160823,126.92857947546618,37.50673213545122
가족공원길16,대방동 466-57,20160823,126.92835903655029,37.5066216288618
가족공원길17,대방동 466-57,20160823,126.92815273570389,37.506511130459224
가족공원길18,대방동 466-57,20160823,126.9277825175909,37.5063216936611
가족공원길19,대방동 466-57,20160823,126.92728504555965,37.50615245004457
가족공원길20,대방동 466-57,20160823,126.92697403480352,37.50614099562351
가족공원길21,대방동 466-57,20160823,126.92649608640275,37.50624881978527
가족공원길22,대방동 466-56,20160823,126.92623028613096,37.506266674191366
가족공원길23,대방동 466-56,20160823,126.92586002508504,37.506126786610686
가족공원길24,대방동 466-56,20160823,126.92548128079177,37.50598914502799
가족공원길25,대방동 466-56,20160823,126.92519866249927,37.50586057318777
가족공원길26,대방동 466-56,20160823,126.92480581286841,37.50569363783735
가족공원길27,대방동 375-51,20160823,126.92447518015687,37.50551547840809
가족공원길28,대방동 350-2,20160823,126.92635725696318,37.50653705490223
가족공원길29,대방동 350-2,20160823,126.92632580266291,37.50689518473803
가족공원길30,대방동 350-2,20160823,126.92633691566944,37.50709566525035
가족공원길31,대방동 350-2,20160823,126.92634795791763,37.507368226095515
가족공원길32,대방동 350-2,20160823,126.92636177909277,37.50769034392127
가족공원길33,대방동 350-2,20160823,126.92632485076706,37.50786376430738
가족공원길34,대방동 501-2,20160823,126.92617476294329,37.50809567931374
가족공원길35,대방동 501-1,20160823,126.92629039986916,37.5083930830693
가족공원길36,대방동 374-4,20160823,126.92313712155673,37.50617460151367
가족공원길37,대방동 466-39,20160823,126.92332953239796,37.506035070783774
가족공원길38,대방동 466-39,20160823,126.92353324317442,37.50590455710231
