시군명,사업장명,인허가일자,영업상태명,폐업일자,다중이용업소여부,총시설규모(㎡),위생업종명,위생업태명,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
부천시,빵드밀 주식회사,20171207,폐업,20181205,N,,,백화점,"경기도 부천시 길주로 180, 현대백화점 중동점 백화점동 지하1층 일부 (중동)",경기도 부천시 중동 1164번지 현대백화점 중동점 백화점동 지하1층 일부 ,14546,37.5042071,126.7621381
부천시,보테쥬,20130830,폐업,20130904,N,,,백화점,"경기도 부천시 길주로 180 (중동, 외 3필지 현대백화점중동점 백화점동 지하1층 일부)",경기도 부천시 중동 1164번지 외 3필지 현대백화점중동점 백화점동 지하1층 일부,14546,37.5042071,126.7621381
부천시,닥터프라이,20170807,폐업,20171124,N,,,백화점,"경기도 부천시 길주로 180 (중동, 현대백화점 중동점 백화점동 지하1층 일부)",경기도 부천시 중동 1164번지 현대백화점 중동점 백화점동 지하1층 일부,14546,37.5042071,126.7621381
부천시,오설록,20150312,폐업,20190813,N,,,백화점,"경기도 부천시 길주로 300 (중동, 롯데백화점 지하1층일부)",경기도 부천시 중동 1140번지 외1필지 롯데백화점 지하1층일부 ,14548,37.5024850773,126.7751605520
부천시,공씨네주먹밥,20080820,폐업,20130801,N,,,백화점,"경기도 부천시 길주로 180 (중동,,1165,1165-1,2 현대백화점 지하1층)","경기도 부천시 중동 1164번지 ,1165,1165-1,2 현대백화점 지하1층",14546,37.5042071,126.7621381
부천시,본까스미니스탠드,20030812,폐업,20120801,N,,,백화점,"경기도 부천시 길주로 180 (중동,,1165,1165-1,2 로담코프라자백화점동 지하1층)","경기도 부천시 중동 1164번지 ,1165,1165-1,2 로담코프라자백화점동 지하1층",14546,37.5042071,126.7621381
부천시,훔메유통(주),20030805,폐업,20071017,N,,,백화점,"경기도 부천시 길주로 300 ,1140-1 GS스퀘어 지하1층 (중동)","경기도 부천시 중동 1140번지 ,1140-1 GS스퀘어 지하1층",14548,37.5024850,126.7751605
부천시,(주)에프앤엘기흥,20080825,폐업,20111019,N,,,백화점,"경기도 부천시 길주로 180 ,1165, 1165-1,2 현대백화점지하1층 (중동)","경기도 부천시 중동 1164번지 ,1165, 1165-1,2 현대백화점지하1층",14546,37.5042071,126.7621381
부천시,몽쉘,20100310,폐업,20100429,N,,,백화점,"경기도 부천시 길주로 297 ,1059-1,2,3 홈플러스테스코중동점2층일부 (중동)","경기도 부천시 중동 1059번지 ,1059-1,2,3 홈플러스테스코중동점2층일부",14539,37.5046474,126.7751539
부천시,홈플러스스토어즈(주)중동점,20051123,폐업,20181108,N,,,백화점,"경기도 부천시 길주로 297 (중동,1059-1,2,3  (1층))","경기도 부천시 중동 1059번지 1059-1,2,3  (1층) ",14539,37.5039537,126.7751900
부천시,레스투고,20130814,폐업,20150727,N,,,백화점,"경기도 부천시 길주로 180 (중동, 현대백화점 중동점 백화점동 지하1층일부)",경기도 부천시 중동 1164번지 현대백화점 중동점 백화점동 지하1층일부,14546,37.5042071,126.7621381
부천시,싱칸,20080821,폐업,20090828,N,,,백화점,"경기도 부천시 길주로 180 지하1층 (중동,현대백화점부천중동점)",경기도 부천시 중동 1164번지 현대백화점 지하1층,14546,37.5042071,126.7621381
부천시,쉬림프킹(청년장인),20180410,폐업,20180427,N,,,백화점,"경기도 부천시 길주로 300, 롯데백화점중동점 지하1층 일부 (중동)",경기도 부천시 중동 1140번지 롯데백화점중동점 지하1층 일부,14548,37.5024850,126.7751605
부천시,개성하우스,20030812,폐업,20110704,N,,,백화점,"경기도 부천시 길주로 180 ,1165,1165-1,2 로담코프라자백화점동 지하1층 (중동)","경기도 부천시 중동 1164번지 ,1165,1165-1,2 로담코프라자백화점동 지하1층",14546,37.5042071,126.7621381
부천시,슐라스키델리,20030812,폐업,20040402,N,,,백화점,"경기도 부천시 길주로 180 지하1층 (중동,로담코현대백화점)",경기도 부천시 중동 1164번지 로담코현대백화점(지하1층),14546,37.5042071,126.7621381
부천시,(주)현대그린푸드 한솔냉면중동점,20030812,폐업,20120912,N,,,백화점,"경기도 부천시 길주로 180 (중동,,1165,1165-1,2 로담코프라자백화점동 지하1층)","경기도 부천시 중동 1164번지 ,1165,1165-1,2 로담코프라자백화점동 지하1층",14546,37.5042071,126.7621381
부천시,쿠키몬스터파티셰리,20140211,폐업,20160311,N,,,백화점,"경기도 부천시 길주로 300 (중동, 지하1층 일부)",경기도 부천시 중동 1140번지 지하1층 일부,14548,37.5024850,126.7751605
부천시,델리스타,20111116,폐업,20160913,N,,,백화점,"경기도 부천시 길주로 180 (중동, 현대백화점 백화점동 지하1층 일부)","경기도 부천시 중동 1164번지 ,현대백화점 백화점동 지하1층 일부",14546,37.5042071,126.7621381
부천시,죽찌개,20030812,폐업,20090731,N,,,백화점,"경기도 부천시 길주로 180 ,1165,1165-1,2 로담코프라자백화점동 지하1층 (중동)","경기도 부천시 중동 1164번지 ,1165,1165-1,2 로담코프라자백화점동 지하1층",14546,37.5042071,126.7621381
부천시,메이홈(현대백화점중동점),20170814,폐업,20200515,N,,,백화점,"경기도 부천시 길주로 180 (중동, 현대백화점 중동점 쇼핑몰동 2층 일부)",경기도 부천시 중동 1164번지 현대백화점 중동점 쇼핑몰동 2층 일부 ,14546,37.5043171668,126.7620745903
부천시,김순례닭강정,20171218,폐업,20180105,N,,,백화점,"경기도 부천시 길주로 180, 현대백화점중동점 백화점동 지하1층 일부 (중동)",경기도 부천시 중동 1164번지 현대백화점중동점 백화점동 지하1층 일부,14546,37.5042071,126.7621381
부천시,페이머스하와이쉬림프,20170807,폐업,20180316,N,,,백화점,"경기도 부천시 길주로 180 (중동, 현대백화점 백화점동 지하1층일부)",경기도 부천시 중동 1164번지 현대백화점 백화점동 지하1층일부,14546,37.5042071,126.7621381
부천시,비첸향,20111102,폐업,20130812,N,,,백화점,"경기도 부천시 길주로 180, 백화점동 지하1층 (중동, 현대백화점중동점)",경기도 부천시 중동 1164번지 외3필지 현대백화점중동점 백화점동 지하1층,14546,37.5042071,126.7621381
부천시,치빗코야키,20170106,폐업,20170113,N,,,백화점,"경기도 부천시 길주로 300 (중동, 롯데백화점 지하1층 일부)",경기도 부천시 중동 1140번지 롯데백화점 지하1층 일부,14548,37.5024850,126.7751605
