상세영업상태코드,상세영업상태명,폐업일자,지번주소,사업장명,최종수정일자,데이터갱신일자,공연장형태구분명,최초등록시점
03,폐업,20091216,서울특별시 영등포구 영등포동3가 9-13번지 에쉐르쇼핑몰 910층 ,에쉐르시네마(제2관),20100402095008,2018-08-31 23:59:59.0,영화관,20050909
03,폐업,20080605,서울특별시 영등포구 영등포동3가 21번지 외 1필지 ,연흥극장7관,20081103175521,2018-08-31 23:59:59.0,영화관,20030605
03,폐업,20140117,서울특별시 영등포구 문래동3가 55-16번지 4층 5층 ,CGV 문래(제4관),20140118165656,2018-08-31 23:59:59.0,영화관,20070927
03,폐업,20140117,서울특별시 영등포구 문래동3가 55-16번지 4층 5층 ,CGV 문래(제7관),20140118165811,2018-08-31 23:59:59.0,영화관,20070927
03,폐업,20091216,서울특별시 영등포구 영등포동3가 9-13번지 에쉐르쇼핑몰 910층 ,에쉐르시네마(제9관),20100402095352,2018-08-31 23:59:59.0,영화관,20050909
03,폐업,20050331,서울특별시 영등포구 영등포동2가 175-0번지 ,경원극장,20050331164012,2018-08-31 23:59:59.0,영화관,19690726
03,폐업,20080605,서울특별시 영등포구 영등포동3가 2-0번지 외1필지 ,연흥극장1관,20081103174816,2018-08-31 23:59:59.0,영화관,19630708
03,폐업,20080605,서울특별시 영등포구 영등포동3가 21번지 외 1필지 ,연흥극장6관,20081103175423,2018-08-31 23:59:59.0,영화관,20030605
03,폐업,20041020,서울특별시 동작구 신대방동 395-69번지 보라매아카데미타워(3관) ,(주)아카데미이십일,20041029163610,2018-08-31 23:59:59.0,영화관,19990702
03,폐업,20010713,서울특별시 동작구 노량진동 151-10번지 ,일미일소극장,20030422143147,2018-08-31 23:59:59.0,영화관,19920327
03,폐업,20090403,서울특별시 동작구 신대방동 395-69번지 아카데미타워 6층 ,씨에프(CF)21 5관,20090403154109,2018-08-31 23:59:59.0,영화관,20041228
03,폐업,20090403,서울특별시 동작구 신대방동 395-69번지 아카데미타워 6층 ,씨에프(CF)21 4관,20090403154025,2018-08-31 23:59:59.0,영화관,20041228
03,폐업,20090403,서울특별시 동작구 신대방동 395-69번지 아카데미타워 6층 ,씨에프(CF)21 3관,20090403153951,2018-08-31 23:59:59.0,영화관,20041228
03,폐업,20090403,서울특별시 동작구 신대방동 395-69번지 아카데미타워 6층 ,씨에프(CF)21 2관,20090403153540,2018-08-31 23:59:59.0,영화관,20041228
03,폐업,20041020,서울특별시 동작구 신대방동 395-69번지 아카데미타워(5관) ,(주)아카데미이십일,20041029163710,2018-08-31 23:59:59.0,영화관,19990702
03,폐업,20041020,서울특별시 동작구 신대방동 395-69번지 아카데미타워(4관) ,(주)아카데미이십일,20041029163632,2018-08-31 23:59:59.0,영화관,19990702
03,폐업,20041020,서울특별시 동작구 신대방동 395-69번지 아카데미타워(2관) ,(주)아카데미이십일,20041029163750,2018-08-31 23:59:59.0,영화관,19990702
03,폐업,20040830,서울특별시 관악구 봉천동 875-8번지 ,티파니시네마4관,20040831095458,2018-08-31 23:59:59.0,영화관,20020124
03,폐업,20110916,서울특별시 관악구 신림동 1422-5번지 르네상스빌딩 1011층 ,(주)프리머스시네마 신림지점 4관,20110916111410,2018-08-31 23:59:59.0,영화관,20040901
03,폐업,20110916,서울특별시 관악구 신림동 1422-5번지 르네상스빌딩 1011층 ,(주)프리머스시네마 신림지점 5관,20110916111439,2018-08-31 23:59:59.0,영화관,20040901
03,폐업,20110916,서울특별시 관악구 신림동 1422-5번지 르네상스빌딩 12층 ,(주)프리머스시네마 신림지점 6관,20110916111513,2018-08-31 23:59:59.0,영화관,20040901
03,폐업,20110916,서울특별시 관악구 신림동 1422-5번지 르네상스빌딩 12층 ,(주)프리머스시네마 신림지점 7관,20110916111637,2018-08-31 23:59:59.0,영화관,20040901
03,폐업,20110916,서울특별시 관악구 신림동 1422-5번지 르네상스빌딩 12층 ,(주)프리머스시네마 신림지점 8관,20110916111620,2018-08-31 23:59:59.0,영화관,20040901
03,폐업,20110916,서울특별시 관악구 신림동 1422-5번지 르네상스빌딩 1011층 ,(주)프리머스시네마 신림지점 3관,20110916111348,2018-08-31 23:59:59.0,영화관,20040901
03,폐업,20110916,서울특별시 관악구 신림동 1422-5번지 르네상스빌딩 89층 ,(주)프리머스시네마 신림지점 2관,20110916111247,2018-08-31 23:59:59.0,영화관,20040901
03,폐업,20040830,서울특별시 관악구 봉천동 875-8번지 ,티파니시네마3관,20040831095433,2018-08-31 23:59:59.0,영화관,20020124
03,폐업,20040830,서울특별시 관악구 봉천동 875-8번지 ,티파니시네마2관,20040831095401,2018-08-31 23:59:59.0,영화관,19960106
03,폐업,20130726,서울특별시 서초구 양재동 202번지 ,칼마21(자동차극장),20130726150514,2018-08-31 23:59:59.0,자동차극장,20000510
03,폐업,20141211,서울특별시 서초구 반포동 센트럴시티 지하1층 ,메가박스센트럴 7관,20141211102701,2018-08-31 23:59:59.0,영화관,20060127
03,폐업,20141211,서울특별시 서초구 반포동 19-3번지 센트럴시티 지하1층 ,메가박스센트럴 8관,20141211102612,2018-08-31 23:59:59.0,영화관,20060127
03,폐업,19910501,서울특별시 서초구 양재동 202번지 ,서울교육문화회관대극장,20100104180250,2018-08-31 23:59:59.0,영화관,19910501
03,폐업,20070404,서울특별시 서초구 방배동 1823번지 ,씨네맥스3관,20100104174128,2018-08-31 23:59:59.0,영화관,20010330
03,폐업,20090922,서울특별시 강남구 신사동 654-5번지 한조빌딩 지하 1층 ,스폰지하우스,20091007113825,2018-08-31 23:59:59.0,영화관,20060501
03,폐업,20050704,서울특별시 강남구 신사동 654-6번지 지하1층 ,Theater 2.0,20050706110123,2018-08-31 23:59:59.0,영화관,20030320
03,폐업,20080829,서울특별시 강남구 논현동 164-7번지 ,뤼미에르 3관,20080829190931,2018-08-31 23:59:59.0,영화관,19990816
03,폐업,20011123,서울특별시 강남구 논현동 3-1번지 ,브로드웨이 2관,20030208135458,2018-08-31 23:59:59.0,영화관,19980309
03,폐업,20011123,서울특별시 강남구 논현동 3-1번지 ,브로드웨이 1관,20030208135458,2018-08-31 23:59:59.0,영화관,19980309
03,폐업,20000829,서울특별시 강남구 청담동 86-0번지 ,케네마1관,20030208135458,2018-08-31 23:59:59.0,영화관,19960726
03,폐업,20000829,서울특별시 강남구 청담동 86-0번지 ,케네마2관,20030208135458,2018-08-31 23:59:59.0,영화관,19960726
03,폐업,20011123,서울특별시 강남구 논현동 3-5번지 ,브로드웨이,20030208135458,2018-08-31 23:59:59.0,영화관,19950708
03,폐업,19991105,서울특별시 강남구 논현동 164번지 ,파라마운트비디오소극장,20030208135458,2018-08-31 23:59:59.0,영화관,19980616
03,폐업,20000426,서울특별시 강남구 역삼동 814-6번지 ,동아극장 2관,20030208135458,2018-08-31 23:59:59.0,영화관,19980309
03,폐업,20080829,서울특별시 강남구 논현동 164-7번지 ,뤼미에르 2관,20080829190900,2018-08-31 23:59:59.0,영화관,19990816
03,폐업,20080829,서울특별시 강남구 논현동 164-7번지 ,뤼미에르 1관,20080829190831,2018-08-31 23:59:59.0,영화관,19990816
03,폐업,20080313,서울특별시 송파구 잠실동 175-9번지 ,키노1관,20080402092826,2018-08-31 23:59:59.0,영화관,20020530
03,폐업,20080429,서울특별시 송파구 잠실동 40-1번지 ,롯데월드시네마1관,20080514143814,2018-08-31 23:59:59.0,영화관,20020307
03,폐업,20050713,서울특별시 송파구 잠실동 40-1번지 ,롯데월드시네마5관,20060419183829,2018-08-31 23:59:59.0,영화관,20020307
03,폐업,20080429,서울특별시 송파구 잠실동 40-1번지 ,롯데월드시네마4관,20080514144032,2018-08-31 23:59:59.0,영화관,19991029
03,폐업,20080429,서울특별시 송파구 잠실동 40-1번지 ,롯데월드시네마3관,20080514143958,2018-08-31 23:59:59.0,영화관,19991029
03,폐업,20020306,서울특별시 송파구 잠실동 40-1번지 ,롯데월드시네마1관,20060607100301,2018-08-31 23:59:59.0,영화관,19890706
03,폐업,20141201,서울특별시 송파구 잠실동 롯데월드지하1층 ,롯데시네마 롯데월드관(2관),20141202152634,2018-08-31 23:59:59.0,영화관,20080723
03,폐업,20141201,서울특별시 송파구 잠실동 40-1번지 롯데월드지하1층 ,롯데시네마 롯데월드관(1관),20141202152613,2018-08-31 23:59:59.0,영화관,20080723
