기간	자치구	개소	좌석수	자료수	자료수	자료수	도서관 방문자수	자료실 이용자수	연간대출 책수	직원수	직원수	직원수	예산
기간	자치구	개소	좌석수	도서	비도서	연속간행물(종)	도서관 방문자수	자료실 이용자수	연간대출 책수	계	남자	여자	예산
2017	노원구	7	2,914	720,915	31,156	756	4,254,820	2,573,910	1,488,487	142	34	108	8,316
2017	은평구	6	2,377	442,021	25,495	1,136	2,527,624	2,014,965	865,830	131	45	86	6,312
2017	서대문구	4	962	430,335	15,426	1,068	1,728,689	990,003	545,575	67	16	51	4,103
2017	마포구	6	2,303	562,094	36,154	1,411	3,672,730	2,616,460	980,600	162	47	115	16,451
2017	양천구	6	1,621	472,592	21,521	942	2,630,629	2,461,248	1,088,735	83	13	70	5,405
2017	강서구	9	2,973	607,244	21,047	1,176	3,062,242	2,635,497	1,179,363	126	41	85	7,278
2017	구로구	11	2,497	702,537	22,183	1,422	2,592,824	2,125,322	923,036	123	34	89	6,264
2017	금천구	4	1,213	303,507	16,151	357	1,877,906	1,447,579	607,529	52	18	34	2,146
2017	영등포구	5	1,069	417,117	21,626	804	1,884,477	1,371,883	522,036	85	19	66	5,301
2017	동작구	5	1,079	308,903	10,272	663	1,471,142	1,264,344	850,749	57	23	34	3,554
2017	관악구	5	1,040	391,232	8,910	1,055	1,154,821	764,550	521,239	71	29	42	3,815
2017	서초구	4	734	162,111	4,487	222	1,374,303	993,479	495,860	29	9	20	1,788
2017	강남구	12	2,596	767,827	28,409	1,702	5,449,475	3,873,523	1,548,542	145	24	121	6,335
2017	송파구	12	2,436	609,611	15,504	2,059	4,061,787	3,362,531	1,658,522	140	43	97	8,492
2017	강동구	8	3,417	857,472	24,515	1,708	4,218,904	3,743,458	1,675,141	121	29	92	7,704
2018	합계	173	45,536	14,258,193	570,524	24,867	66,955,435	51,070,334	23,140,724	2,600	734	1,866	150,596
2018	종로구	7	2,426	1,150,795	53,981	1,932	3,843,581	2,562,193	1,096,673	159	42	117	12,076
2018	중구	5	699	563,213	24,938	651	1,682,720	1,431,216	558,162	94	20	74	5,723
2018	용산구	4	1,545	865,103	36,224	1,728	2,266,969	1,423,742	635,296	95	28	67	7,417
2018	성동구	6	1,691	527,986	23,476	507	3,081,900	2,899,933	687,826	102	25	77	3,919
2018	광진구	4	1,346	361,899	8,859	402	2,342,446	2,317,863	840,977	46	17	29	3,427
2018	동대문구	4	1,155	449,979	24,051	1,305	2,460,221	1,839,485	709,342	93	34	59	5,561
2018	중랑구	4	1,318	359,642	9,331	349	2,039,360	1,624,803	555,902	54	19	35	2,943
2018	성북구	10	1,504	588,055	32,736	402	1,700,278	959,398	729,626	118	37	81	5,123
2018	강북구	7	1,590	428,826	14,441	296	1,140,127	760,318	557,809	86	34	52	4,227
2018	도봉구	6	1,819	566,012	27,550	791	1,586,923	1,023,911	830,813	89	28	61	5,963
2018	노원구	11	3,565	815,698	36,654	984	4,487,940	2,613,018	1,475,908	162	40	122	8,813
2018	은평구	7	2,443	493,198	27,021	1,277	2,517,939	1,756,987	925,461	155	48	107	7,382
2018	서대문구	4	978	460,041	16,000	977	1,568,025	937,109	503,811	71	24	47	4,385
2018	마포구	6	2,171	601,296	31,904	1,356	4,047,530	3,179,698	1,324,429	174	53	121	12,583
2018	양천구	9	1,928	528,419	23,575	926	3,448,296	2,871,204	1,359,312	93	19	74	5,142
2018	강서구	9	2,943	666,299	22,923	1,133	2,938,978	2,373,000	1,197,130	133	37	96	7,584
2018	구로구	11	2,412	741,893	23,943	1,428	2,789,426	2,231,975	926,068	121	31	90	7,013
2018	금천구	4	1,381	312,808	12,777	420	1,713,856	1,371,389	482,802	53	17	36	1,976
2018	영등포구	5	1,094	439,253	22,981	871	1,786,193	1,237,582	539,350	81	16	65	5,335
2018	동작구	6	1,109	338,657	11,428	601	1,413,969	1,230,514	791,968	59	20	39	3,449
2018	관악구	5	1,040	405,174	8,688	1,127	980,392	647,683	499,076	72	28	44	4,338
2018	서초구	6	1,084	220,684	6,005	333	1,750,337	1,350,246	686,029	57	17	40	2,588
2018	강남구	13	2,702	816,753	28,826	1,690	5,838,954	4,225,413	1,690,063	167	29	138	7,650
2018	송파구	12	2,453	681,165	16,881	1,620	4,842,361	4,025,726	1,934,542	144	40	104	8,445
2018	강동구	8	3,140	875,345	25,331	1,761	4,686,714	4,175,928	1,602,349	122	31	91	7,534
2019	합계	180	46,253	14,995,316	570,232	23,775	66,928,527	49,968,428	23,982,384	2,782	773	2,009	161,883
2019	종로구	7	2,399	1,181,493	54,008	2,008	4,112,688	2,675,707	1,075,890	194	61	133	11,170
2019	중구	5	689	606,096	24,398	604	1,598,663	1,391,294	587,638	97	18	79	6,210
2019	용산구	4	1,587	874,107	37,396	1,657	2,332,135	1,565,421	631,901	133	33	100	6,286
2019	성동구	6	1,675	508,373	16,560	505	2,903,130	2,570,590	770,382	101	20	81	4,545
2019	광진구	4	1,348	386,513	8,451	550	2,518,424	2,310,149	914,253	46	16	30	5,812
2019	동대문구	5	1,228	489,246	24,998	1,172	2,455,219	1,708,607	649,665	96	34	62	6,218
2019	중랑구	5	1,564	404,991	9,631	417	1,958,929	1,558,060	673,158	69	22	47	4,287
2019	성북구	12	1,813	622,319	28,835	386	1,642,640	991,632	703,723	126	36	90	5,964
2019	강북구	7	1,699	429,980	11,934	263	922,334	562,388	537,456	73	32	41	4,514
2019	도봉구	7	1,913	591,722	28,466	783	1,767,791	1,012,211	848,013	98	32	66	6,201
2019	노원구	11	3,352	863,355	38,375	922	3,947,227	2,350,725	1,337,978	158	43	115	9,625
2019	은평구	8	2,579	541,209	28,465	1,155	2,629,946	1,864,982	1,013,490	168	49	119	8,700
2019	서대문구	4	978	479,088	16,069	788	1,611,088	937,581	525,111	71	22	49	4,576
2019	마포구	6	2,333	642,596	30,120	1,197	3,629,379	2,760,176	1,395,050	154	42	112	11,761
2019	양천구	9	1,894	548,565	24,420	939	3,288,722	2,787,362	1,502,712	117	30	87	5,407
2019	강서구	9	2,793	689,936	24,464	1,111	3,035,500	2,266,719	1,321,268	143	37	106	7,768
2019	구로구	11	2,061	802,387	23,710	1,138	2,765,342	2,130,076	935,452	119	35	84	5,699
2019	금천구	4	1,423	328,272	12,961	439	1,671,508	1,372,017	454,976	48	13	35	2,613
2019	영등포구	5	1,107	459,580	24,442	887	1,549,225	1,055,406	583,068	92	26	66	6,073
2019	동작구	6	955	372,327	11,742	575	1,458,268	1,267,467	848,049	69	18	51	4,102
2019	관악구	5	1,040	411,147	8,366	1,189	871,112	603,953	480,614	73	31	42	2,413
2019	서초구	7	1,630	295,197	8,582	476	2,149,663	1,664,666	864,138	66	17	49	4,643
2019	강남구	13	2,567	856,999	29,234	1,525	6,428,920	4,637,937	1,839,701	183	36	147	9,863
2019	송파구	12	2,430	716,555	17,854	1,470	4,904,383	4,096,822	1,927,254	160	48	112	9,284
2019	강동구	8	3,196	893,263	26,751	1,619	4,776,291	3,826,480	1,561,444	128	22	106	8,148
