기간	자치구	개소	좌석수	자료수	자료수	자료수	도서관 방문자수	자료실 이용자수	연간대출 책수	직원수	직원수	직원수	예산
기간	자치구	개소	좌석수	도서	비도서	연속간행물(종)	도서관 방문자수	자료실 이용자수	연간대출 책수	계	남자	여자	예산
2009	노원구	4	2,623	368,188	13,466	1,024	2,833,801	1,938,980	1,450,862	141	41	100	4,530
2009	은평구	3	1,707	193,673	14,546	826	1,866,091	1,473,212	484,887	108	35	73	2,775
2009	서대문구	2	1,244	245,841	10,048	1,032	1,275,247	850,662	561,769	65	17	48	2,566
2009	마포구	3	2,684	349,738	23,342	1,198	2,501,136	1,447,254	789,944	109	32	77	4,692
2009	양천구	4	1,891	275,162	12,575	627	2,081,308	1,658,460	729,645	88	29	59	2,848
2009	강서구	5	1,584	298,578	8,585	1,038	2,224,951	888,172	665,854	110	25	85	2,023
2009	구로구	6	1,705	375,874	16,894	1,178	2,185,699	1,338,893	710,843	107	32	75	3,764
2009	금천구	3	837	162,688	13,460	361	1,355,655	1,275,814	399,640	53	14	39	1,685
2009	영등포구	4	1,460	259,812	10,151	688	1,881,063	1,328,715	555,509	97	25	72	3,326
2009	동작구	3	734	150,640	6,012	730	761,193	617,145	524,496	46	14	32	2,066
2009	관악구	4	846	193,448	6,204	635	1,119,513	776,100	521,962	89	26	63	2,136
2009	서초구	1	34	9,943	11	15	65,300	65,300	81,508	3	-	3	180
2009	강남구	11	2,036	560,469	34,507	1,952	3,581,491	1,928,395	1,265,425	134	34	100	4,362
2009	송파구	5	2,241	260,633	7,279	1,007	2,756,760	1,771,686	1,064,795	122	29	93	4,011
2009	강동구	6	2,808	502,940	17,809	1,898	2,947,518	2,222,955	1,183,163	121	39	82	3,905
2010	합계	101	37,680	8,329,942	377,762	24,748	53,642,006	37,045,407	19,965,666	2,364	638	1,726	85,255
2010	종로구	4	3,679	1,069,056	28,858	2,912	3,774,959	2,419,548	1,163,204	204	48	156	9,618
2010	중구	2	204	40,644	1,751	58	143,122	94,252	84,193	18	6	12	321
2010	용산구	3	2,666	725,229	26,012	2,048	2,449,691	1,682,425	691,736	153	34	119	6,357
2010	성동구	4	1,238	313,234	17,365	454	2,805,808	2,680,777	722,443	60	12	48	2,254
2010	광진구	3	1,652	174,862	9,022	407	1,940,723	662,280	941,628	80	18	62	1,586
2010	동대문구	2	935	294,614	19,749	1,093	1,857,721	1,510,305	619,903	106	28	78	3,477
2010	중랑구	2	1,260	207,828	17,782	362	2,285,120	1,851,787	564,520	62	9	53	1,738
2010	성북구	3	1,394	260,199	14,969	530	1,826,206	1,809,618	723,040	56	13	43	1,660
2010	강북구	5	1,237	223,559	17,589	339	1,669,275	1,174,598	954,327	61	23	38	2,357
2010	도봉구	4	1,541	359,062	24,029	972	1,522,573	966,167	1,304,978	100	30	70	3,578
2010	노원구	4	2,274	408,283	14,737	1,068	3,608,591	2,207,635	1,471,462	140	39	101	6,018
2010	은평구	3	1,641	210,074	16,051	784	2,025,485	1,551,972	497,249	106	37	69	3,153
2010	서대문구	3	518	281,435	10,907	1,083	1,511,152	1,006,776	689,421	72	19	53	2,574
2010	마포구	3	1,528	366,111	24,542	1,525	2,510,742	1,423,991	838,136	119	38	81	5,235
2010	양천구	4	1,313	265,115	13,337	657	2,046,305	1,621,465	698,619	101	35	63	3,210
2010	강서구	5	1,584	306,088	12,371	1,080	1,713,367	1,151,451	804,615	91	20	71	3,482
2010	구로구	9	2,543	473,791	16,838	1,213	2,982,309	1,279,119	874,550	130	35	95	4,839
2010	금천구	3	747	180,087	13,940	334	1,434,249	1,378,193	416,071	62	20	42	1,595
2010	영등포구	4	1,460	276,829	11,582	854	1,985,689	1,481,024	562,947	99	28	71	3,776
2010	동작구	3	734	173,894	5,730	911	1,281,553	1,079,643	681,900	50	11	39	2,015
2010	관악구	4	858	214,854	6,938	546	1,026,198	627,948	480,817	86	24	62	2,517
2010	서초구	1	34	51,202	801	15	69,144	69,144	115,132	3	-	3	180
2010	강남구	11	1,668	590,832	26,018	2,143	3,814,084	2,198,373	1,323,923	161	40	124	4,803
2010	송파구	5	1,923	292,254	9,046	1,282	3,015,811	2,137,661	1,173,133	99	30	69	3,660
2010	강동구	7	3,049	570,806	17,798	2,078	4,342,129	2,979,255	1,567,719	145	41	104	5,251
2011	합계	109	36,629	8,910,508	404,998	23,447	57,095,987	42,552,573	21,517,570	1,567	519	1,048	76,070
2011	종로구	4	3,818	983,044	30,906	2,897	4,549,792	2,902,068	1,302,632	147	56	91	6,344
2011	중구	4	466	74,830	2,315	128	372,026	268,224	207,924	23	7	16	1,167
2011	용산구	3	2,811	749,122	28,685	2,134	2,708,230	1,898,853	765,782	91	29	62	2,868
2011	성동구	4	1,343	342,298	17,952	379	2,778,893	2,299,130	725,211	42	15	27	2,516
2011	광진구	3	1,187	196,755	7,122	438	1,937,784	1,758,816	1,062,068	36	12	24	1,611
2011	동대문구	2	942	302,926	18,944	1,033	1,661,349	1,323,314	627,197	63	29	34	3,580
2011	중랑구	2	819	225,392	21,604	324	2,378,573	1,887,322	558,665	39	13	26	1,761
2011	성북구	4	949	284,694	15,921	648	1,453,191	1,353,268	832,306	43	8	35	2,119
2011	강북구	5	849	262,022	19,373	260	2,125,822	1,559,641	656,286	48	6	42	2,621
2011	도봉구	5	1,331	393,020	28,327	908	1,632,787	1,134,730	843,975	68	26	42	4,100
2011	노원구	5	2,458	465,126	16,437	735	5,062,627	2,757,259	2,873,827	115	36	79	6,046
2011	은평구	3	1,408	232,562	17,237	805	1,868,031	1,440,615	504,837	70	29	41	3,093
2011	서대문구	4	576	304,400	11,086	967	1,528,663	960,012	822,663	45	13	32	3,068
2011	마포구	3	1,571	379,785	26,009	1,222	2,438,034	1,775,799	859,065	83	22	61	3,095
2011	양천구	4	1,736	304,293	15,419	690	4,328,562	4,195,274	757,842	65	30	35	1,499
2011	강서구	5	1,646	326,750	10,161	997	1,607,304	1,213,037	823,323	68	29	39	2,341
2011	구로구	10	2,654	518,103	18,354	1,258	2,530,351	1,511,305	973,753	94	35	59	4,551
2011	금천구	3	994	203,669	15,630	362	1,471,990	1,464,408	427,339	43	14	29	1,759
2011	영등포구	4	1,188	312,711	12,091	840	1,151,698	920,445	445,671	56	17	39	4,078
2011	동작구	3	725	189,558	6,653	788	1,316,266	1,075,885	674,880	36	9	27	1,926
2011	관악구	5	958	259,170	7,952	784	1,203,706	746,235	568,895	44	14	30	2,634
2011	서초구	1	34	54,685	822	10	80,658	80,658	134,352	3	-	3	127
2011	강남구	11	2,112	608,739	28,313	1,848	4,027,351	2,636,653	1,353,508	107	23	84	4,298
2011	송파구	5	1,913	324,091	9,021	880	3,335,997	2,332,783	1,182,044	54	19	35	3,945
2011	강동구	7	2,141	612,763	18,664	2,112	3,546,302	3,056,839	1,533,525	84	28	56	4,925
2012	합계	116	38,594	9,754,776	437,061	24,276	60,377,702	41,676,378	21,445,003	1,866	620	1,246	82,249
2012	종로구	4	3,619	1,055,916	36,655	2,817	4,782,168	3,183,061	1,657,217	171	49	122	5,772
2012	중구	5	837	279,654	7,482	379	1,497,448	1,292,740	304,631	61	14	47	3,939
2012	용산구	3	2,694	764,739	30,858	2,156	2,396,522	1,652,671	754,899	83	29	54	2,738
2012	성동구	5	1,572	387,889	20,563	485	2,766,340	1,024,823	753,486	77	23	54	2,639
2012	광진구	3	1,278	211,900	7,763	443	1,985,592	1,772,506	1,128,433	39	14	25	1,877
2012	동대문구	2	947	305,531	19,799	990	2,458,029	1,640,844	554,654	66	30	36	3,730
2012	중랑구	3	969	271,184	22,384	310	2,424,288	1,926,817	556,762	50	12	38	2,193
2012	성북구	5	1,094	338,241	18,894	663	1,690,483	1,383,650	855,623	68	26	42	2,574
2012	강북구	5	541	286,373	13,223	251	2,690,635	1,997,468	733,361	58	23	35	2,667
2012	도봉구	5	1,229	424,562	28,919	861	1,655,955	1,142,296	834,488	81	28	53	3,979
2012	노원구	6	2,826	518,515	19,048	747	5,554,337	2,472,824	1,564,867	122	40	82	4,674
2012	은평구	3	1,368	258,464	19,406	890	2,073,742	1,390,627	568,777	80	37	43	3,277
2012	서대문구	4	951	328,275	12,144	1,102	1,858,652	1,399,629	1,012,853	57	17	40	3,119
2012	마포구	3	1,434	385,240	27,176	1,118	1,942,404	1,392,010	696,132	94	33	61	3,530
2012	양천구	4	1,941	316,968	16,039	768	2,015,732	1,594,094	694,927	64	26	38	1,506
2012	강서구	7	1,707	367,413	12,652	901	1,822,807	1,406,382	1,008,299	74	27	47	2,962
2012	구로구	10	2,417	551,711	19,607	1,260	2,931,848	1,833,760	986,016	98	26	72	4,866
2012	금천구	3	994	213,280	14,981	368	1,705,307	1,676,283	454,860	50	16	34	2,019
