관서,도로명주소,경도,위도
서울지방경찰청,서울시 종로구 사직로8길 31,126.971986380714,37.5748810032385
서울강남경찰서,서울시 강남구 테헤란로 114길 11,127.067100032751,37.5093667352363
서울강동경찰서,서울시 강동구 성내로 57,127.12695764119499,37.528677493418705
서울강북경찰서,서울시 강북구 오패산로 406,127.027029473365,37.6371503504122
서울강서경찰서,서울시 양천구 화곡로 73,126.8299816343,37.5398012641047
서울관악경찰서,서울시 관악구 관악로5길 33,126.950979330287,37.4743767087251
서울광진경찰서,서울시 광진구 자양로 167,127.08390224450899,37.5429114301328
서울구로경찰서,서울시 구로구 가마산로 235,126.88666622025801,37.4951780500701
서울금천경찰서,서울시 금천구 시흥대로73길 50,126.897065687759,37.4569475178417
서울남대문경찰서,서울시 중구 한강대로 410,126.973548883373,37.5548115615264
서울노원경찰서,서울시 노원구 노원로 283,127.071268224269,37.64230939409779
서울도봉경찰서,서울시 도봉구 노해로 403,127.05227469683999,37.653942702315
서울동대문경찰서,서울시 동대문구 약령시로21길 29,127.04590667073799,37.5848317363702
서울동작경찰서,서울시 동작구 노량진로 148,126.942599154557,37.513360618761
서울마포경찰서,서울시 마포구 마포대로 183,126.95438690489401,37.5509434121583
서울방배경찰서,서울시 서초구 동작대로 204,126.983505012239,37.494874977338206
서울서대문경찰서,서울 서대문구 통일로 113,126.967008230256,37.564685771539104
서울서부경찰서,서울시 은평구 진흥로 58,126.921295861664,37.6021128441503
서울서초경찰서,서울시 서초구 반포대로 179,127.005634945816,37.49503275317729
서울성동경찰서,서울시 성동구 왕십리광장로 9,127.036200808393,37.5620056733056
서울성북경찰서,서울 성북구 보문로 170,127.01659351286399,37.5896805681962
서울송파경찰서,서울시 송파구 중대로 221,127.127006253531,37.502003089018004
서울수서경찰서,서울시 강남구 개포로 617,127.076860703001,37.4930379120132
서울양천경찰서,서울시 양천구 목동동로 99,126.880527816829,37.547342201999705
서울영등포경찰서,서울시 영등포구 국회대로 608,126.901006486257,37.5259561947456
서울용산경찰서,서울시 용산구 원효로89길 24,126.96687776315001,37.541180268485604
서울은평경찰서,서울시 은평구 연서로 365,126.928559137642,37.627732702144
서울종로경찰서,서울시 종로구 율곡로 46,126.984895574001,37.575944120531
서울종암경찰서,서울시 성북구 종암로 135,127.03214694364901,37.6021006723701
서울중랑경찰서,서울시 중랑구 신내역로3길 40-10,127.10414130246201,37.6186210275049
서울중부경찰서,서울시 중구 수표로 27,126.989580516376,37.563603581786296
서울혜화경찰서,서울시 종로구 창경궁로 112-16,126.999158614756,37.572124118331
