인허가일자,상세영업상태명,폐업일자,주소,사업장명,업태구분명
20191106,영업,29991231,서울특별시 종로구 평창동 398-5번지 ,인자인케어센터,사회복지시설
20191007,영업,29991231,서울특별시 종로구 혜화동 161-4번지 혜화유치원 ,혜화유치원,어린이집
20190909,영업,29991231,서울특별시 종로구 사직동 262-57번지 수도사랑의학교 ,수도사랑의학교,학교
20190916,영업,29991231,서울특별시 종로구 원남동 49-17번지 오라카이 대학로 호텔 ,오라카이대학로호텔구내식당,산업체
20190409,영업,29991231,서울특별시 종로구 신문로2가 1-160번지 ,마이다스에셋자산운용(주),산업체
20190508,영업,29991231,서울특별시 종로구 옥인동 45-30번지 종로구보건소 ,종로구보건소,공공기관
20190530,영업,29991231,서울특별시 종로구 무악동 60번지 인왕산아이파크 ,구립인왕어린이집,어린이집
20190419,영업,29991231,서울특별시 종로구 돈의동 114-1번지 한국기독교장로회 ,초동어린이집,어린이집
20190405,영업,29991231,서울특별시 종로구 재동 32-10번지 1층 ,롯데백화점 어린이집,어린이집
20190318,영업,29991231,서울특별시 종로구 창신동 23-330번지 은행나무 어린이집 ,은행나무어린이집,어린이집
20190326,영업,29991231,서울특별시 종로구 공평동 100번지 한국스탠다드차타드은행 빌딩 ,에스시(SC)으뜸별어린이집,어린이집
20190322,영업,29991231,서울특별시 종로구 창성동 117-6번지 ,서울청사한빛어린이집,어린이집
20190327,영업,29991231,서울특별시 종로구 내수동 95번지 경희궁 파크팰리스 ,아이누리 어린이집,어린이집
20190313,영업,29991231,서울특별시 종로구 궁정동 4-11번지 무궁화 어린이집 ,무궁화어린이집,어린이집
20190312,영업,29991231,서울특별시 종로구 원서동 181번지 ,현대 다솜 어린이집,어린이집
20181213,영업,29991231,서울특별시 종로구 서린동 136번지 한국무역보험공사빌딩 ,kisd-sure 어린이집,어린이집
20181128,영업,29991231,서울특별시 종로구 도렴동 95-1번지 정부서울청사별관 1층 ,정부서울청사 별관,공공기관
20001128,영업,29991231,서울특별시 종로구 혜화동 1-1번지 ,서울과학고등학교,학교
20001212,영업,29991231,서울특별시 종로구 세종로 100-0번지 지상15층 ,주식회사 케이티(광화문빌딩 West),산업체
20010403,영업,29991231,서울특별시 종로구 관훈동 192-18번지 ,(주)SK건설,산업체
20010403,영업,29991231,서울특별시 종로구 필운동 32-0번지 ,서울매동초등학교,학교
20010518,영업,29991231,서울특별시 종로구 낙원동 58-8번지 ,종로세무서,공공기관
20010924,영업,29991231,서울특별시 종로구 경운동 90-18번지 ,종로경찰서,공공기관
20020118,영업,29991231,서울특별시 종로구 경운동 2번지 서울경운학교 ,대신중고등학교,학교
20020307,영업,29991231,서울특별시 종로구 경운동 2번지 서울경운학교 ,서울경운학교,학교
20020312,영업,29991231,서울특별시 종로구 동숭동 199-1번지 1층호,서울대학교사범대학부설초등학교,학교
20020502,영업,29991231,서울특별시 종로구 창신동 13-80번지 ,서일문화예술고등학교,학교
20020810,영업,29991231,서울특별시 종로구 통인동 10번지 ,서울지방경찰청제22경찰경호대,공공기관
20021022,영업,29991231,서울특별시 종로구 송현동 34번지 ,덕성여자중학교,학교
20021226,영업,29991231,서울특별시 종로구 혜화동 90-1번지 ,카톨릭대학교(성신교정),학교
20030321,영업,29991231,서울특별시 종로구 청운동 89-143번지 청운중학교 ,청운중학교,학교
20030715,영업,29991231,서울특별시 종로구 수송동 146-1번지 이마빌딩지하 ,삼표산업(주),산업체
19991115,영업,29991231,서울특별시 종로구 서린동 99번지 ,SK주식회사,산업체
19991123,영업,29991231,서울특별시 종로구 연건동 28-22번지 ,서울대의대연건기숙사,기숙사
19991214,영업,29991231,서울특별시 종로구 세종로 77-6번지 ,정부서울청사,공공기관
20000108,영업,29991231,서울특별시 종로구 세종로 139번지 ,(주)동아일보사,산업체
20000307,영업,29991231,서울특별시 종로구 계동 1번지 중앙중고 100주년 기념관 B1호,중앙중.고등학교,학교
20000315,영업,29991231,서울특별시 종로구 명륜3가 53번지 지하1층 ,성균관대학교(600주년기념관),학교
20000315,영업,29991231,서울특별시 종로구 명륜3가 53번지 ,성균관대학교(종합강의동),학교
20000427,영업,29991231,서울특별시 종로구 신영동 219-4번지 ,서울세검정초등학교,학교
19991018,영업,29991231,서울특별시 종로구 삼청동 28-1번지 ,한국금융연수원,공공기관
19991021,영업,29991231,서울특별시 종로구 평창동 217번지 서울예술고등학교 ,서울예술고등학교,학교
19991030,영업,29991231,서울특별시 종로구 연건동 28-2번지 서울대학교병원(구내식당) ,서울대학병원구내식당,병원
20000509,영업,29991231,서울특별시 종로구 무악동 46-82번지 독립문초등학교 ,서울독립문초등학교,학교
20000617,영업,29991231,서울특별시 종로구 연지동 1-7번지 B1호,주)현대상선,산업체
20000812,영업,29991231,서울특별시 종로구 신문로2가 2-77번지 ,서울특별시교육청 구내식당,공공기관
20000831,영업,29991231,서울특별시 종로구 혜화동 13-1번지 ,서울혜화초등학교,학교
20001113,영업,29991231,서울특별시 종로구 필운동 12-0번지 1~4층호,배화여자고등학교,학교
20180904,영업,29991231,서울특별시 종로구 필운동 88-2번지 사직 어린이집 ,배화여자대학 사직어린이집,어린이집
19931208,영업,29991231,서울특별시 종로구 재동 83-0번지 ,헌법재판소,공공기관
19940526,영업,29991231,서울특별시 종로구 수송동 146-2번지 종로구청 ,종로구청,공공기관
19940720,영업,29991231,서울특별시 종로구 내수동 167번지 ,(주)KB국민카드,산업체
19950724,영업,29991231,서울특별시 종로구 필운동 141-2번지 ,배화여자대학교,학교
19960726,영업,29991231,서울특별시 종로구 원남동 66-21번지 ,(주)보령,산업체
19961108,영업,29991231,서울특별시 종로구 홍지동 7-1번지 ,상명사대부속초등학교,학교
19970110,영업,29991231,서울특별시 종로구 동숭동 169-1번지 한국방송통신대학 ,한국방송통신대학교,학교
20170309,영업,29991231,서울특별시 종로구 운니동 114-7번지 ,운현유치원,어린이집
20170315,영업,29991231,서울특별시 종로구 신문로2가 1-183번지 교보생명 지하1층 지상2층 ,교보생명 다솜이어린이집,어린이집
20170412,영업,29991231,서울특별시 종로구 수송동 83-1번지 지하1층 ,에스케이건설(주) 수송타워,산업체
20170526,영업,29991231,서울특별시 종로구 홍지동 94-3번지 ,세검정유치원,어린이집
20170601,영업,29991231,서울특별시 종로구 내자동 201-11번지 2층 ,서울경찰청 어린이집,어린이집
20080410,영업,29991231,서울특별시 종로구 홍지동 56번지 상명초등학교 ,상명사대부속유치원,어린이집
20050715,영업,29991231,서울특별시 종로구 신영동 105-10번지 구립 부암어린이집 ,부암어린이집,어린이집
20050715,영업,29991231,서울특별시 종로구 창신동 403-17번지 ,창일어린이집,어린이집
20050801,영업,29991231,서울특별시 종로구 혜화동 163-3번지 ,혜화어린이집,어린이집
20160526,영업,29991231,서울특별시 종로구 무악동 82번지 ,린덴바움 유치원,어린이집
20161011,영업,29991231,서울특별시 종로구 창신동 640-244번지 ,성터 어린이집,어린이집
19880901,영업,29991231,서울특별시 종로구 신교동 1-1번지 ,국립서울농학교,학교
19891118,영업,29991231,서울특별시 종로구 내자동 201-11번지 ,서울지방경찰청 무궁화식당,공공기관
