No,No,메인 키,기관 코드,유형1,유형2,대표 기관명,전체 기관명,최하위 기관명,대표 전화번호,새 우편번호,지번 주소,도로명 주소,행정 시,행정 구,행정 동,경도,위도,상태
1,35,BE_LiST31-0313,3070049,지자체,8읍면동_동,서울특별시,서울특별시 성북구 안암동주민센터,안암동주민센터,02-2241-5200,2853,,서울특별시 성북구 안암동 인촌로 16,서울특별시,성북구,안암동,127.0199623,37.58910428,실패
2,82,BE_LiST31-0053,3240058,지자체,8읍면동_동,서울특별시,서울특별시 강동구 둔촌1동주민센터,둔촌1동주민센터,02-3425-7880,5411,,서울시 강동구 천호대로186길 7,서울특별시,강동구,둔촌1동,?,?,실패
3,213,BE_LiST31-0352,3140040,지자체,8읍면동_동,서울특별시,서울특별시 양천구 목2동주민센터,목2동주민센터,02-2620-3960,7972,,서울특별시 양천구 목2동 목동중앙본로 120,서울특별시,양천구,신정6동,126.8717009,37.54614282,실패
4,226,BE_LiST31-0365,3140054,지자체,8읍면동_동,서울특별시,서울특별시 양천구 신정3동주민센터,신정3동주민센터,02-2620-4230,7929,,서울특별시 양천구 신정동 중앙로 209,서울특별시,양천구,신정6동,126.8547908,37.51515003,실패
5,228,BE_LiST31-0367,3140057,지자체,8읍면동_동,서울특별시,서울특별시 양천구 신정6동주민센터,신정6동주민센터,02-2620-4285,8068,,서울특별시 양천구 신정동 목동서로 353,서울특별시,양천구,신월6동,126.8643908,37.51706003,실패
6,436,BE_LiST31-0118,3200156,지자체,8읍면동_동,서울특별시,서울특별시 관악구 청룡동주민센터,청룡동주민센터,02-879-4381,8830,서울특별시 관악구 봉천동 1539-9,서울특별시 관악구 쏙고개로 44,서울특별시,관악구,청룡동,?,?,실패
7,468,BE_LiST31-0085,3150045,지자체,8읍면동_동,서울특별시,서울특별시 강서구 등촌2동주민센터,등촌2동주민센터,02-2600-7395,7671,,서울특별시 강서구 등촌동 등촌로 143,서울특별시,강서구,등촌2동,126.8625031,37.54265831,실패
