데이터,호선,구,2017년,2018년,2019년
지하철역,7,도봉구,1,1,1
지하철역,7,관악구,0,0,0
지하철역,7,은평구,0,0,0
지하철역,7,마포구,0,0,0
지하철역,7,양천구,0,0,0
지하철역,7,구로구,3,3,3
지하철역,7,강서구,0,0,0
지하철역,7,강남구,4,4,4
지하철역,7,금천구,1,1,1
지하철역,7,영등포구,2,2,2
지하철역,7,동작구,7,7,7
지하철역,7,서초구,3,3,3
지하철역,7,송파구,0,0,0
지하철역,7,강동구,0,0,0
지하철역,8,종로구,0,0,0
지하철역,8,서대문구,0,0,0
지하철역,8,중구,0,0,0
지하철역,8,광진구,0,0,0
지하철역,8,성동구,0,0,0
지하철역,8,용산구,0,0,0
지하철역,8,동대문구,0,0,0
지하철역,8,중랑구,0,0,0
지하철역,8,성북구,0,0,0
지하철역,8,노원구,0,0,0
지하철역,8,강북구,0,0,0
지하철역,8,도봉구,0,0,0
지하철역,8,관악구,0,0,0
지하철역,8,은평구,0,0,0
지하철역,8,마포구,0,0,0
지하철역,8,양천구,0,0,0
지하철역,8,구로구,0,0,0
지하철역,8,강서구,0,0,0
지하철역,8,강남구,0,0,0
지하철역,8,금천구,0,0,0
지하철역,8,영등포구,0,0,0
지하철역,8,동작구,0,0,0
지하철역,8,서초구,0,0,0
지하철역,8,송파구,8,8,8
지하철역,8,강동구,3,3,3
지하철역,9,종로구,0,0,0
지하철역,9,서대문구,0,0,0
지하철역,9,중구,0,0,0
지하철역,9,광진구,0,0,0
지하철역,9,성동구,0,0,0
지하철역,9,용산구,0,0,0
지하철역,9,동대문구,0,0,0
지하철역,9,중랑구,0,0,0
지하철역,9,성북구,0,0,0
지하철역,9,노원구,0,0,0
지하철역,9,강북구,0,0,0
지하철역,9,도봉구,0,0,0
지하철역,9,관악구,0,0,0
지하철역,9,은평구,0,0,0
지하철역,9,마포구,0,0,0
지하철역,9,양천구,1,1,1
지하철역,9,구로구,0,0,0
지하철역,9,강서구,10,10,10
지하철역,9,강남구,1,1,1
지하철역,9,금천구,0,0,0
지하철역,9,영등포구,5,5,5
지하철역,9,동작구,4,4,4
지하철역,9,서초구,4,4,4
지하철역,9,송파구,1,1,1
