자치구,2017년 대비 2018년 증감률,2018년 대비 2019년 증감률
종로구,7.14,-2.59
중구,3.17,6.13
용산구,3.52,2.65
성동구,4.2,1.92
광진구,2.68,4.22
동대문구,2.89,4.6
중랑구,3.5,6.07
성북구,1.65,4.89
강북구,4.58,4.7
도봉구,4.68,5.85
노원구,4.09,4.07
은평구,5.06,8.03
서대문구,3.17,3.69
마포구,4.94,4.24
양천구,3.68,5.95
강서구,7.0,8.71
구로구,2.71,8.13
금천구,4.97,9.3
영등포구,4.55,8.86
동작구,4.63,5.65
관악구,5.49,6.32
서초구,3.61,3.72
강남구,-0.07,5.33
송파구,7.82,8.53
강동구,2.62,7.27
