자치구,2017년 대비 2018년 증감률,2018년 대비 2019년 증감률
강남구,18.01,11.34
강동구,0.0,11.09
강북구,2.38,2.79
강서구,14.82,12.41
관악구,11.32,9.04
광진구,14.4,17.25
구로구,-1.38,4.42
금천구,15.3,7.41
노원구,9.24,13.02
도봉구,9.38,11.02
동대문구,8.51,8.09
동작구,5.11,9.26
마포구,3.66,-12.51
서대문구,7.64,6.51
서초구,5.29,-1.68
성동구,5.93,14.13
성북구,12.56,4.51
송파구,7.29,3.3
양천구,5.21,4.25
영등포구,5.5,9.03
용산구,3.32,6.67
은평구,5.34,4.59
종로구,10.18,3.03
중구,4.32,9.16
중랑구,2.96,14.39
