자치구,2017년 대비 2018년 증감률,2018년 대비 2019년 증감률
종로구,-4.05,-5.53
중구,-3.48,-2.65
용산구,-3.87,-2.99
성동구,-1.55,-5.98
광진구,-3.83,-4.03
동대문구,-3.12,-4.59
중랑구,-4.89,-5.43
성북구,-3.93,-1.08
강북구,-4.67,-5.82
도봉구,-4.8,-5.06
노원구,-5.06,-4.98
은평구,-3.73,-4.46
서대문구,-3.2,-3.74
마포구,-3.08,-3.27
양천구,-3.74,-3.22
강서구,-4.32,-4.34
구로구,-4.76,-3.12
금천구,-4.63,-4.02
영등포구,-2.66,-3.45
동작구,-4.07,-2.87
관악구,-4.21,-5.52
서초구,-2.94,-3.8
강남구,-4.68,-2.11
송파구,-1.81,-1.14
강동구,-4.91,-2.44
