자치구,2017년 대비 2018년 증감률,2018년 대비 2019년 증감률
강남구,-3.34,1.89
강동구,-1.93,0.3
강북구,-3.36,-1.34
강서구,6.43,6.42
관악구,1.94,3.25
광진구,3.73,1.2
구로구,-2.68,-0.4
금천구,-2.29,-1.08
노원구,-1.11,2.74
도봉구,2.91,2.02
동대문구,-3.33,-1.42
동작구,0.0,-0.14
마포구,1.02,-7.1
서대문구,1.62,-2.62
서초구,-1.45,-6.78
성동구,3.43,2.08
성북구,-1.19,0.32
송파구,-2.66,0.19
양천구,-0.84,-0.7
영등포구,-1.09,0.65
용산구,5.25,1.16
은평구,-3.1,-5.65
종로구,1.54,-0.33
중구,0.08,-0.46
중랑구,0.13,1.5
