자치구,2017년 대비 2018년 증감률,2018년 대비 2019년 증감률
강남구,13.03,4.67
강동구,13.55,16.05
강북구,8.51,17.65
강서구,15.35,22.05
관악구,16.25,12.19
광진구,24.9,9.35
구로구,8.64,22.73
금천구,21.14,26.17
노원구,18.98,11.04
도봉구,20.0,9.09
동대문구,15.98,18.22
동작구,24.44,18.45
마포구,10.53,-4.76
서대문구,12.71,33.83
서초구,9.18,9.01
성동구,25.19,9.15
성북구,24.53,20.45
송파구,16.3,8.28
양천구,16.2,21.21
영등포구,13.67,17.18
용산구,0.64,7.01
은평구,22.98,9.09
종로구,2.76,1.53
중구,14.45,2.48
중랑구,19.85,26.75
