년,인허가일자,상세영업상태명,폐업일자,업태구분명,사업장명,주소,경도,위도
2020,19950120,영업,0,어린이집,개미어린이집,서울특별시 금천구 독산동 993-30번지 개미어린이집 ,126.905875540641,37.473025779021796
2020,19950122,영업,0,어린이집,독산1동어린이집,서울특별시 금천구 독산동 999-11번지 독산1동어린이집 ,126.89085857103201,37.4682224248816
2020,19950123,영업,0,어린이집,새길어린이집,서울특별시 금천구 시흥동 산 13-8번지 ,126.90753041226999,37.4401384231048
2020,19950124,영업,0,어린이집,가산어린이집,서울특별시 금천구 가산동 602-71번지 가산어린이집상록경록당 ,126.884379057129,37.4826935697684
2020,19950126,영업,0,어린이집,옥계어린이집,서울특별시 금천구 독산동 1067-9번지 옥계어린이집 ,126.900343816551,37.460111381728204
2020,19990319,영업,0,유치원,서울숭신초등학교서울숭신초등학교병설유치원,서울특별시 성동구 하왕십리동 1068번지 ,127.02777827697399,37.5676865598955
2020,19990409,영업,0,유치원,서울정곡초등학교및병설유치원,서울특별시 강서구 방화동 836-0번지 ,126.81893273906601,37.576634016041005
2020,19990730,영업,0,어린이집,금호어린이집(구립),서울특별시 성동구 금호동2가 산 9-1번지 ,127.01758529086099,37.5535608230365
2020,20000403,영업,0,유치원,숭의초등학교(숭의유치원),서울특별시 중구 예장동 8-3번지 ,126.98737550482402,37.556891783324794
2020,20000422,폐업,20200302,유치원,엔젤유치원,서울특별시 은평구 역촌동 29-24번지 ,126.91896268527901,37.6042079265358
2020,20000424,영업,0,유치원,서울충무초등학교 서울충무초등학교병설유치원,서울특별시 중구 장충동2가 173-7번지 ,127.00179619494301,37.562013409601995
2020,20000519,영업,0,어린이집,서울아산병원어린이집,서울특별시 송파구 풍납동 388-1번지 ,127.109452762088,37.5262665653841
2020,20010108,영업,0,어린이집,궁동어린이집,서울특별시 구로구 궁동 283-9번지 ,126.828960884695,37.4968593443773
2020,20010326,영업,0,어린이집,행당어린이집,서울특별시 성동구 행당동 346-1 한진A 임대관리동2층,127.026406458924,37.5552735401293
2020,20010516,영업,0,유치원,우정유치원,서울특별시 서초구 서초동 1324-14번지 ,127.02330905572501,37.493133003155705
2020,20010613,영업,0,유치원,서울장충초등학교 서울장충유치원,서울특별시 중구 신당동 386-86번지 장충초등학교 ,127.011155653911,37.5594847314199
2020,20011222,폐업,20200103,어린이집,이태원삼성어린이집,서울특별시 용산구 이태원동 111-6번지 ,126.99538231955799,37.5352834351229
2020,20011227,영업,0,어린이집,선릉삼성어린이집,서울특별시 강남구 삼성동 142-11번지 1층 ,127.051114098871,37.5066641392219
2020,20020103,영업,0,어린이집,삼성서울병원어린이집,서울특별시 강남구 수서동 745-2번지 ,127.088005604487,37.485543943298396
2020,20020318,영업,0,유치원,여나유치원,서울특별시 서초구 서초동 1685번지 (1층?) ,127.015589043207,37.498534140406704
2020,20020318,영업,0,유치원,하나유치원,서울특별시 서초구 잠원동 56-3 잠원한신아파트,127.01075712837,37.5159585949015
2020,20021120,영업,0,유치원,송곡유치원,서울특별시 성동구 홍익동 150번지 (지상2층) ,127.03476892520099,37.565100302872
2020,20021121,영업,0,어린이집,성수어린이집(구립),서울특별시 성동구 성수동2가 299-128번지 ,127.05328382761999,37.5495018212736
2020,20021121,영업,0,어린이집,금옥어린이집,서울특별시 성동구 옥수동 544번지 ,127.012660501253,37.5495576323806
2020,20021121,영업,0,어린이집,금사어린이집,서울특별시 성동구 금호동4가 803번지 ,127.02234625334299,37.5471555311929
2020,20021121,영업,0,어린이집,용답어린이집,서울특별시 성동구 용답동 223-5번지 ,127.056610087925,37.561552582751396
2020,20021121,영업,0,어린이집,금봉어린이집,서울특별시 성동구 금호동1가 37-1번지 ,127.02062001308501,37.557267266497504
2020,20021121,영업,0,어린이집,단비어린이집,서울특별시 성동구 용답동 83-5번지 ,127.05172292238701,37.5647642915149
2020,20021121,영업,0,어린이집,도선어린이집,서울특별시 성동구 홍익동 385-1번지 ,127.030623953494,37.566062033478396
2020,20021121,영업,0,어린이집,동호어린이집,서울특별시 성동구 금호동3가 1266-2번지 ,127.01887829852801,37.5498653376056
2020,20021121,영업,0,어린이집,무학어린이집,서울특별시 성동구 하왕십리동 1053번지 금호베스트빌임대관리동 1층 ,127.02552915600401,37.5619277428564
2020,20021121,영업,0,어린이집,서마어린이집,서울특별시 성동구 마장동 527-10번지 ,127.036880389818,37.5717246274514
2020,20021121,영업,0,어린이집,금일어린이집,서울특별시 성동구 금호동1가 622-1번지 지상3층 ,127.02484272128001,37.5536599097999
2020,20021121,영업,0,어린이집,한솔어린이집,서울특별시 성동구 성수동1가 656-522번지 ,127.045877101002,37.550041025317896
2020,20021121,영업,0,어린이집,대현어린이집,서울특별시 성동구 금호동1가 127-2번지 ,127.02161285472499,37.5548380705631
2020,20021121,영업,0,어린이집,성일어린이집,서울특별시 성동구 성수동1가 706-1번지 ,127.046466620256,37.5504906082949
2020,20021121,영업,0,어린이집,은행어린이집,서울특별시 성동구 행당동 139번지 ,127.03610961881901,37.5585185699042
2020,20021126,영업,0,어린이집,본향어린이집,서울특별시 성동구 금호동1가 48-1번지 (지상1층) ,127.022999590535,37.5575676654906
2020,20021209,영업,0,어린이집,연꽃어린이집,서울특별시 성동구 옥수동 204-8번지 ,127.012700526168,37.5404243664399
2020,20021209,영업,0,어린이집,꼬마에디슨어린이집,서울특별시 성동구 금호동1가 633번지 ,127.027090900661,37.5518471906793
2020,20021209,영업,0,어린이집,하니삐아제 어린이집,서울특별시 성동구 금호동4가 800번지 대우아파트 관리사무소내 ,127.01965834096201,37.5459630231884
2020,20021209,영업,0,어린이집,동산어린이집,서울특별시 성동구 성수동1가 668-73번지 ,127.042793417531,37.5466085755162
2020,20021209,영업,0,어린이집,행응어린이집,서울특별시 성동구 행당동 341-46번지 ,127.03113778876998,37.553137701751396
2020,20021209,영업,0,어린이집,벽산어린이집,서울특별시 성동구 금호동1가 632번지 벽산아파트(종합사회복지관상가) ,127.02581378192,37.5543352056905
2020,20021209,영업,0,어린이집,성동구립진터마루 어린이집,서울특별시 성동구 성수동1가 171번지 ,127.047337046651,37.538722049899704
2020,20021209,영업,0,어린이집,마장어린이집,서울특별시 성동구 마장동 780번지 ,127.045504665877,37.5664435223728
2020,20021209,영업,0,어린이집,성동종합사회복지관내 성모어린이집,서울특별시 성동구 마장동 527-2번지 ,127.033638619301,37.570372403453796
2020,20021209,영업,0,어린이집,한양대학교 한양어린이집,서울특별시 성동구 행당동 17번지 ,127.042458701822,37.5585455211864
2020,20021209,영업,0,어린이집,홍익어린이집,서울특별시 성동구 상왕십리동 130-20번지 ,127.02353631555,37.5686969146784
2020,20021213,영업,0,유치원,한양여대부속유치원,서울특별시 성동구 행당동 17 (지하1층),127.042458701822,37.5585455211864
2020,20030205,영업,0,어린이집,기독어린이집,서울특별시 금천구 시흥동 952-3번지 ,126.905325107243,37.4416838701647
2020,20030211,영업,0,어린이집,근로복지공단모아래어린이집,서울특별시 금천구 가산동 219-21번지 근로복지공단 아파트 ,126.890462785558,37.476316379078
