년,인허가일자,상세영업상태명,폐업일자,업태구분명,사업장명,주소,경도,위도
2017,20021209,영업,0,어린이집,꼬마에디슨어린이집,서울특별시 성동구 금호동1가 633번지 ,127.0270909,37.55184719
2017,20021209,영업,0,어린이집,성동구립진터마루 어린이집,서울특별시 성동구 성수동1가 171번지 ,127.04733700000001,37.53872205
2017,20021209,영업,0,어린이집,연꽃어린이집,서울특별시 성동구 옥수동 204-8번지 ,127.0127005,37.54042437
2017,20021209,영업,0,어린이집,행응어린이집,서울특별시 성동구 행당동 341-46번지 ,127.0311378,37.5531377
2017,20021209,영업,0,어린이집,벽산어린이집,서울특별시 성동구 금호동1가 632번지 벽산아파트(종합사회복지관상가) ,127.02581380000001,37.55433521
2017,20021209,영업,0,어린이집,한양대학교 한양어린이집,서울특별시 성동구 행당동 17번지 ,127.04245870000001,37.55854552
2017,20021209,영업,0,어린이집,하니삐아제 어린이집,서울특별시 성동구 금호동4가 800번지 대우아파트 관리사무소내 ,127.01965829999999,37.54596302
2017,20021209,영업,0,어린이집,진선어린이집,서울특별시 성동구 성수동1가 685-259번지 ,127.0420685,37.54739508
2017,20021209,영업,0,어린이집,마장어린이집,서울특별시 성동구 마장동 780번지 ,127.0455047,37.56644352
2017,20021213,영업,0,유치원,한양여대부속유치원,서울특별시 성동구 행당동 17 (지하1층),127.04245870000001,37.55854552
2017,20030205,영업,0,어린이집,기독어린이집,서울특별시 금천구 시흥동 952-3번지 ,126.9053251,37.44168387
2017,20030211,영업,0,어린이집,근로복지공단모아래어린이집,서울특별시 금천구 가산동 219-21번지 근로복지공단 아파트 ,126.89046280000001,37.47631638
2017,20030214,영업,0,유치원,충신유치원,서울특별시 용산구 이촌동 409번지 한가람APT 단지내 ,126.97350149999998,37.52070604
2017,20030218,영업,0,유치원,유성유치원,서울특별시 용산구 이태원동 253-7번지 ,126.9906123,37.54055285
2017,20030326,영업,0,유치원,사랑유치원,서울특별시 성북구 종암동 99-10번지 ,127.03626299999999,37.59985345
2017,20030326,영업,0,유치원,영재유치원,서울특별시 성북구 종암동 45-31번지 ,127.03470829999999,37.59746411
2017,20030715,영업,0,어린이집,성덕어린이집(구립),서울특별시 성동구 성수동2가 513-1번지 (지상1층) ,127.05303970000001,37.53714231
2017,20030718,영업,0,어린이집,영안어린이집,서울특별시 중랑구 묵동 21번지 ,127.0880374,37.61509245
2017,20030918,영업,0,어린이집,신당삼성어린이집,서울특별시 중구 신당동 357-9번지 ,127.0092504,37.55572802
