년,상세영업상태명,학교종류,학교명,주소,경도,위도
2017,영업,어린이집,구립 위례별마루 어린이집,서울특별시 송파구 장지동 885번지 ,127.1458483,37.48057299
2017,영업,어린이집,이삭 어린이집,서울특별시 은평구 불광동 436-29번지 ,126.9262876,37.62316839
2017,영업,어린이집,별산솔 어린이집,서울특별시 은평구 불광동 230-12번지 ,126.9314614,37.61742993
2017,영업,어린이집,위례꿈별어린이집,서울특별시 송파구 장지동 885번지 ,127.1458483,37.48057299
2017,영업,어린이집,신중앙어린이집,서울특별시 성북구 보문동2가 56-8번지 ,127.0176143,37.58619089
2017,영업,어린이집,유앤미슐레어린이집,서울특별시 양천구 신월동 99-8번지 지상2층 ,126.8325366,37.53453921
2017,영업,어린이집,송파푸르지오 어린이집,서울특별시 송파구 문정동 618번지 ,127.1236425,37.48059620000001
2017,영업,어린이집,아랑어린이집,서울특별시 성북구 종암동 78-78번지 ,127.0289485,37.599701
2017,영업,어린이집,구립보림어린이집,서울특별시 동대문구 이문동 120-1번지 ,127.06545590000002,37.59778513
2017,영업,어린이집,구립래미안에스티움어린이집,서울특별시 영등포구 신길동 2039번지 래미안에스티움아파트 관리동 ,126.9134825,37.50182792
2017,영업,어린이집,하늘한조각 어린이집,서울특별시 은평구 역촌동 56-12번지 1층 ,126.9120752,37.60528226
2017,영업,어린이집,새한 어린이집,서울특별시 송파구 잠실동 302번지 ,127.0787985,37.50396562
2017,영업,어린이집,은석어린이집,서울특별시 영등포구 신길동 4260번지 3층 ,126.9186881,37.49824252
2017,영업,어린이집,국공립구의1동아이터어린이집,서울특별시 광진구 구의동 634-13번지 3층 ,127.0837575,37.54384347
2017,영업,유치원,서울이문유치원,서울특별시 동대문구 이문동 164-26번지 ,127.0645098,37.60241965
2017,영업,일반대학,서경대학교,서울특별시 성북구 정릉동 서경로 124,127.0127841,37.61487212
2017,영업,일반대학,서강대학교,서울특별시 마포구 대흥동 백범로 35,126.9391434,37.55194459
2017,영업,일반대학,상명대학교,서울특별시 종로구 홍지동 홍지문2길 20,126.9546615,37.60333982
2017,영업,전문대학(3년제),삼육보건대학교,서울특별시 동대문구 휘경동 망우로 82,127.0625424,37.58972578
2017,영업,사이버대학(대학),사이버한국외국어대학교,서울특별시 동대문구 이문동 이문로 107,127.056986,37.5979456
2017,영업,일반대학,동국대학교,서울특별시 중구 필동로 1길30,126.998003,37.55817644
2017,영업,일반대학,국민대학교,서울특별시 성북구 정릉로 77,126.9976191,37.61079306
2017,영업,일반대학,고려대학교,서울특별시 성북구 안암동 안암로 145,127.0326852,37.58791907
2017,영업,일반대학,경희대학교,서울특별시 동대문구 회기동 경희대로 26,127.0561128,37.59379956
2017,영업,일반대학,건국대학교,서울특별시 광진구 자양동 능동로 120,127.0789125,37.54488231
2017,영업,일반대학,감리교신학대학교,서울특별시 서대문구 냉천동 31,126.9623049,37.56741796
2017,영업,일반대학,한국체육대학교,서울특별시 송파구 방이동 양재대로 1239,127.1313749,37.52067604
