년,설립일자,학교명,소재지지번주소,소재지도로명주소,위도,경도
2020,19591010,서울휘경초등학교,서울특별시 동대문구 휘경동 302-2,서울특별시 동대문구 망우로6길 48,37.5857358,127.0582128
2020,19840523,서울동답초등학교,서울특별시 동대문구 답십리동 2-24,서울특별시 동대문구 답십리로60길 12,37.571503,127.0640336
2020,19621129,서울답십리초등학교,서울특별시 동대문구 답십리동 274,서울특별시 동대문구 전농로3길 23,37.5688043,127.05542859999998
2020,19720509,서울신답초등학교,서울특별시 동대문구 답십리동 463-13,서울특별시 동대문구 천호대로 177,37.5727054,127.0429615
2020,19481101,서울용두초등학교,서울특별시 동대문구 용두동 237-1,서울특별시 동대문구 천호대로13길 43,37.57641470000001,127.0283873
2020,19670906,서울이문초등학교,서울특별시 동대문구 이문동 358-34,서울특별시 동대문구 신이문로 16,37.6018948,127.0648841
2020,19731122,서울군자초등학교,서울특별시 동대문구 장안동 239-2,서울특별시 동대문구 한천로6길 21,37.5641238,127.0605231
2020,19800404,서울장평초등학교,서울특별시 동대문구 장안동 323,서울특별시 동대문구 답십리로69길 27,37.5739948,127.07389340000002
2020,19901010,서울안평초등학교,서울특별시 동대문구 장안동 353-1,서울특별시 동대문구 장한로14길 61,37.5659698,127.0720337
2020,19711008,서울배봉초등학교,서울특별시 동대문구 전농동 3-111,서울특별시 동대문구 사가정로 193,37.5800825,127.0668713
2020,19690520,서울전동초등학교,서울특별시 동대문구 전농동 45-41,서울특별시 동대문구 전농로16길 61,37.5790838,127.06080690000002
2020,19610406,서울전곡초등학교,서울특별시 동대문구 전농동 188,서울특별시 동대문구 전농로 172,37.5807044,127.0560126
2020,19420408,서울전농초등학교,서울특별시 동대문구 전농동 298,서울특별시 동대문구 사가정로 66,37.57472979999999,127.0543327
2020,19600705,서울홍파초등학교,서울특별시 동대문구 제기동 678,서울특별시 동대문구 고산자로 518,37.5862225,127.0395183
2020,19220708,서울종암초등학교,서울특별시 동대문구 제기동 1157,서울특별시 동대문구 무학로44길 25,37.5823063,127.0318584
2020,19671130,서울홍릉초등학교,서울특별시 동대문구 청량리동 206-44,서울특별시 동대문구 회기로 90,37.5906874,127.0477047
