년,상세영업상태명,학교종류,학교명,주소,경도,위도
2020,영업,어린이집,꿈마당어린이집,서울특별시 도봉구 도봉동 567-2번지 ,127.043816590632,37.6841369878145
2020,영업,어린이집,엘림어린이집,서울특별시 도봉구 방학동 424번지 ,127.02707343941799,37.664210311836
2020,영업,어린이집,하늘빛어린이집,서울특별시 도봉구 도봉동 596-31번지 ,127.044027673447,37.6777601642042
2020,영업,어린이집,가나어린이집,서울특별시 도봉구 쌍문동 315-180번지 ,127.030444165756,37.6488986932183
2020,영업,어린이집,청아어린이집,서울특별시 도봉구 창동 808번지 동아청솔(아) 단지내 ,127.04827686831001,37.6572410977676
2020,영업,어린이집,서초어린이집,서울특별시 서초구 방배동 1027-6번지 (지하1층) ,127.000235754811,37.4746653887329
2020,영업,어린이집,잠원꿈밭어린이집,서울특별시 서초구 잠원동 24-11번지 (지하1층) ,127.01656529346,37.5137494249504
2020,영업,어린이집,구립서초한별어린이집,서울특별시 서초구 양재동 249-12번지 지하 1 층 ,127.039621589509,37.4733017286406
2020,폐업,어린이집,신애어린이집,서울특별시 서초구 우면동 68번지 1층 ,127.02658600312401,37.4718754558688
2020,영업,어린이집,까리따스어린이집,서울특별시 서초구 방배동 3274번지 1층 ,126.984188104755,37.474752940791
2020,영업,어린이집,바로미어린이집,서울특별시 서초구 서초동 1701-1번지 서울법원종합청사 별관 지상1층 ,127.011386114229,37.497001237963794
2020,영업,어린이집,반포청사어린이집,서울특별시 서초구 반포동 520-3번지 (지상1층) ,127.00296320825599,37.4993588720589
2020,영업,어린이집,국회사무처국회어린이집,서울특별시 영등포구 여의도동 1번지 ,126.91535677577801,37.5310475074358
2020,영업,어린이집,반포어린이집,서울특별시 서초구 반포동 107-87번지 지하1층 ,126.996718618874,37.497030665447
2020,영업,어린이집,남태령어린이집,서울특별시 서초구 방배동 2877번지 지하1층 ,126.98877238643,37.465872643611796
2020,영업,유치원,일민유치원,서울특별시 용산구 산천동 193번지 일민유치원 ,126.950568637454,37.5349915344981
2020,영업,유치원,해뜨는유치원,서울특별시 성북구 정릉동 181-22번지 ,127.015716742682,37.60485595412221
2020,영업,어린이집,영재어린이집,서울특별시 서초구 양재동 345-4번지 3층 ,127.043691385974,37.4684019153325
2020,영업,유치원,도원유치원,서울특별시 용산구 도원동 4-3번지 ,126.957817581886,37.538834019031896
2020,영업,유치원,원유치원,서울특별시 용산구 이촌동 402-0번지 ,126.97744369052299,37.5192234129583
2020,영업,유치원,수암유치원,서울특별시 중구 신당동 844번지 남산타운단지 24동 앞 ,127.009255376042,37.549003660166704
2020,영업,어린이집,서초성모어린이집,서울특별시 서초구 반포동 54-9번지 (지하1층) ,127.00949700852301,37.5010839967159
2020,영업,어린이집,구립서초사랑어린이집,서울특별시 서초구 잠원동 49-25번지 (지하1층) ,127.01479345226002,37.5205650302782
2020,영업,어린이집,행복한어린이집,서울특별시 서초구 방배동 789-22번지 (지상1층) ,126.98589657926,37.4920240521582
2020,영업,어린이집,상명어린이집,서울특별시 서초구 서초동 1491-12번지 지하1층 ,127.003074174176,37.4834524350787
2020,영업,유치원,가명유치원,서울특별시 중구 중림동 149-2,126.967223037283,37.5590645017077
2020,영업,유치원,덕수유치원,서울특별시 성북구 성북동 243-1번지 ,126.995241782235,37.593940189049704
2020,영업,유치원,약수유치원,서울특별시 중구 신당동 842번지 ,127.014684838211,37.554758565308106
2020,영업,어린이집,한티어린이집,서울특별시 강남구 대치동 994-17번지 대치문화복지회관3층 ,127.06693287302099,37.4999656569694
2020,영업,어린이집,서초구립사랑의어린이집,서울특별시 서초구 잠원동 60-5번지 (지상1층) ,127.01096461669701,37.5099392849185
2020,영업,어린이집,구립 샛별어린이집,서울특별시 구로구 구로동 549-8번지 ,126.885077458032,37.499936635
2020,영업,유치원,신일유치원,서울특별시 중구 신당동 369-51번지 ,127.011384885507,37.5552688629789
2020,폐업,어린이집,구립역촌2동어린이집,서울특별시 은평구 역촌동 66-11,126.91392074920401,37.602642189727796
2020,폐업,어린이집,성아어린이집,서울특별시 은평구 응암동 348-36번지 ,126.91947677005899,37.5909651835832
2020,폐업,어린이집,구립역촌어린이집,서울특별시 은평구 역촌동 26-45,126.920901281252,37.604773906363796
2020,영업,어린이집,구립은아새어린이집,서울특별시 은평구 응암동 123-19번지 ,126.91600218889201,37.595004679059
2020,영업,어린이집,성모자애어린이집,서울특별시 은평구 불광동 301-80번지 ,126.923783903742,37.6177204501023
2020,영업,어린이집,구립구산어린이집,서울특별시 은평구 구산동 340-6번지 ,126.90790606578899,37.6148079541604
2020,영업,어린이집,구립불광어린이집,서울특별시 은평구 불광동 205-2번지 ,126.929398841443,37.621704587151605
2020,영업,어린이집,구립개나리어린이집,서울특별시 은평구 불광동 444-5번지 ,126.92655780663,37.625349563278
2020,영업,어린이집,큰나무어린이집,서울특별시 구로구 고척동 296번지 대우(A)단지내 ,126.855452593344,37.5030131086245
2020,영업,어린이집,은현어린이집,서울특별시 은평구 갈현동 9-25번지 ,126.916292945221,37.6254667791939
2020,영업,어린이집,구립은평어린이집,서울특별시 은평구 증산동 92-143번지 ,126.90621999515601,37.5865089168539
2020,영업,어린이집,영산어린이집,서울특별시 은평구 불광동 279-2번지 ,126.931681680354,37.612907571889295
2020,영업,유치원,신촌유치원,서울특별시 서대문구 창천동 113-10번지 ,126.93155281985399,37.5573592482691
2020,영업,유치원,한일유치원,서울특별시 중구 신당동 67-81번지 ,127.01990292168301,37.5631068532682
2020,영업,유치원,학교법인 충암유치원,서울특별시 서대문구 남가좌동 2-3번지 충암초등학교 내 ,126.922354413151,37.58473879689061
2020,영업,어린이집,능곡어린이집,서울특별시 구로구 고척동 316번지 능곡어린이집 ,126.85443850613301,37.503181161631396
2020,영업,어린이집,온수어린이집,서울특별시 구로구 온수동 120-11번지 ,126.818712056677,37.4936321281169
2020,영업,어린이집,명화어린이집,서울특별시 구로구 개봉동 303-25번지 ,126.855087555436,37.4934554127126
2020,영업,어린이집,만나어린이집,서울특별시 구로구 개봉동 111-7번지 ,126.846219966528,37.5051310607602
2020,폐업,어린이집,다향어린이집,서울특별시 구로구 오류동 213-10번지 ,126.837340094784,37.4878062233051
2020,영업,어린이집,반야어린이집,서울특별시 구로구 신도림동 324-13번지 ,126.883786946931,37.5134833370579
2020,영업,어린이집,덕성어린이집,서울특별시 구로구 고척동 166-3번지 ,126.854162099149,37.5067021503364
2020,영업,어린이집,고척어린이집,서울특별시 구로구 고척동 141-1번지 ,126.86054565168199,37.5025350306089
