X좌표(경도),Y좌표(위도),백화점 개수,버스정류장 개수,병원 개수,영화관 개수,제과제빵 개수,지하철 개수,카페 개수,편의점 개수,음식점 개수,어린이집_유치원 개수,초중고등학교 개수,대학교 개수
126.76245,37.703149999999994,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76245,37.70725,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76245,37.711349999999996,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76245,37.71545,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.412049999999994,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.41615,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.420249999999996,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.42435,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.42845,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.43254999999999,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.43665,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.440749999999994,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.44485,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.448949999999996,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.45304999999999,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.45715,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.46124999999999,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.46535,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.469449999999995,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.47355,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.47765,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.48174999999999,0,0,0,0,0,0,0,0,0.0,0,0,0
126.76835,37.48585,0,0,0,0,0,0,0,0,0.0,0,0,0
