인허가일자,영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명
19870928,영업/정상,0,서울특별시 종로구 내수동 13-2번지 ,0,희전,한식
19880425,영업/정상,0,서울특별시 종로구 청진동 190-4번지  동  호,서울특별시 종로구 종로3길 24-33 동  호 (청진동),해나루,한식
19890330,영업/정상,0,서울특별시 종로구 신문로2가 91-2번지 ,0,광화문치킨,경양식
19880817,영업/정상,0,서울특별시 종로구 신문로2가 1-214번지 ,0,카피또,한식
19880308,영업/정상,0,서울특별시 종로구 신문로2가 1-214번지 ,0,수란,경양식
19881027,영업/정상,0,서울특별시 종로구 신문로1가 102-4번지 ,0,장충왕족발,분식
19881027,영업/정상,0,서울특별시 종로구 신문로1가 102-4번지 ,0,치킨가든광화문점,분식
19880129,영업/정상,0,서울특별시 종로구 계동 148-1번지 지층동 ,0,만년부페,경양식
19890630,영업/정상,0,서울특별시 종로구 신영동 250-0번지 ,0,그때 그 민속집,한식
19871226,영업/정상,0,서울특별시 종로구 도렴동 110-1번지 ,0,청궁,한식
19871217,영업/정상,0,서울특별시 종로구 도렴동 112-0번지 ,0,태기산더덕순대,분식
19901016,영업/정상,0,서울특별시 종로구 내수동 12-2번지 ,0,먹자집,분식
19881102,영업/정상,0,서울특별시 종로구 신문로1가 61-8번지 ,0,쎄시봉호프,분식
19960410,영업/정상,0,서울특별시 종로구 내수동 217-0번지 ,0,시골국밥,한식
20020216,영업/정상,0,서울특별시 종로구 교남동 58-4번지 지상1층 ,0,한방통닭,한식
20010828,영업/정상,0,서울특별시 종로구 필운동 224-1번지 외7필지 ,0,까를로,한식
20020520,영업/정상,0,서울특별시 종로구 낙원동 253335번지 ,0,프린스(prince),경양식
19890228,영업/정상,0,서울특별시 종로구 신문로2가 56-0번지 ,0,궁중국시,분식
19990305,영업/정상,0,서울특별시 종로구 묘동 158-0번지 ,0,구둘장삼겹살,분식
19871022,영업/정상,0,서울특별시 종로구 신문로1가 204-0번지 ,0,꼬꼬닭,분식
19871022,영업/정상,0,서울특별시 종로구 신문로2가 89-21번지 ,0,수향,분식
19880518,영업/정상,0,서울특별시 종로구 도렴동 117-3번지 ,서울특별시 종로구 새문안로5길 23 (도렴동),샹그리아,경양식
19941220,영업/정상,0,서울특별시 종로구 청진동 276-1번지 ,0,섬,경양식
20020401,영업/정상,0,서울특별시 종로구 청진동 251번지 지상1층 ,0,삼삼오오호프.돈까스점,한식
19971215,영업/정상,0,서울특별시 종로구 체부동 30-31번지 ,0,곱창마당,분식
19951120,영업/정상,0,서울특별시 종로구 평동 13-66번지 ,서울특별시 종로구 경교장1길 8-4 (평동),어랑순두부,한식
19881202,영업/정상,0,서울특별시 종로구 공평동 19-0번지 ,서울특별시 종로구 우정국로 30-1 (공평동),수름재,한식
19960228,영업/정상,0,서울특별시 종로구 혜화동 164-4번지 ,0,(주)두산버거킹대학로점,패스트푸드
19920406,영업/정상,0,서울특별시 종로구 종로2가 75-11번지 ,0,신세대,분식
19880323,영업/정상,0,서울특별시 종로구 신문로1가 129-5번지 ,0,엘리제,경양식
19960228,영업/정상,0,서울특별시 종로구 신문로1가 8-1번지 ,서울특별시 종로구 새문안로7길 4 (신문로1가),샤르라,경양식
19910406,영업/정상,0,서울특별시 종로구 종로5가 2-13번지 ,0,동대문,한식
19951106,영업/정상,0,서울특별시 종로구 청진동 138-1번지 ,서울특별시 종로구 종로5길 23 (청진동),토속마을,한식
19950928,영업/정상,0,서울특별시 종로구 교북동 11-3번지 ,0,토담,한식
19950624,영업/정상,0,서울특별시 종로구 종로5가 124-8번지 (지하철1호선 종로5가역 154-01호) 01호호,0,스낵코너,분식
19790502,영업/정상,0,서울특별시 종로구 청진동 151-0번지 ,0,부림,한식
19910409,영업/정상,0,서울특별시 종로구 내수동 32-2번지 ,0,부성,한식
19900712,영업/정상,0,서울특별시 종로구 관철동 7-17번지 ,서울특별시 종로구 삼일대로15길 6-1 (관철동),유타카나(종로종각점),한식
19920423,영업/정상,0,서울특별시 종로구 신문로2가 89-22번지 ,0,황제분식,한식
19911220,영업/정상,0,서울특별시 종로구 견지동 110-13번지 지층동 ,0,명동 칼국수,분식
20020409,영업/정상,0,서울특별시 종로구 명륜3가 1-209번지 ,0,품 청국장,분식
19950421,영업/정상,0,서울특별시 종로구 내수동 212-0번지 ,0,퀸,분식
19950503,영업/정상,0,서울특별시 종로구 종로3가 15-3번지 ,0,스시앤롤,일식
20010929,영업/정상,0,서울특별시 종로구 내수동 159-1번지 ,0,호진,한식
19920226,영업/정상,0,서울특별시 종로구 내수동 153-0번지 ,0,미선옥,한식
19920619,영업/정상,0,서울특별시 종로구 연건동 75-2번지 ,0,둘둘치킨,분식
19920603,영업/정상,0,서울특별시 종로구 공평동 5-1번지 ,서울특별시 종로구 우정국로 32 (공평동),사조참치공평본점,한식
19920702,영업/정상,0,서울특별시 종로구 내수동 17-1번지 ,0,세종분식,분식
20011214,영업/정상,0,서울특별시 종로구 공평동 42-2번지 ,서울특별시 종로구 우정국로 30-30 (공평동),김명자굴국밥,한식
19950926,영업/정상,0,서울특별시 종로구 도렴동 116-1번지 ,서울특별시 종로구 새문안로5가길 4 (도렴동),명동 할머니 국수 광화문점,분식
19690930,영업/정상,0,서울특별시 종로구 청진동 270-0번지 ,0,경원집,한식
19691002,영업/정상,0,서울특별시 종로구 견지동 110-54번지 ,0,안국정,한식
19900830,영업/정상,0,서울특별시 종로구 신문로1가 184-0번지 ,0,버거잭,분식
20010924,영업/정상,0,서울특별시 종로구 무악동 45-38번지 ,서울특별시 종로구 통일로12가길 30-11 (무악동),춘하추동,한식
19690719,영업/정상,0,서울특별시 종로구 내수동 160-1번지 ,0,서원,한식
19970710,영업/정상,0,서울특별시 종로구 낙원동 98-0번지 ,0,낙원 민물장어,한식
19900629,영업/정상,0,서울특별시 종로구 관훈동 29-25번지 ,0,사동집,한식
19820507,영업/정상,0,서울특별시 종로구 신문로2가 57-0번지 ,0,웅추삼계탕,한식
20010929,영업/정상,0,서울특별시 종로구 관수동 155-6번지 ,0,마로니에,한식
20020621,영업/정상,0,서울특별시 종로구 종로1가 31번지 지상12층 ,0,아틀란타홈메이드씨스터스학윙스,패스트푸드
19970211,영업/정상,0,서울특별시 중구 명동2가 50-16번지 ,0,파스안,경양식
19981220,영업/정상,0,서울특별시 중구 황학동 114-1번지 ,0,남향,일식
19861105,영업/정상,0,서울특별시 중구 봉래동1가 150-3번지 서울역    3호,0,지하서울역코너,분식
19861006,영업/정상,0,서울특별시 중구 신당동 204-65번지 ,0,삼우정,한식
19950922,영업/정상,0,서울특별시 중구 남대문로5가 214-0번지 ,서울특별시 중구 세종대로2나길 8 (남대문로5가),청목원,한식
19990827,영업/정상,0,서울특별시 중구 남대문로5가 12-8번지 ,서울특별시 중구 세종대로 12 (남대문로5가),세컨드컵,경양식
19981220,영업/정상,0,서울특별시 중구 황학동 753-0번지 ,0,애인집,한식
19981220,영업/정상,0,서울특별시 중구 황학동 673-0번지 ,0,송강회관,한식
19860610,영업/정상,0,서울특별시 중구 중림동 335-0번지 ,0,미주,한식
19791203,영업/정상,0,서울특별시 중구 회현동1가 1-15번지 ,0,박리분식,한식
20040403,영업/정상,0,서울특별시 중구 순화동 3-9번지 (지상2층) ,0,다맛,한식
19981226,영업/정상,0,서울특별시 중구 남대문로5가 12-5번지 ,0,미다래,경양식
20050404,영업/정상,0,서울특별시 중구 회현동2가 4-5번지 (지상12층) ,0,우리회관,한식
20031008,영업/정상,0,서울특별시 중구 흥인동 14번지 (지상1층) ,0,육미,한식
19830314,영업/정상,0,서울특별시 중구 명동1가 42-0번지 ,0,예지분식,한식
19991113,영업/정상,0,서울특별시 중구 남대문로5가 12-48번지 ,서울특별시 중구 세종대로2나길 15 (남대문로5가),남해수산,한식
20041119,영업/정상,0,서울특별시 중구 을지로2가 161번지 을지로지하도상가내(378호) ,0,맛깔참죽,한식
20040217,영업/정상,0,서울특별시 중구 충무로2가 12-12번지 (지상2층) ,0,테라스,경양식
20041126,영업/정상,0,서울특별시 중구 남대문로5가 225번지 1~2층 ,서울특별시 중구 세종대로2길 21-7 1~2층 (남대문로5가),소잡는날,한식
20040514,영업/정상,0,서울특별시 중구 을지로2가 88-3번지 (지상1층) ,서울특별시 중구 을지로9길 5 (을지로2가(지상1층)),동강나루터,한식
20041011,영업/정상,0,서울특별시 중구 황학동 551번지 (지상1층) ,0,중앙원조순대국,한식
20040324,영업/정상,0,서울특별시 중구 신당동 45-101번지 (지상2층) ,0,돈각 장충왕족발,한식
20111010,영업/정상,0,서울특별시 중구 충무로1가 50-10번지 (지하1층 회현지하상가 자-3호) ,0,밥로드,분식
19990114,영업/정상,0,서울특별시 중구 남대문로5가 12-48번지 ,서울특별시 중구 세종대로2나길 15 (남대문로5가),명동식당,한식
19990105,영업/정상,0,서울특별시 중구 회현동1가 33-4번지 ,0,경성식당,한식
20050510,영업/정상,0,서울특별시 중구 남대문로5가 14-5번지 (지상1층) ,서울특별시 중구 세종대로2나길 14 (남대문로5가(지상1층)),서울고기집,한식
20041116,영업/정상,0,서울특별시 중구 저동1가 48번지 (2동) 지상1층 ,서울특별시 중구 삼일대로 341 (저동1가(2동) 지상1층),시네마,한식
20040319,영업/정상,0,서울특별시 중구 저동1가 63번지 (지상2층) ,서울특별시 중구 삼일대로 347 (저동1가(지상2층)),부산집,한식
19900628,영업/정상,0,서울특별시 중구 순화동 137-0번지 ,0,공원집,한식
