상세영업상태코드,상세영업상태명,폐업일자,지번주소,사업장명,최종수정일자,데이터갱신일자,공연장형태구분명,최초등록시점
13,영업중,0,서울특별시 송파구 문정동 516번지 가든파이브라이프영관 10층 ,CGV 송파 SPHERE X,20191218100205,2019-12-20 02:40:00.0,영화관,20090428
13,영업중,0,서울특별시 송파구 문정동 516번지 가든파이브라이프영관10층 ,CGV 송파 4관,20190422151852,2019-04-24 02:40:00.0,영화관,20090428
13,영업중,0,서울특별시 송파구 문정동 516번지 가든파이브라이프영관 10층 ,CGV 송파 6관,20190422151712,2019-04-24 02:40:00.0,영화관,20090428
13,영업중,0,서울특별시 강동구 천호동 42번지 ,CGV 천호 5관,20190422133839,2019-04-24 02:40:00.0,영화관,20150706
13,영업중,0,서울특별시 송파구 문정동 618번지 204동 비162호,메가박스 송파파크하비오점(1관),20190619090115,2019-06-21 02:40:00.0,영화관,20161221
13,영업중,0,서울특별시 송파구 문정동 618번지 204동 비162호,메가박스 송파파크하비오점(2관),20190619090045,2019-06-21 02:40:00.0,영화관,20161221
13,영업중,0,서울특별시 송파구 신천동 29번지 ,롯데시네마 월드타워(제3관),20200115152647,2020-01-17 02:40:00.0,영화관,20141014
13,영업중,0,서울특별시 송파구 신천동 29번지 ,롯데시네마 월드타워(제4관),20200115152733,2020-01-17 02:40:00.0,영화관,20141014
13,영업중,0,서울특별시 송파구 신천동 29번지 ,롯데시네마 월드타워(제5관),20200115152817,2020-01-17 02:40:00.0,영화관,20141014
13,영업중,0,서울특별시 송파구 신천동 29번지 ,롯데시네마 월드타워(제6관),20200115152840,2020-01-17 02:40:00.0,영화관,20141014
13,영업중,0,서울특별시 송파구 신천동 29번지 ,롯데시네마 월드타워(제1관),20200115091511,2020-01-17 02:40:00.0,영화관,20141014
13,영업중,0,서울특별시 송파구 신천동 29번지 ,롯데시네마 월드타워(제8관),20200115152931,2020-01-17 02:40:00.0,영화관,20141014
13,영업중,0,서울특별시 송파구 신천동 29번지 ,롯데시네마 월드타워(제10관),20200115153146,2020-01-17 02:40:00.0,영화관,20141014
13,영업중,0,서울특별시 송파구 문정동 618번지 204동 비162호,메가박스 송파파크하비오점(3관),20190619090018,2019-06-21 02:40:00.0,영화관,20161221
13,영업중,0,서울특별시 송파구 문정동 618번지 204동 비162호,메가박스 송파파크하비오점(4관),20190619085944,2019-06-21 02:40:00.0,영화관,20161221
13,영업중,0,서울특별시 송파구 문정동 618번지 204동 비162호,메가박스 송파파크하비오점(5관),20190619085917,2019-06-21 02:40:00.0,영화관,20161221
13,영업중,0,서울특별시 송파구 문정동 618번지 204동 비162호,메가박스 송파파크하비오점(6관),20190619085850,2019-06-21 02:40:00.0,영화관,20161221
13,영업중,0,서울특별시 송파구 문정동 618번지 204동 비162호,메가박스 송파파크하비오점(7관),20190619085346,2019-06-21 02:40:00.0,영화관,20161221
13,영업중,0,서울특별시 송파구 문정동 618번지 204동 비162호,메가박스 송파파크하비오점(8관),20190619085256,2019-06-21 02:40:00.0,영화관,20161221
13,영업중,0,서울특별시 송파구 문정동 618번지 204동 비162호,메가박스 송파파크하비오점(9관),20190619085125,2019-06-21 02:40:00.0,영화관,20161221
13,영업중,0,서울특별시 강동구 천호동 42번지 ,CGV 천호 4관,20190422133759,2019-04-24 02:40:00.0,영화관,20150706
13,영업중,0,서울특별시 송파구 문정동 634번지 가든파이브라이프 영관 10층 ,CGV 송파 8관,20190422105535,2019-04-24 02:40:00.0,영화관,20160126
13,영업중,0,서울특별시 송파구 신천동 29번지 ,롯데시네마 월드타워(제7관),20200115152906,2020-01-17 02:40:00.0,영화관,20141014
13,영업중,0,서울특별시 송파구 신천동 29번지 ,롯데시네마 월드타워(제2관),20200115152612,2020-01-17 02:40:00.0,영화관,20141014
13,영업중,0,서울특별시 송파구 잠실동 10번지 서울종합운동장 ,잠실자동차극장(2관),20180725210520,2018-08-31 23:59:59.0,자동차극장,19990911
13,영업중,0,서울특별시 강동구 성내동 549-1번지 ,메가박스 강동1,20180523092621,2018-08-31 23:59:59.0,영화관,19951115
13,영업중,0,서울특별시 강동구 천호동 42번지 ,CGV 천호 1관,20190422144500,2019-04-24 02:40:00.0,영화관,20150706
13,영업중,0,서울특별시 강동구 천호동 42번지 ,CGV 천호 6관,20190422112757,2019-04-24 02:40:00.0,영화관,20150706
13,영업중,0,서울특별시 강동구 천호동 42번지 ,CGV 천호 3관,20190422133738,2019-04-24 02:40:00.0,영화관,20150706
13,영업중,0,서울특별시 강동구 천호동 42번지 ,CGV 천호 2관,20190422133712,2019-04-24 02:40:00.0,영화관,20150706
13,영업중,0,서울특별시 강동구 성내동 549-1번지 ,메가박스 강동10,20180530172436,2018-08-31 23:59:59.0,영화관,20050613
13,영업중,0,서울특별시 강동구 성내동 549-1번지 ,메가박스 강동9,20180530172312,2018-08-31 23:59:59.0,영화관,20050613
13,영업중,0,서울특별시 강동구 성내동 549-1번지 ,메가박스 강동8,20180530172034,2018-08-31 23:59:59.0,영화관,20050613
13,영업중,0,서울특별시 강동구 성내동 549-1번지 ,메가박스 강동7,20180530171918,2018-08-31 23:59:59.0,영화관,20050613
13,영업중,0,서울특별시 강동구 성내동 44-1번지 ,롯데시네마 10관,20171122143859,2018-08-31 23:59:59.0,영화관,20040715
13,영업중,0,서울특별시 강동구 성내동 44-1번지 ,롯데시네마 9관,20080513145136,2018-08-31 23:59:59.0,영화관,20040715
13,영업중,0,서울특별시 강동구 성내동 44-1번지 ,롯데시네마 8관,20110113111513,2018-08-31 23:59:59.0,영화관,20040715
13,영업중,0,서울특별시 강동구 성내동 44-1번지 ,롯데시네마 7관,20110113111435,2018-08-31 23:59:59.0,영화관,20040715
13,영업중,0,서울특별시 강동구 성내동 44-1번지 ,롯데시네마 6관,20200402180400,2020-04-04 02:40:00.0,영화관,20040715
13,영업중,0,서울특별시 강동구 성내동 44-1번지 ,롯데시네마 5관,20200402175845,2020-04-04 02:40:00.0,영화관,20040715
