상세영업상태명,폐업일자,사업장명,공연장형태구분명,설립일자,지번주소,도로명주소,경도,위도
폐업,20200916,롯데시네마 황학,영화관,0,서울특별시 중구 황학동 2545,서울특별시 중구 청계천로 400,127.0214631,37.57080937
영업중,0,CGV 홍대점,영화관,0,서울특별시 마포구 동교동 159-8,서울특별시 마포구 서교동 양화로 153,126.92263170000001,37.5564945
영업중,0,샘물,영화관,0,서울특별시 구로구 개봉동 339-9,서울특별시 구로구 개봉로15길 58-5,126.85259540000001,37.49011317
영업중,0,메가박스 상암월드컵경기장,영화관,0,서울특별시 마포구 성산동 515-1,서울특별시 마포구 월드컵로 240,126.8990337,37.56994315
영업중,0,롯데시네마 합정점,영화관,0,서울특별시 마포구 합정동 415-419,서울특별시 마포구 양화로 45,126.91367759999999,37.55016583
영업중,0,KT&G 상상마당 시네마,영화관,0,서울특별시 마포구 서교동 367-5,서울특별시 마포구 어울마당로 65,126.92106329999999,37.55095823
영업중,0,메가박스 코엑스,영화관,0,서울특별시 강남구 삼성동 159,서울특별시 강남구 봉은사로 524,127.05711409999998,37.51294416
영업중,0,구로문화원,영화관,0,서울특별시 구로구 구로동 102,서울특별시 구로구 가마산로25길 21,126.88985829999999,37.49720117
영업중,0,바다극장,영화관,19720220,서울특별시 종로구 예지동 222,서울특별시 종로구 청계천로 187,126.9984863,37.56936648
영업중,0,메가박스 강남대로(씨티),영화관,19940905,서울특별시 강남구 역삼동 816,서울특별시 강남구 강남대로 422,127.0269841,37.50039311
영업중,0,씨네마강남 대관,영화관,19950215,서울특별시 강남구 논현동 4-15,서울특별시 강남구 도산대로 126,127.0224111,37.51696870000001
영업중,0,(주)케이엠티브이,영화관,19950428,서울특별시 강남구 논현동 58-3,서울특별시 강남구 학동로 169,127.0293199,37.51386197
영업중,0,메가박스 강동,영화관,19951115,서울특별시 강동구 성내동 549-2,서울특별시 강동구 성내로 48,127.12535729999999,37.52844483
영업중,0,CGV 압구정,영화관,19971216,서울특별시 강남구 신사동 603-2,서울특별시 강남구 신사동 압구정로30길 45,127.0294033,37.52435075
영업중,0,씨네예술관,영화관,19980309,서울특별시 강남구 논현동 97-26,서울특별시 강남구 언주로150길 14,127.0355213,37.52098136
영업중,0,강남비디오소극장,영화관,19980309,서울특별시 강남구 논현동 123-2,서울특별시 강남구 학동로 118,127.02392320000001,37.51163202
영업중,0,CGV 강변,영화관,19980325,서울특별시 광진구 구의동 546-4,서울특별시 광진구 광나루로56길 85,127.09569180000001,37.5357246
영업중,0,클래식시네마스페이스(주),영화관,19990403,서울특별시 강남구 논현동 1-3,서울특별시 강남구 도산대로 108,127.02066,37.51619888
영업중,0,씨네하우스BD,영화관,19991011,서울특별시 강남구 논현동 91-6,서울특별시 강남구 도산대로 310,127.0354768,37.52154003
폐업,20170426,LG아트센터,영화관,19991206,서울특별시 강남구 역삼동 679-1,서울특별시 강남구 논현로 508,127.03733590000002,37.50199454
영업중,0,CGV 강남,영화관,20000727,서울특별시 강남구 역삼동 814-6,서울특별시 강남구 강남대로 438,127.02633629999998,37.50164233
영업중,0,메가박스 센트럴,영화관,20000728,서울특별시 서초구 반포동 19-3,서울특별시 서초구 신반포로 176,127.002794,37.5042136
영업중,0,대한극장,영화관,20011212,서울특별시 중구 충무로4가 125-18,서울특별시 중구 충무로4가 퇴계로 216-1,126.99568570000001,37.56139682
영업중,0,CGV 명동,영화관,20011224,서울특별시 중구 명동2가 83-5,서울특별시 중구 명동2가 명동길 14,126.9828878,37.56341113
영업중,0,CGV 구로,영화관,20020117,서울특별시 구로구 구로동 573,서울특별시 구로구 구로중앙로 152,126.88277279999998,37.5011597
영업중,0,CGV 청담씨네시티,영화관,20020123,서울특별시 강남구 신사동 651-21,서울특별시 강남구 도산대로 323,127.0370166,37.52289811
영업중,0,CGV 하계,영화관,20020624,서울특별시 노원구 중계동 506-1,서울특별시 노원구 섬밭로 258,127.064423,37.63897307
영업중,0,롯데시네마 브로드웨이,영화관,20020702,서울특별시 강남구 논현동 3-5,서울특별시 강남구 도산대로8길 8,127.02193829999999,37.51636513
영업중,0,CGV 목동,영화관,20020829,서울특별시 양천구 목동 916,서울특별시 양천구 목동동로 257,126.8685416,37.53990146
영업중,0,롯데시네마 용산,영화관,20021216,서울특별시 용산구 한강로3가 16-9,서울특별시 용산구 한강로3가 청파로 74,126.9595587,37.53278805
폐업,20180118,CGV 김포공항,영화관,20030122,서울특별시 강서구 방화동 886,서울특별시 강서구 개화동로 523,126.8061466,37.56584416
영업중,0,서울극장,영화관,20030212,서울특별시 종로구 관수동 59-7,서울특별시 종로구 돈화문로 13,126.99166570000001,37.56969451
영업중,0,허리우드클래식,영화관,20030212,서울특별시 종로구 낙원동 284-6,서울특별시 종로구 삼일대로 428,126.98790290000001,37.57276419
영업중,0,씨네큐브 광화문,영화관,20030212,서울특별시 종로구 신문로1가 226,서울특별시 종로구 신문로1가 새문안로 68,126.9721394,37.56964253
폐업,20180716,메가박스 상암월드컵경기장,영화관,20030519,서울특별시 마포구 성산동 515,서울특별시 마포구 월드컵로 240,126.8990337,37.56994315
영업중,0,스카라극장,영화관,20030520,서울특별시 중구 초동 41-1,서울특별시 중구 마른내로2길 3,126.99258,37.56408521
영업중,0,명보아트시네마,영화관,20030520,서울특별시 중구 초동 18-5,서울특별시 중구 마른내로 47,126.99321270000002,37.56470319
영업중,0,시네아스트극장,영화관,20030520,서울특별시 중구 초동 19-4,서울특별시 중구 마른내로 41,126.9924155,37.5645487
영업중,0,CGV 명동,영화관,20030520,서울특별시 중구 충무로2가 65-9,서울특별시 중구 충무로2가 퇴계로 123,126.9853639,37.56126431
영업중,0,명동시네마,영화관,20030520,서울특별시 중구 충무로1가 24-23,서울특별시 중구 충무로1가 명동8나길 15,126.9841156,37.56126228
영업중,0,이동상영관,영화관,20031030,서울특별시 은평구 녹번동 85-4,서울특별시 은평구 은평로21길 54,126.92851270000001,37.60391355
영업중,0,아리랑시네센터,영화관,20040503,서울특별시 성북구 돈암동 538-98,서울특별시 성북구 아리랑로 82,127.01392859999999,37.60006212
영업중,0,떼아뜨르 이동영화,영화관,20040614,서울특별시 구로구 개봉동 297-2,서울특별시 구로구 개봉로3길 109,126.85074820000001,37.48560645
영업중,0,CGV 대학로,영화관,20040630,서울특별시 종로구 명륜2가 41-9,서울특별시 종로구 명륜2가 대명길 28,126.9998415,37.58345693
