기간,구분,일반가구수,1인,2인,3인,4인,5인,6인,7인 이상,평균가구원수
2019,양천구,162867 ,36345 ,41435 ,40897 ,35189 ,7272 ,1393 ,336 ,3 
2019,강서구,240135 ,79371 ,63517 ,49322 ,37325 ,8458 ,1707 ,435 ,2 
2019,구로구,160378 ,47740 ,43700 ,34624 ,26459 ,6214 ,1261 ,380 ,2 
2019,금천구,99315 ,37778 ,25207 ,18771 ,13535 ,3131 ,708 ,185 ,2 
2019,영등포구,153923 ,58214 ,38671 ,29661 ,21503 ,4597 ,1032 ,245 ,2 
2019,동작구,164963 ,60088 ,40739 ,32514 ,24570 ,5564 ,1204 ,284 ,2 
2019,관악구,242154 ,119863 ,55423 ,34875 ,24563 ,5806 ,1283 ,341 ,2 
2019,서초구,155377 ,42667 ,38892 ,35327 ,29850 ,6704 ,1503 ,434 ,3 
2019,강남구,206524 ,66073 ,51560 ,43435 ,35800 ,7671 ,1564 ,421 ,2 
2019,송파구,252212 ,68861 ,65402 ,57821 ,47607 ,10014 ,2038 ,469 ,3 
2019,강동구,162976 ,45188 ,43297 ,36735 ,29461 ,6606 ,1333 ,356 ,3 
