유형,전체 기관명,도로명 주소,행정 구,행정 동,위도,경도
동,서울특별시 노원구 월계1동주민센터,서울특별시 노원구 석계로 59 (월계동),노원구,월계1동,37.6199851408545,127.062879380852
동,서울특별시 노원구 월계2동주민센터,서울특별시 노원구 초안산로5길 28 (월계동),노원구,월계2동,37.6325100601492,127.05077979868099
동,서울특별시 노원구 월계3동주민센터,서울특별시 노원구 마들로 57 (월계동),노원구,월계3동,37.62100222621249,127.069230517873
동,서울특별시 노원구 중계1동주민센터,서울특별시 노원구 한글비석로 279 (중계동),노원구,중계1동,37.65255188798471,127.07747843468
동,서울특별시 강동구 성내3동주민센터,서울특별시 강동구 강동대로53길 76 (성내동),강동구,성내3동,37.52604273801821,127.132884081017
동,서울특별시 강동구 암사1동주민센터,서울특별시 강동구 올림픽로98가길 57 (암사동),강동구,암사1동,37.5514737248079,127.132636271579
동,서울특별시 강동구 암사2동주민센터,서울특별시 강동구 상암로3길 28 (암사동),강동구,암사2동,37.5517047779026,127.127269572999
동,서울특별시 강동구 암사3동주민센터,서울특별시 강동구 고덕로 137 (암사동),강동구,암사3동,37.55500272761029,127.14078758279601
동,서울특별시 강동구 천호1동주민센터,서울특별시 강동구 구천면로42길 59 (천호동),강동구,천호1동,37.545020465625,127.136799111065
동,서울특별시 강동구 천호2동주민센터,서울특별시 강동구 올림픽로 698 (천호동),강동구,천호2동,37.5434526504095,127.125431542665
동,서울특별시 강동구 천호3동주민센터,서울특별시 강동구 진황도로23길 7 (천호동),강동구,천호3동,37.540040144231604,127.129783972321
동,서울특별시 강북구 미아동주민센터,서울특별시 강북구 솔매로49길 14 1층,강북구,미아동,37.6270922779623,127.02697565103901
동,서울특별시 강북구 번1동주민센터,서울특별시 강북구 덕릉로41길 74,강북구,번1동,37.6378876997149,127.02884537666999
동,서울특별시 강북구 번2동주민센터,서울특별시 강북구 한천로 897,강북구,번2동,37.6321313485575,127.038780011679
동,서울특별시 강북구 번3동주민센터,서울특별시 강북구 한천로105길 21,강북구,번3동,37.6258281443937,127.04676938130899
동,서울특별시 강북구 삼각산동주민센터,서울특별시 강북구 삼양로19길 102,강북구,삼각산동,37.616753886567295,127.017486945599
동,서울특별시 강북구 삼양동주민센터,서울특별시 강북구 삼양로 268,강북구,삼양동,37.6273402923163,127.018366924291
동,서울특별시 강북구 송중동주민센터,서울특별시 강북구 오패산로 162,강북구,송중동,37.6161219284445,127.033780697682
동,서울특별시 강북구 송천동주민센터,서울특별시 강북구 솔샘로 284,강북구,송천동,37.6182973239144,127.023850819663
동,서울특별시 강북구 수유1동주민센터,서울특별시 강북구 삼양로 299,강북구,수유1동,37.630050018249705,127.017558242184
동,서울특별시 강북구 수유2동주민센터,서울특별시 강북구 한천로 1117,강북구,수유2동,37.6446442505812,127.019889617957
동,서울특별시 강북구 수유3동주민센터,서울특별시 강북구 노해로 36,강북구,수유3동,37.6387200079585,127.02315025718201
동,서울특별시 강북구 우이동주민센터,서울특별시 강북구 삼양로139길 49,강북구,우이동,37.6479351086589,127.01187032397301
동,서울특별시 강북구 인수동주민센터,서울특별시 강북구 인수봉로 255,강북구,인수동,37.6414931361389,127.01060047468901
동,서울특별시 강서구 가양1동주민센터,서울특별시 강서구 허준로 30 (가양동),강서구,가양1동,37.5694884982257,126.84470493897
동,서울특별시 강서구 가양2동주민센터,서울특별시 강서구 허준로 93 (가양동),강서구,가양2동,37.5673975981702,126.851271061152
동,서울특별시 관악구 신림동주민센터,서울특별시 관악구 신림동길 14,관악구,신림동,37.48740071324121,126.92711726781
동,서울특별시 관악구 신사동주민센터,서울특별시 관악구 조원로 142,관악구,신사동,37.4854075250316,126.91809489043301
동,서울특별시 관악구 신원동주민센터,서울특별시 관악구 신원로3길 13-6,관악구,신원동,37.4813488955884,126.927281524305
동,서울특별시 관악구 은천동주민센터,서울특별시 관악구 봉천로33나길 30,관악구,은천동,37.485305030892704,126.94240966059799
동,서울특별시 관악구 인헌동주민센터,서울특별시 관악구 남부순환로246가길 20,관악구,인헌동,37.4750983196981,126.965323807947
동,서울특별시 관악구 조원동주민센터,서울특별시 관악구 조원로12길 25,관악구,조원동,37.4825632229121,126.907795221817
동,서울특별시 관악구 중앙동주민센터,서울특별시 관악구 양녕로6다길 7,관악구,중앙동,37.484192472158796,126.94975096348
동,서울특별시 관악구 청림동주민센터,서울특별시 관악구 관악로 40길 39,관악구,청림동,37.491848787668,126.958628550702
동,서울특별시 관악구 행운동주민센터,서울특별시 관악구 행운1길 43,관악구,행운동,37.4806409936774,126.957029823193
동,서울특별시 광진구 광장동주민센터,서울특별시 광진구 광장로 52 (광장동),광진구,광장동,37.546783883089,127.10324511491699
동,서울특별시 광진구 구의1동주민센터,서울특별시 광진구 광나루로36길 56 (구의동),광진구,구의1동,37.5424139974152,127.08567798660201
동,서울특별시 광진구 구의2동주민센터,서울특별시 광진구 천호대로136길 55 (구의동),광진구,구의2동,37.547239792753,127.089923357964
동,서울특별시 광진구 구의3동주민센터,서울특별시 광진구 강변역로 17 (구의동),광진구,구의3동,37.5379911922904,127.091983160848
동,서울특별시 광진구 군자동주민센터,서울특별시 광진구 군자로 151 (군자동),광진구,군자동,37.5551626891742,127.075891230192
동,서울특별시 광진구 능동주민센터,서울특별시 광진구 천호대로112길 55 (능동),광진구,능동,37.5537608820243,127.080552323088
동,서울특별시 광진구 자양1동주민센터,서울특별시 광진구 자양로13길 37 (자양동),광진구,자양1동,37.5344975526465,127.082394814687
동,서울특별시 광진구 자양2동주민센터,서울특별시 광진구 자양로3가길 26 (자양동),광진구,자양2동,37.5288024333232,127.08438949652599
동,서울특별시 광진구 자양3동주민센터,서울특별시 광진구 뚝섬로 568 (자양동),광진구,자양3동,37.5338360850535,127.072903682332
동,서울특별시 광진구 자양제4동주민센터,서울특별시 광진구 뚝섬로 26길 58 (자양동),광진구,자양4동,37.5341003027667,127.06625959939699
동,서울특별시 광진구 중곡1동주민센터,서울특별시 광진구 긴고랑로12길 49 (중곡동),광진구,중곡1동,37.5604607812965,127.080088041962
동,서울특별시 광진구 중곡2동주민센터,서울특별시 광진구 능동로 345 (중곡2동),광진구,중곡1동,37.5603343047734,127.08097120675899
동,서울특별시 광진구 중곡3동주민센터,서울특별시 광진구 동일로 76가길 28 (중곡동),광진구,중곡3동,37.5688062909472,127.080137447526
동,서울특별시 광진구 중곡4동주민센터,서울특별시 광진구 긴고랑로 131 (중곡4동),광진구,중곡4동,37.5591010624895,127.089433772957
동,서울특별시 광진구 화양동주민센터,서울특별시 광진구 능동로17길 39 (화양동),광진구,화양동,37.5465360047906,127.071317839814
동,서울특별시 구로구 가리봉동주민센터,서울특별시 구로구 디지털로26길 5 (가리봉동주민센터),구로구,구로3동,37.481610694573,126.89347935065099
동,서울특별시 구로구 개봉1동주민센터,서울특별시 구로구 경인로 33길 51 (개봉1동주민센터),구로구,개봉1동,37.500245401974794,126.851141179232
동,서울특별시 구로구 개봉2동주민센터,서울특별시 구로구 개봉로16가길 17 (개봉2동주민센터),구로구,개봉2동,37.4908321288054,126.85654627740401
동,서울특별시 구로구 개봉3동주민센터,서울특별시 구로구 개봉로3길 47-5 (개봉3동주민센터),구로구,개봉3동,37.4859940229086,126.85383775492
동,서울특별시 구로구 고척1동주민센터,서울특별시 구로구 중앙로3길 18-8 (고척1동주민센터),구로구,고척1동,37.5004022666916,126.862786927909
동,서울특별시 구로구 고척2동주민센터,서울특별시 구로구 중앙로15길 22 (고척2동주민센터),구로구,고척2동,37.50669360897521,126.858606558404
동,서울특별시 구로구 구로1동주민센터,서울특별시 구로구 구일로4길 57 (구로1동주민센터),구로구,구로1동,37.4930378544163,126.87578647064699
동,서울특별시 구로구 구로2동주민센터,서울특별시 구로구 구로동로 141 (구로2동주민센터)),구로구,구로2동,37.49132019519679,126.883399604609
동,서울특별시 구로구 구로3동주민센터,서울특별시 구로구 디지털로31길 109 (구로동3동주민센터),구로구,구로3동,37.4873484736756,126.89033080864701
동,서울특별시 구로구 구로4동주민센터,서울특별시 구로구 구로동로28길 94 (구로동4동주민센터),구로구,구로4동,37.49157991944311,126.889151071006
동,서울특별시 구로구 구로5동주민센터,서울특별시 구로구 구로중앙로28길 66 (구로5동주민센터),구로구,구로5동,37.5001053591757,126.889339705021
동,서울특별시 강서구 가양3동주민센터,서울특별시 강서구 허준로 202 (가양동),강서구,가양3동,37.5610926496269,126.860561389048
동,서울특별시 강서구 공항동주민센터,서울특별시 강서구 송정로 45 (공항동),강서구,공항동,37.5587849031133,126.810075031485
동,서울특별시 강서구 등촌1동주민센터,서울특별시 강서구 공항대로53가길 55 (등촌동),강서구,등촌1동,37.5558311220708,126.85891092139099
동,서울특별시 강서구 등촌3동주민센터,서울특별시 강서구 화곡로63길 96 (등촌동),강서구,등촌3동,37.558887315412605,126.84791848585199
동,서울특별시 강서구 발산1동주민센터,서울특별시 강서구 강서로47길 54 (내발산동),강서구,발산1동,37.553120859537295,126.833180261693
동,서울특별시 강서구 방화1동주민센터,서울특별시 강서구 방화동로 124-1 (방화동),강서구,방화1동,37.5715525157335,126.812214293878
동,서울특별시 강서구 방화2동주민센터,서울특별시 강서구 개화동로 23길 20 (방화동),강서구,방화2동,37.566715156825104,126.80673510576
동,서울특별시 노원구 중계23동주민센터,서울특별시 노원구 노원로17길 56 (중계동),노원구,중계2.3동,37.64213006632721,127.068731659851
