인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명
20200715,영업,0,서울특별시 서대문구 남가좌동 224-1 DMC에코자이 지하115호,서울특별시 서대문구 거북골로 84 지하2층 115호 (남가좌동 DMC에코자이),커피사피엔스 DMC에코자이점,카페
20200715,영업,0,서울특별시 성북구 동소문동2가 146,서울특별시 성북구 동소문로6길 22 (동소문동2가),카페쉼표,카페
20200715,영업,0,서울특별시 광진구 중곡동 56-2,서울특별시 광진구 용마산로 67 1층 (중곡동),세븐일레븐중곡사거리점,카페
20200715,영업,0,서울특별시 송파구 문정동 651 문정역테라타워,서울특별시 송파구 송파대로 167 문정역테라타워 A동 G125호 (문정동),알리바바커피 문정역점,카페
20200715,영업,0,서울특별시 서대문구 남가좌동 175 래미안루센티아 상가동 1호,서울특별시 서대문구 거북골로 100 상가동 1호 (남가좌동 래미안루센티아),디저트39가재울뉴타운점,카페
20200715,영업,0,서울특별시 서초구 잠원동 57-20 대림상가 224225호,서울특별시 서초구 잠원로8길 25 대림상가 2층 224225호 (잠원동),오씨오씨 커피(OCOC 커피),카페
20200715,영업,0,서울특별시 관악구 봉천동 932-19,서울특별시 관악구 봉천로 373-10 1층 (봉천동),커피듀오,카페
20190718,영업,0,서울특별시 강남구 신사동 549-5 현대빌딩,서울특별시 강남구 압구정로 140 지상1층 (신사동),세라젬카페오가다 압구정점,카페
20181012,폐업,20200715,서울특별시 노원구 중계동 413-8,서울특별시 노원구 덕릉로 591 금화빌딩 1층 (중계동),노벰버(NOVEMBER),카페
20170403,폐업,20200715,서울특별시 강남구 논현동 211-12,서울특별시 강남구 언주로125길 8 지상1층 104호 (논현동),생활커피 학동점,카페
20170216,영업,0,서울특별시 강남구 삼성동 10-18,서울특별시 강남구 선릉로126길 14 지하1층 (삼성동),젠제로(ZENZERO),카페
20080714,폐업,20200715,서울특별시 중구 순화동 151 순화동 더샵 1층 (114호),서울특별시 중구 칠패로 27 (순화동순화동 더샵 1층 (114호)),(주)커피빈코리아 순화동 라마다호텔점,카페
20200527,영업,0,서울특별시 성동구 성수동2가 321-70번지 태진섬유,서울특별시 성동구 성수이로7가길 13 1층 (성수동2가),헤이보울,카페
20200526,영업,0,서울특별시 강남구 삼성동 108-6번지 JBK TOWER 빌딩,서울특별시 강남구 봉은사로 619 JBK TOWER 빌딩 (삼성동),스타벅스 봉은사역점,카페
20060808,폐업,20200715,서울특별시 중구 순화동 1-94 외24필지(지상1층),,(주)커피빈코리아순화점,카페
20200716,영업,0,서울특별시 관악구 신림동 1419-32,서울특별시 관악구 신림로68길 50 1층 101호 (신림동),리사베이커리,카페
20200716,영업,0,서울특별시 은평구 신사동 190-10 1층,서울특별시 은평구 은평터널로7길 7-26 1층 (신사동),닻,카페
20200716,영업,0,서울특별시 강남구 신사동 635-14 금광아크존1,서울특별시 강남구 압구정로42길 36 지상1층 101호 (신사동 금광아크존1),주주마마,카페
20200716,영업,0,서울특별시 동작구 신대방동 395-66 보라매삼성쉐르빌,서울특별시 동작구 보라매로5길 43 1층 111호 (신대방동 보라매삼성쉐르빌),더 플롯 커피,카페
20200716,영업,0,서울특별시 강남구 대치동 889-56 더 나인 오피스텔,서울특별시 강남구 테헤란로64길 14 더 나인 오피스텔 104호 (대치동),커피중독,카페
20200716,영업,0,서울특별시 서초구 방배동 918-7 1층,서울특별시 서초구 방배중앙로 8 1층 (방배동),업셋 upset,카페
20200716,영업,0,서울특별시 용산구 이태원동 231-36,서울특별시 용산구 회나무로44가길 11 1층 (이태원동),에이치비카페바이오틱스(HB),카페
20200716,영업,0,서울특별시 강남구 청담동 85-4 디자이너클럽,서울특별시 강남구 선릉로 818 디자이너클럽 지상1층 (청담동),청담동 밀도,카페
20200716,영업,0,서울특별시 양천구 신정동 117-22 1층,서울특별시 양천구 신목로 76 1층 (신정동),배스킨라빈스 신정2동점,카페
20200716,폐업,20200818,서울특별시 양천구 신정동 1014-2 1층,서울특별시 양천구 신월로 374 1층 (신정동),페르카루스커피,카페
