시군명,사업장명,인허가일자,영업상태명,폐업일자,다중이용업소여부,총시설규모(㎡),위생업종명,위생업태명,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
광명시,썬피자,20040310,폐업,20050321,N,,,패스트푸드,경기도 광명시 광복로4번안길 26 1층 (철산동),경기도 광명시 철산동 56-145번지 1층,14206,37.4868447,126.8625078
광명시,피자나라치킨공주,20040312,폐업,20050225,N,,,패스트푸드,경기도 광명시 안재로14번길 24 1층 (하안동),경기도 광명시 하안동 599-1번지 1층,14259,37.4606026,126.8738710
광명시,피자나라치킨공주광명하안점,20160321,폐업,20190927,N,,,패스트푸드,"경기도 광명시 안재로6번길 28, 101호 (하안동)",경기도 광명시 하안동 606-4번지 101호,14259,37.4602972551,126.8747080125
광명시,더블크레페,20041008,폐업,20050830,N,,,패스트푸드,"경기도 광명시 철산로 4 ,지하2층50호 (철산동)","경기도 광명시 철산동 261번지 ,지하2층50호",14237,37.4751822,126.8670629
광명시,샌드리아,20090226,폐업,20111205,N,,,패스트푸드,"경기도 광명시 오리로651번길 6 지하1층 (하안동,다카자동차쇼핑몰)",경기도 광명시 하안동 303-1번지 다카자동차쇼핑몰 지하1층,14303,37.4594068,126.8761562
광명시,후르츠밸리,20041101,폐업,20041209,N,,,패스트푸드,경기도 광명시 광명로 809 2층 (광명동),"경기도 광명시 광명동 374-46번지 ,2층",14295,37.4718460,126.8502930
광명시,대게하우스,20021113,폐업,20080910,N,,,패스트푸드,"경기도 광명시 철산로30번길 14 1층 (철산동,덕수프라자)",경기도 광명시 철산동 436번지 덕수빌딩1층,14240,37.4750140,126.8697086
광명시,피자예나르,20051011,폐업,20081021,N,,,패스트푸드,경기도 광명시 광복로 44 1층 (철산동),"경기도 광명시 철산동 56-24번지 ,1층",14209,37.4885671,126.8637597
광명시,기똥찬수제버거,20150106,폐업,20171031,N,,,패스트푸드,"경기도 광명시 광복로 24-1, 1층 (철산동)",경기도 광명시 철산동 56-139번지 1층,14206,37.4872320,126.8624053
광명시,베스키라빈스,19930520,폐업,20070221,N,,,패스트푸드,,경기도 광명시 철산동 434-107번지,14240,37.4743741,126.8695628
광명시,롯데리아 여주휴게상,20091013,폐업,20091126,N,,,패스트푸드,경기도 광명시 사성로34번길 28 지상1층 (광명동),경기도 광명시 광명동 71-20번지 지상1층,14212,37.4836807,126.8612361
광명시,떼르드글라스,20020312,폐업,20040409,N,,,패스트푸드,경기도 광명시 오리로856번길 26 105호 (철산동),경기도 광명시 철산동 398번지 105호,14240,37.4753472,126.8695724
광명시,피자의꿈,20001027,폐업,20060525,N,,,패스트푸드,경기도 광명시 사성로 54-34 1층 (철산동),경기도 광명시 철산동 69-20번지 1층,14208,37.4860166,126.8631538
광명시,개미네치킨,19980430,폐업,20031020,N,,,패스트푸드,"경기도 광명시 사성로103번길 14 상가 107호 (철산동,광복현대아파트)",경기도 광명시 철산동 55-1번지 현대아파트 상가 107호,14224,37.4909849,126.8664803
광명시,피자몰 광명 아울렛점,20050426,폐업,20170103,N,,,패스트푸드,"경기도 광명시 하안로287번길 8 (하안동,,지하1층)","경기도 광명시 하안동 38번지 ,지하1층",14305,37.4611311,126.8793747
광명시,비즈코즈광명역점,20051012,폐업,20100601,N,,,패스트푸드,경기도 광명시 광명역로 21 1층 (일직동),"경기도 광명시 일직동 276-1번지 ,1층",14347,37.4171317,126.8847675
광명시,주)빙그레썬메리 광명한신코아점,19970926,폐업,20060525,N,,,패스트푸드,"경기도 광명시 철망산로 87 지하1층 (철산동,세이브존)",경기도 광명시 철산동 367번지 광명한신코아 지하1층,14243,37.4721292,126.8764513
광명시,피자업그레이드,20000908,폐업,20101202,N,,,패스트푸드,"경기도 광명시 안현로 19 종합상가 104호 (하안동,1단지)",경기도 광명시 하안동 682-1번지 1단지 종합상가 104호,14245,37.4642970,126.8741247
광명시,요거베리2001아울렛광명점,20050426,폐업,20060518,N,,,패스트푸드,"경기도 광명시 하안로287번길 8 ,2001아울렛광명점6층 6001호 (하안동)","경기도 광명시 하안동 38번지 ,2001아울렛광명점6층 6001호",14305,37.4611311,126.8793747
광명시,녹차잎피자,20070904,폐업,20100520,N,,,패스트푸드,경기도 광명시 광명로831번길 31 (광명동),경기도 광명시 광명동 259-28번지,14294,37.4743210,126.8481514
광명시,애플트리,20041025,폐업,20070320,N,,,패스트푸드,경기도 광명시 철산로30번길 24 2층 (철산동),"경기도 광명시 철산동 434번지 ,2층",14240,37.4743741,126.8695628
광명시,주)해마로파파이스하안,20020319,폐업,20030320,N,,,패스트푸드,,경기도 광명시 철산동 367번지 1층,14243,37.4721292,126.8764513
광명시,멜랑제광명지점,20141201,폐업,20180131,N,,,패스트푸드,"경기도 광명시 일직로 17, 3층 (일직동, 롯데프리미엄아울렛)",경기도 광명시 일직동 500번지 롯데프리미엄아울렛 3층 ,14352,37.4240770,126.8834009
광명시,롯데리아하안점,19991218,폐업,20070730,N,,,패스트푸드,"경기도 광명시 하안로 310 ,다래빌딩108,109,205,206호 (하안동)","경기도 광명시 하안동 33-1번지 ,다래빌딩108,109,205,206호",14247,37.4631854,126.8794052
광명시,피자팝,20070423,폐업,20090115,N,,,패스트푸드,"경기도 광명시 범안로 1050 1층 1호 (하안동,성보빌딩)","경기도 광명시 하안동 36-4번지 ,성보빌딩1층1호",14305,37.4620684,126.8796783
광명시,공스한스,20010913,폐업,20110721,N,,,패스트푸드,경기도 광명시 오리로 948-1 2층 (광명동),경기도 광명시 광명동 149-10번지 2층,14221,37.4785409,126.8578202
광명시,리틀캘리포니아,20050901,폐업,20060104,N,,,패스트푸드,,"경기도 광명시 철산동 367번지 ,지하1층",14243,37.4721292,126.8764513
광명시,레드망고,20050520,폐업,20061114,N,,,패스트푸드,"경기도 광명시 범안로 1059 101호 (하안동,유창빌딩)","경기도 광명시 하안동 33-5번지 ,유창빌딩,101호",14247,37.4630148,126.8800158
광명시,피자펍,20081030,폐업,20111007,N,,,패스트푸드,경기도 광명시 덕단이로9번길 42 103호 (광명동),경기도 광명시 광명동 728번지 103호,14279,37.4682098,126.8532621
광명시,롯데리아광명철산역점,20130516,폐업,20180410,N,,,패스트푸드,"경기도 광명시 오리로 870, 1층 (철산동)",경기도 광명시 철산동 259번지 1층,14235,37.4759917,126.8659310
광명시,오엠비,20050406,폐업,20051110,N,,,패스트푸드,"경기도 광명시 철산로30번길 24 1층 (철산동,서울종합빌딩)","경기도 광명시 철산동 434번지 ,서울종합빌딩1층",14240,37.4743741,126.8695628
광명시,롯데리아 광명소하점,20101231,폐업,20170626,N,,,패스트푸드,"경기도 광명시 소하로 82 (소하동,한빛프라자 106호 107호)",경기도 광명시 소하동 1341-1번지 한빛프라자 106호 107호,14316,37.4476292,126.8833522
광명시,올리브,20040915,폐업,20080814,N,,,패스트푸드,"경기도 광명시 오리로 970 6030호 (광명동,크로앙스)",경기도 광명시 광명동 150-19번지 크로앙스 6030호,14220,37.4793760,126.8555688
광주시,한올림명품임실피자(오포점),20110218,영업,,N,,,패스트푸드,경기도 광주시 오포읍 양벌로 200,경기도 광주시 오포읍 양벌리 308-1번지,12796,37.3789548,127.2543685
광주시,롯데리아 오포점,20141015,영업,,N,,,패스트푸드,"경기도 광주시 오포읍 양벌로 207, 1층",경기도 광주시 오포읍 양벌리 375-1번지 ,12797,37.3782520772,127.2543662522
광주시,피자헛 경기광주본점,20080415,영업,,N,,,패스트푸드,"경기도 광주시 광주대로97번길 4, 1층 (송정동)",경기도 광주시 송정동 507-11번지 1층 ,12743,37.4153622,127.2596412
광주시,맘스터치 광주신현점,20170718,영업,,N,,,패스트푸드,"경기도 광주시 오포읍 신현로 84, 1동 1층",경기도 광주시 오포읍 신현리 672-9번지 1동 1층,12771,37.3599494,127.1561018
광주시,뉴욕버거,20091222,영업,,N,,,패스트푸드,"경기도 광주시 광주대로 30 (경안동,광주터미널 116,117,118호)","경기도 광주시 경안동 25-3번지 광주터미널 116,117,118호 ",12757,37.4095022398,127.2612251693
광주시,토스트.com,20100318,영업,,N,,,패스트푸드,"경기도 광주시 초월읍 산수로 206, 1층",경기도 광주시 초월읍 선동리 296-11번지 1층,12732,37.3796708,127.3166954
광주시,GS25편의점,20091027,영업,,N,,,패스트푸드,경기도 광주시 이배재로 165 (목현동),경기도 광주시 목현동 8-5번지,12765,37.4293373,127.2377028
광주시,피자스쿨(광주양촌사거리점),20100518,영업,,N,,,패스트푸드,"경기도 광주시 오포읍 양촌길 116-4, 102호",경기도 광주시 오포읍 양벌리 646-2번지 102호,12798,37.3703122,127.2466969
광주시,현진슈퍼,20090428,영업,,N,,,패스트푸드,경기도 광주시 초월읍 도곡길22번길 14,경기도 광주시 초월읍 쌍동리 127-1번지,12736,37.3698183,127.3010302
광주시,미니스톱,20091030,영업,,N,,,패스트푸드,"경기도 광주시 경안천로 150 (송정동,,6-4)","경기도 광주시 송정동 6-1번지 ,6-4",12740,37.4177500,127.2756450
광주시,도미노피자(오포점),20091201,영업,,N,,,패스트푸드,"경기도 광주시 오포읍 오포로 116 (,152-18)","경기도 광주시 오포읍 능평리 152-5번지 ,152-18",12773,37.3436182,127.1789891
광주시,피자비토랩 태전점,20200212,영업,,N,,,패스트푸드,"경기도 광주시 고불로 144, 1층 (태전동)",경기도 광주시 태전동 388-1번지 ,12781,37.3941468207,127.2222008279
광주시,킹스타피자 신현점,20160323,영업,,N,,,패스트푸드,"경기도 광주시 오포읍 신현로 66, 1층 103호",경기도 광주시 오포읍 신현리 696-6번지 1층 103호,12771,37.3605377,127.1540712
광주시,던킨 광주신현점,20200501,영업,,N,,,패스트푸드,"경기도 광주시 오포읍 신현로 74, 삼승빌딩 1층","경기도 광주시 오포읍 신현리 699-3번지 삼승빌딩, 1층 ",12771,37.3602850371,127.1549362452
광주시,빅스타피자 경기광주태전점,20190328,영업,,N,,,패스트푸드,"경기도 광주시 고불로78번길 17, A동 1층 101호 (태전동, 뤼미에르빌리지)",경기도 광주시 태전동 283-4번지 뤼미에르빌리지 A동 1층 101호 일부 ,12781,37.3935859,127.2281956
광주시,국대 후라이드 치킨,20200401,영업,,N,,,패스트푸드,"경기도 광주시 오포읍 양촌안길 14, 1층",경기도 광주시 오포읍 양벌리 541번지 ,12797,37.3727846902,127.2492563696
광주시,롯데리아 경기광주역점,20200429,영업,,N,,,패스트푸드,"경기도 광주시 역동로 59, 1층 (역동)",경기도 광주시 역동 67-11번지 ,12778,37.4032449608,127.2563728120
광주시,롯데리아곤지암점,20060412,영업,,N,,,패스트푸드,경기도 광주시 곤지암읍 곤지암로 54,경기도 광주시 곤지암읍 437-1번지 ,12804,37.3497355,127.3409715
광주시,롯데리아(태전점),20140417,영업,,N,,,패스트푸드,"경기도 광주시 고불로 43-1, 1층 (장지동)","경기도 광주시 장지동 686-2번지 외 4필지, 1층",12780,37.3930902,127.2329258
광주시,던킨도너츠(곤지암점),20090709,영업,,N,,,패스트푸드,경기도 광주시 곤지암읍 평촌길 36,경기도 광주시 곤지암읍 삼리 134-9번지 ,12800,37.3564234390,127.3257208802
광주시,자연,20111101,영업,,N,,,패스트푸드,경기도 광주시 도척면 도척윗로 278 (곤지암리조트 스키장지구),경기도 광주시 도척면 534번지 곤지암리조트 스키장지구 ,12809,37.3365386771,127.3031103468
광주시,피자스쿨(광주1호점),20061219,영업,,N,,,패스트푸드,경기도 광주시 오포읍 마루들길 208,경기도 광주시 오포읍 양벌리 1003-12번지,12797,37.3782243,127.2547048
광주시,미미고 찹쌀꽈배기(광주오포점),20100316,영업,,N,,,패스트푸드,경기도 광주시 오포읍 마루들길 228 (101호),경기도 광주시 오포읍 양벌리 367-5번지 101호 ,12797,37.3774541537,127.2567232708
광주시,도미노피자(경기광주점),20051006,영업,,N,,,패스트푸드,경기도 광주시 역동로 47 (역동),경기도 광주시 역동 58-5번지 ,12759,37.4039443618,127.2564511797
광주시,피자스쿨 탄벌점,20090824,영업,,N,,,패스트푸드,"경기도 광주시 벌원길 65 (탄벌동,외2필지)",경기도 광주시 탄벌동 42번지 외2필지,12750,37.4158914,127.2480306
광주시,반올림피자샵오포점,20180622,영업,,N,,,패스트푸드,"경기도 광주시 오포읍 양벌로 329, 1동 1층",경기도 광주시 오포읍 양벌리 650-1번지 1동 1층,12798,37.3698713,127.2463906
광주시,봉구스밥버거(초월점),20150204,영업,,N,,,패스트푸드,경기도 광주시 초월읍 무들로47번길 61,경기도 광주시 초월읍 대쌍령리 339-5번지,12735,37.3895925,127.2875805
광주시,피자알볼로태전점,20180517,영업,,N,,,패스트푸드,"경기도 광주시 순암로 26, 수현빌딩 1층 (장지동)",경기도 광주시 장지동 62-10번지 수현빌딩 1층 ,12777,37.3947568,127.2465614
광주시,롯데리아,20000622,영업,,N,,,패스트푸드,경기도 광주시 중앙로 152 (경안동),경기도 광주시 경안동 74-17번지 ,12756,37.4130338,127.2572273
광주시,한올림명풍임실피자,20101209,영업,,N,,,패스트푸드,"경기도 광주시 태봉로 51 (태전동,외12필지 롯데슈퍼 지하1)",경기도 광주시 태전동 628번지 외12필지 롯데슈퍼 지하1 ,12784,37.3886183882,127.2297616745
