X谅钎,Y谅钎,磊摹备,锅掳,1牢 啊备 痢荐,2牢 啊备 痢荐,4牢 啊备 痢荐
127.004566699284,37.6850798098906,碍合备,3142,0.0,0.0,0
127.00552944076999,37.6848652420635,碍合备,3142,0.0,0.0,0
127.00605076718,37.6850538593537,碍合备,3142,0.0,0.0,0
127.006510965285,37.6848711149993,碍合备,3142,0.0,0.0,0
127.007067167257,37.684764667547896,碍合备,3142,0.0,0.0,0
127.007662157995,37.6844681557594,碍合备,3216,0.0,0.0,0
127.00852517163,37.6844520613946,碍合备,3216,0.0,0.0,0
127.008663514527,37.6844495213729,碍合备,3216,0.0,0.0,0
127.008643094233,37.6839469522948,碍合备,3216,0.0,0.0,0
127.00862998337799,37.6838883900052,碍合备,3216,0.0,0.0,0
127.008622180193,37.6838515047439,碍合备,3216,0.0,0.0,0
127.008419479217,37.683235198873604,碍合备,3216,0.0,0.0,0
127.008419297335,37.6832298471191,碍合备,3216,0.0,0.0,0
127.008418774573,37.6832160532901,碍合备,3216,0.0,0.0,0
127.008545904112,37.6827416216928,碍合备,3216,0.0,0.0,0
127.008699963715,37.68222777982479,碍合备,3216,0.0,0.0,0
127.008824824884,37.6820090074538,碍合备,3216,0.0,0.0,0
127.00903469331,37.681640722463,碍合备,3216,0.0,0.0,0
127.00889995878,37.6805944785112,碍合备,3215,0.0,0.0,0
127.00938342233,37.6795909907655,碍合备,3215,0.0,0.0,0
127.00941654431,37.6795718429167,碍合备,3215,0.0,0.0,0
127.011282698226,37.679214414128786,碍合备,3215,0.0,0.0,0
127.011423680786,37.6791882111456,碍合备,3215,0.0,0.0,0
127.012133052924,37.679097773042,碍合备,3215,0.0,0.0,0
127.01238805533501,37.678703016307004,碍合备,3215,0.0,0.0,0
127.012781230563,37.6783997485332,碍合备,3215,0.0,0.0,0
127.01328134476002,37.6778796680776,碍合备,3290,0.0,0.0,0
127.013310730595,37.67782954410529,碍合备,3290,0.0,0.0,0
127.013476243414,37.6771856121595,碍合备,3290,0.0,0.0,0
127.01375387073999,37.676591510086396,碍合备,3290,0.0,0.0,0
127.01379812771799,37.67647044193429,碍合备,3289,0.0,0.0,0
127.01383989719601,37.6762513843475,碍合备,3289,0.0,0.0,0
127.013852106733,37.676189720572,碍合备,3289,0.0,0.0,0
127.013980997423,37.67588309735621,碍合备,3289,0.0,0.0,0
127.013974788477,37.6758326976545,碍合备,3289,0.0,0.0,0
127.013868659066,37.6755886085406,碍合备,3289,0.0,0.0,0
127.013862455908,37.6755725538732,碍合备,3289,0.0,0.0,0
127.01390614415001,37.6752397573494,碍合备,3289,0.0,0.0,0
127.01436267300899,37.67481681037521,碍合备,3289,0.0,0.0,0
127.01440199240999,37.674799912865794,碍合备,3289,0.0,0.0,0
127.01457290408199,37.6747846946839,碍合备,3289,0.0,0.0,0
127.014845224067,37.6743392417486,碍合备,3289,0.0,0.0,0
127.01511706689101,37.674154232178395,碍合备,3289,0.0,0.0,0
127.01559418942101,37.6740905495814,碍合备,3289,0.0,0.0,0
127.016111684086,37.6738950839028,碍合备,3289,0.0,0.0,0
127.01614887600701,37.6739007103718,碍合备,3289,0.0,0.0,0
127.016221325598,37.673932514686996,碍合备,3289,0.0,0.0,0
127.016657531327,37.6729478682261,碍合备,3289,0.0,0.0,0
127.016685679202,37.6729064739501,碍合备,3289,0.0,0.0,0
127.016957851486,37.6726628968581,碍合备,3289,0.0,0.0,0
127.017007786563,37.6726291038555,碍合备,3289,0.0,0.0,0
127.017116354042,37.6726324681981,碍合备,3289,0.0,0.0,0
127.01712644847099,37.67260825774,碍合备,3289,0.0,0.0,0
127.017179016247,37.6724812677502,碍合备,3289,0.0,0.0,0
127.01729874073601,37.672448023941996,碍合备,3289,0.0,0.0,0
127.017326352995,37.6723956557395,碍合备,3288,0.0,0.0,0
127.017397329754,37.672169276929395,碍合备,3288,0.0,0.0,0
127.01739218746799,37.6721337973332,碍合备,3288,0.0,0.0,0
127.017392535914,37.6721200034007,碍合备,3288,0.0,0.0,0
127.01731316015,37.6719727591424,碍合备,3288,0.0,0.0,0
127.01730943687001,37.671947135988496,碍合备,3288,0.0,0.0,0
127.01730394361799,37.671913350261995,碍合备,3288,0.0,0.0,0
127.017365332803,37.6716436179455,碍合备,3288,0.0,0.0,0
127.017379495813,37.6716174337857,碍合备,3288,0.0,0.0,0
127.017558172695,37.6714847955073,碍合备,3288,0.0,0.0,0
127.017592699147,37.6714346697149,碍合备,3288,0.0,0.0,0
127.01764525513,37.6712606667533,碍合备,3288,0.0,0.0,0
