X좌표,Y좌표,자치구,번째,1인 가구 점수,2인 가구 점수,4인 가구 점수
127.0131716488,37.52259182651721,서초구,3177,0.0,0.0,0
127.01317710071699,37.5225879607094,서초구,3177,0.0,0.0,0
127.013187736967,37.522605348868,서초구,3177,0.0,0.0,0
127.013236363759,37.5227199236227,서초구,3252,15.0,15.0,8
127.013297532166,37.5228097377555,서초구,3252,15.0,15.0,8
127.01333887560499,37.522862036399204,서초구,3252,15.0,15.0,8
127.013379506285,37.5229134431141,서초구,3252,15.0,15.0,8
127.013425882392,37.5229567042387,서초구,3252,15.0,15.0,8
127.013453701094,37.5229671980252,서초구,3252,15.0,15.0,8
127.013473612005,37.5229747193216,서초구,3252,15.0,15.0,8
127.01352186493999,37.5230110335448,서초구,3252,15.0,15.0,8
127.01354923342899,37.52303551981021,서초구,3252,15.0,15.0,8
127.013572302622,37.5230561502485,서초구,3252,15.0,15.0,8
127.0136328898,37.5231151952755,서초구,3252,15.0,15.0,8
127.01373597317,37.5232162222585,서초구,3252,15.0,15.0,8
127.0138006564,37.5232796095709,서초구,3252,15.0,15.0,8
127.013859875524,37.523340988199,서초구,3252,15.0,15.0,8
127.01396913978998,37.52346430494861,서초구,3252,15.0,15.0,8
127.01405816201901,37.5235609723094,서초구,3252,15.0,15.0,8
127.01407807551399,37.5235826030866,서초구,3252,15.0,15.0,8
127.014113399532,37.52362195479221,서초구,3252,15.0,15.0,8
127.014146414101,37.523650936280106,서초구,3252,15.0,15.0,8
127.014161835239,37.523664467577,서초구,3252,15.0,15.0,8
127.014167673388,37.523669972031996,서초구,3252,15.0,15.0,8
127.01418304944599,37.5236844583857,서초구,3252,15.0,15.0,8
127.014187201789,37.5236884583588,서초구,3252,15.0,15.0,8
127.014192417673,37.523693467332,서초구,3252,15.0,15.0,8
127.014230253657,37.523735701916706,서초구,3252,15.0,15.0,8
127.01426331573,37.5237773693772,서초구,3252,15.0,15.0,8
127.01426959548999,37.523785279436396,서초구,3252,15.0,15.0,8
127.014286115226,37.52380608162861,서초구,3252,15.0,15.0,8
127.014308224536,37.523833956024795,서초구,3252,15.0,15.0,8
127.014314232753,37.52384155076261,서초구,3252,15.0,15.0,8
127.014338276952,37.5238719657495,서초구,3252,15.0,15.0,8
127.014347589113,37.5238836236148,서초구,3252,15.0,15.0,8
127.014366383168,37.5239071555634,서초구,3252,15.0,15.0,8
127.014375446348,37.52391813770721,서초구,3252,15.0,15.0,8
127.01438264258199,37.523926858555996,서초구,3252,15.0,15.0,8
127.014395733832,37.5239426245432,서초구,3252,15.0,15.0,8
127.014404389625,37.52395275979379,서초구,3252,15.0,15.0,8
127.01441897445801,37.5239704177051,서초구,3252,15.0,15.0,8
127.01442508447599,37.5239778142071,서초구,3252,15.0,15.0,8
127.014439578785,37.52399527390671,서초구,3252,15.0,15.0,8
127.014480232991,37.5240439772453,서초구,3252,15.0,15.0,8
127.014522493969,37.52409465357179,서초구,3252,15.0,15.0,8
127.01454016752899,37.52411436539629,서초구,3252,15.0,15.0,8
127.014569166983,37.5241458970221,서초구,3252,15.0,15.0,8
127.014619901993,37.5242013566598,서초구,3252,15.0,15.0,8
127.014695744387,37.5242841226358,서초구,3252,15.0,15.0,8
127.014781317884,37.5243790058526,서초구,3252,15.0,15.0,8
127.01488915904301,37.5244980962224,서초구,3252,15.0,15.0,8
127.014933003911,37.5245465197312,서초구,3252,15.0,15.0,8
127.014940335905,37.5245545918133,서초구,3252,15.0,15.0,8
127.014954219177,37.5245698801196,서초구,3252,15.0,15.0,8
127.014960170723,37.5245761773973,서초구,3252,15.0,15.0,8
127.01497578504801,37.52459269085721,서초구,3252,15.0,15.0,8
127.01503801603,37.524657996875604,서초구,3252,15.0,15.0,8
127.015137913834,37.5247621674452,서초구,3252,15.0,15.0,8
127.015224471076,37.524848526807496,서초구,3253,13.0,13.0,5
127.015231653725,37.5248438047603,서초구,3253,13.0,13.0,5
127.015251401721,37.5248228723532,서초구,3253,13.0,13.0,5
127.01531660621201,37.5247536953713,서초구,3252,15.0,15.0,8
127.015380758651,37.524685275311896,서초구,3252,15.0,15.0,8
127.01545552008,37.5246055825182,서초구,3252,15.0,15.0,8
127.01550460691601,37.5245532198973,서초구,3252,15.0,15.0,8
127.0155399969,37.524515473021104,서초구,3252,15.0,15.0,8
127.01557168839099,37.524481736002,서초구,3252,15.0,15.0,8
127.01560360606199,37.5244477646884,서초구,3252,15.0,15.0,8
127.015636304115,37.5244129733673,서초구,3252,15.0,15.0,8
127.01566281542499,37.5243848141014,서초구,3252,15.0,15.0,8
127.015674114354,37.5243725952553,서초구,3252,15.0,15.0,8
127.01568260834101,37.524363413097795,서초구,3252,15.0,15.0,8
