X좌표,Y좌표,자치구,번째,1인 가구 점수,2인 가구 점수,4인 가구 점수
126.969183437895,37.5556625709626,용산구,2660,196.0,197.5,112
126.969171408,37.554876174395396,용산구,2660,196.0,197.5,112
126.97240793329,37.554877295953396,용산구,2735,335.0,336.0,181
126.972411733025,37.554651770007204,용산구,2735,335.0,336.0,181
126.972946934907,37.5543452846946,용산구,2735,335.0,336.0,181
126.972979136989,37.5543024954392,용산구,2735,335.0,336.0,181
126.973090195363,37.5542622569685,용산구,2735,335.0,336.0,181
126.973104355256,37.5542563408699,용산구,2735,335.0,336.0,181
126.973338702531,37.554123221637894,용산구,2735,335.0,336.0,181
126.973353553776,37.554114494584105,용산구,2735,335.0,336.0,181
126.974350371951,37.5535482393995,용산구,2735,335.0,336.0,181
126.97583153343399,37.5533883567559,용산구,2734,353.0,354.0,182
126.97642823992099,37.5530886263866,용산구,2734,353.0,354.0,182
126.976431225298,37.5531629587425,용산구,2734,353.0,354.0,182
126.97643421323,37.5532296867376,용산구,2734,353.0,354.0,182
126.97645550808998,37.553510692184894,용산구,2735,335.0,336.0,181
126.976455505828,37.5535174496132,용산구,2735,335.0,336.0,181
126.976499526403,37.554066216199296,용산구,2735,335.0,336.0,181
126.97650249975099,37.5541768674616,용산구,2735,335.0,336.0,181
126.976503024687,37.554197707480796,용산구,2735,335.0,336.0,181
126.976504250341,37.554221358738396,용산구,2735,335.0,336.0,181
126.976523028877,37.5546512972964,용산구,2735,335.0,336.0,181
126.976547601261,37.5552192146928,용산구,2735,335.0,336.0,181
126.97678139165701,37.5551522482466,용산구,2735,335.0,336.0,181
126.97679235913799,37.5551488718302,용산구,2735,335.0,336.0,181
126.976826664907,37.5551387428684,용산구,2735,335.0,336.0,181
126.97683728145901,37.5551356456815,용산구,2735,335.0,336.0,181
126.97684452520399,37.5551334037296,용산구,2735,335.0,336.0,181
126.97725782359699,37.555011008750796,용산구,2735,335.0,336.0,181
126.977262600266,37.5550084779494,용산구,2735,335.0,336.0,181
126.977706023563,37.554672660998,용산구,2735,335.0,336.0,181
126.97775094064501,37.55463888291,용산구,2735,335.0,336.0,181
126.977825231574,37.5545862439645,용산구,2810,73.0,73.0,40
126.977857061256,37.5545673926189,용산구,2810,73.0,73.0,40
126.978099894338,37.5544168044502,용산구,2810,73.0,73.0,40
126.978104671031,37.5544139852976,용산구,2810,73.0,73.0,40
126.978155607321,37.5543838752783,용산구,2810,73.0,73.0,40
126.97820176496,37.5543627651872,용산구,2810,73.0,73.0,40
126.97866106587,37.554149428383106,용산구,2810,73.0,73.0,40
126.97879511254,37.5540872318563,용산구,2810,73.0,73.0,40
126.978798656225,37.554082448279,용산구,2810,73.0,73.0,40
126.978796894187,37.5540711855597,용산구,2810,73.0,73.0,40
126.97871597991801,37.5538028459982,용산구,2810,73.0,73.0,40
126.97871280216002,37.553795241025,용산구,2810,73.0,73.0,40
126.97873172293801,37.55320453727849,용산구,2809,38.0,38.5,26
126.97889545351299,37.5532498975949,용산구,2809,38.0,38.5,26
126.97919339479999,37.5532845793665,용산구,2809,38.0,38.5,26
126.97965083605699,37.5533226777557,용산구,2809,38.0,38.5,26
126.979670991247,37.5533235284176,용산구,2809,38.0,38.5,26
126.979848880712,37.5533277868416,용산구,2809,38.0,38.5,26
126.979891850415,37.5533300471955,용산구,2809,38.0,38.5,26
126.980351752868,37.5533912266974,용산구,2809,38.0,38.5,26
126.980490535979,37.5534993703557,용산구,2809,38.0,38.5,26
126.980497607649,37.553504435181395,용산구,2810,73.0,73.0,40
126.98068694009899,37.553667493955295,용산구,2810,73.0,73.0,40
126.980691013192,37.5536711526952,용산구,2810,73.0,73.0,40
126.98077515006099,37.5537702764581,용산구,2810,73.0,73.0,40
126.98082942030099,37.5538330760049,용산구,2810,73.0,73.0,40
126.98084532523501,37.5538575767211,용산구,2810,73.0,73.0,40
126.980890069712,37.5538682883128,용산구,2810,73.0,73.0,40
126.980942054364,37.5538477367804,용산구,2810,73.0,73.0,40
126.980981497743,37.5538345080971,용산구,2810,73.0,73.0,40
126.981099266273,37.55382045504951,용산구,2810,73.0,73.0,40
126.98116840433201,37.553811177773,용산구,2810,73.0,73.0,40
126.981187156899,37.55381005476521,용산구,2810,73.0,73.0,40
126.98171904264099,37.5538594113045,용산구,2810,73.0,73.0,40
126.982020012636,37.5537944278936,용산구,2810,73.0,73.0,40
126.982197594903,37.5536345312721,용산구,2810,73.0,73.0,40
126.982484270827,37.5534783100361,용산구,2809,38.0,38.5,26
126.983043772637,37.5533730911245,용산구,2809,38.0,38.5,26
126.98308321130101,37.553376485012606,용산구,2809,38.0,38.5,26
126.98315305780399,37.553382965008396,용산구,2809,38.0,38.5,26
126.98330937348601,37.5533573650455,용산구,2809,38.0,38.5,26
126.98338348628,37.5532712237345,용산구,2809,38.0,38.5,26
126.983682538748,37.5531161277174,용산구,2809,38.0,38.5,26
126.984027540863,37.5530390365099,용산구,2884,0.0,0.0,0
126.98403401388201,37.553040046578005,용산구,2884,0.0,0.0,0
126.98460309695801,37.5531292194181,용산구,2884,0.0,0.0,0
126.984623431699,37.5531368176798,용산구,2884,0.0,0.0,0
126.985022283567,37.553448283437206,용산구,2884,0.0,0.0,0
126.985398869128,37.5536969547668,용산구,2885,41.5,43.0,32
126.985411418445,37.5537025876698,용산구,2885,41.5,43.0,32
126.98541795905399,37.5537053996521,용산구,2885,41.5,43.0,32
126.985785275764,37.5535367927511,용산구,2885,41.5,43.0,32
126.98581816613998,37.5535210297947,용산구,2885,41.5,43.0,32
126.98610783798901,37.5533408698468,용산구,2884,0.0,0.0,0
126.98644001819099,37.5528625497993,용산구,2884,0.0,0.0,0
126.986595681101,37.5525807216803,용산구,2884,0.0,0.0,0
126.987051951371,37.5522924704484,용산구,2884,0.0,0.0,0
126.987076185294,37.55226797547729,용산구,2884,0.0,0.0,0
126.987175592745,37.552085536970786,용산구,2884,0.0,0.0,0
126.987400561971,37.5518251236915,용산구,2884,0.0,0.0,0
126.987406743382,37.5518118888758,용산구,2884,0.0,0.0,0
126.987420393447,37.5516803999096,용산구,2884,0.0,0.0,0
126.987423925998,37.5516711111161,용산구,2884,0.0,0.0,0
126.987541367071,37.5515072528649,용산구,2884,0.0,0.0,0
126.987564184004,37.5514934613937,용산구,2884,0.0,0.0,0
126.98770052316601,37.5514526535313,용산구,2884,0.0,0.0,0
126.98771908281799,37.5514506825316,용산구,2884,0.0,0.0,0
126.988009243761,37.5515005498857,용산구,2884,0.0,0.0,0
126.988033290924,37.5515044989741,용산구,2884,0.0,0.0,0
