X좌표,Y좌표,자치구,번째,1인 가구 점수,2인 가구 점수,4인 가구 점수
127.071079464216,37.6073217186448,동대문구,3948,10.0,11.5,17
127.071173006091,37.6066864710606,동대문구,3947,22.0,23.0,13
127.071217524235,37.6064189701877,동대문구,3947,22.0,23.0,13
127.071226834298,37.606347165414206,동대문구,3947,22.0,23.0,13
127.07123264013201,37.6063066177836,동대문구,3947,22.0,23.0,13
127.071323560821,37.6058867603573,동대문구,3947,22.0,23.0,13
127.07137972704399,37.605396817967296,동대문구,3947,22.0,23.0,13
127.07147017788401,37.6050577697581,동대문구,3947,22.0,23.0,13
127.071531890426,37.6046390556179,동대문구,3947,22.0,23.0,13
127.07191240760099,37.6037817696109,동대문구,3947,22.0,23.0,13
127.07226129865299,37.6031641085687,동대문구,4022,147.0,147.5,82
127.072410190863,37.60287570475271,동대문구,4022,147.0,147.5,82
127.072434148083,37.6027627882078,동대문구,4022,147.0,147.5,82
127.072450544431,37.602701682711604,동대문구,4022,147.0,147.5,82
127.072459363645,37.6026752065364,동대문구,4021,145.0,145.0,81
127.072482828326,37.6026042400342,동대문구,4021,145.0,145.0,81
127.07264528330799,37.6020641201511,동대문구,4021,145.0,145.0,81
127.07275588030001,37.6017000022896,동대문구,4021,145.0,145.0,81
127.072759581489,37.6016861969968,동대문구,4021,145.0,145.0,81
127.072793417752,37.6015431455224,동대문구,4021,145.0,145.0,81
127.072794828981,37.6015386397553,동대문구,4021,145.0,145.0,81
127.07283612093,37.6014240277961,동대문구,4021,145.0,145.0,81
127.07287160096001,37.601330529366,동대문구,4021,145.0,145.0,81
127.072875419494,37.6010720530441,동대문구,4021,145.0,145.0,81
127.072804959867,37.600845723621795,동대문구,4021,145.0,145.0,81
127.07280212185199,37.6008384003433,동대문구,4021,145.0,145.0,81
127.072738375116,37.6007161303681,동대문구,4021,145.0,145.0,81
127.07249191011101,37.6002433797983,동대문구,4021,145.0,145.0,81
127.072482876048,37.600234096093395,동대문구,4021,145.0,145.0,81
127.07200423118401,37.599632688267796,동대문구,3946,49.0,49.0,39
127.07189175721001,37.5995074646424,동대문구,3946,49.0,49.0,39
127.07150919168501,37.5990980239973,동대문구,3946,49.0,49.0,39
127.07116708271099,37.5988141372863,동대문구,3946,49.0,49.0,39
127.071153280877,37.598804009366,동대문구,3946,49.0,49.0,39
127.070791636047,37.5986245930963,동대문구,3946,49.0,49.0,39
127.070340672506,37.598200682885,동대문구,3945,24.0,24.0,21
127.069838555152,37.597728669994105,동대문구,3945,24.0,24.0,21
127.069585446332,37.5974272660181,동대문구,3945,24.0,24.0,21
127.069580129159,37.597420232402,동대문구,3945,24.0,24.0,21
127.069489730899,37.597243745756,동대문구,3945,24.0,24.0,21
127.06944887345101,37.5954975455527,동대문구,3945,24.0,24.0,21
127.06942359176901,37.595326661465,동대문구,3945,24.0,24.0,21
127.06942949747601,37.5952089625321,동대문구,3945,24.0,24.0,21
127.069434546571,37.5951205550788,동대문구,3945,24.0,24.0,21
127.070268701469,37.5933414664642,동대문구,3944,37.0,37.0,25
