기간,자치구,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소
2011,합계,98,"65,532","1,328,231.0",27,"12,026","139,338.0",35,"20,091","347,368.0",128,"37,188","585,719.0",88,"4,982","47,890.0",169,"7,360","45,266.0",70,"78,602","1,050,997.0",6,"66,585","184,200.0",6,"1,586","19,556.0","240,204"
2011,도시안전실,25,"49,606","1,094,440.0",1,260,"3,089.0",12,"11,943","195,140.0",2,"2,690","32,138.0",-,-,-,-,-,-,17,"43,012","729,656.0",6,"66,585","184,200.0",-,-,-,"36,116"
2011,동부도로교통사업소,1,71,"1,306.0",2,264,"19,239.0",-,-,-,9,"3,193","58,939.0",-,-,-,-,-,-,1,394,"15,760.0",-,-,-,-,-,-,"3,620"
2011,서부도로교통사업소,16,"4,489","64,120.0",2,458,"6,693.0",1,555,"9,990.0",14,"4,352","63,582.0",-,-,-,-,-,-,7,"2,131","25,986.0",-,-,-,-,-,-,"13,304"
2011,남부도로교통사업소,17,"2,950","50,641.0",1,"3,422","24,710.0",6,"1,759","35,409.0",12,"4,332","72,198.0",-,-,-,-,-,-,7,"2,168","31,878.0",-,-,-,-,-,-,"7,168"
2011,북부도로교통사업소,10,"1,285","18,690.0",4,"2,725","20,600.0",8,"3,241","64,295.0",12,"3,625","62,155.0",-,-,-,-,-,-,12,"7,546","67,794.0",-,-,-,4,"1,036","11,306.0","6,535"
2011,성동도로교통사업소,8,"1,493","24,359.0",8,"1,253","9,501.0",3,740,"14,992.0",14,"4,166","55,451.0",-,-,-,-,-,-,-,-,-,-,-,-,2,550,"8,250.0","4,076"
2011,강서도로교통사업소,8,"2,341","39,481.0",9,"3,644","55,506.0",1,442,"8,570.0",27,"8,366","156,681.0",-,-,-,-,-,-,4,537,"10,634.0",-,-,-,-,-,-,"7,166"
2011,종로구,-,-,-,-,-,-,-,-,-,1,209,"1,762.0",4,320,"3,791.0",3,161,968,1,160,775,-,-,-,-,-,-,"5,933"
2011,중구,-,-,-,-,-,-,-,-,-,1,109,858,14,978,"9,364.0",3,85,547,-,-,-,-,-,-,-,-,-,"6,868"
2011,용산구,1,256,"4,095.0",-,-,-,-,-,-,5,"1,082","29,584.0",4,117,780,18,674,"3,866.0",-,-,-,-,-,-,-,-,-,"6,658"
2011,성동구,-,-,-,-,-,-,-,-,-,2,90,"1,007.0",6,155,"1,810.0",3,73,439,-,-,-,-,-,-,-,-,-,"5,193"
2011,광진구,1,51,439,-,-,-,-,-,-,1,72,504,3,238,"1,467.0",1,49,197,-,-,-,-,-,-,-,-,-,"4,947"
2011,동대문구,4,"2,219","22,653.0",-,-,-,-,-,-,7,"1,691","14,222.0",2,87,609,12,414,"2,775.0",2,"1,171","3,606.0",-,-,-,-,-,-,"7,151"
2011,중랑구,-,-,-,-,-,-,-,-,-,1,300,"3,088.0",2,154,393,6,153,997,-,-,-,-,-,-,-,-,-,"5,130"
2011,성북구,-,-,-,-,-,-,-,-,-,5,401,"6,840.0",3,94,"1,302.0",5,331,"1,480.0",2,"1,490","20,460.0",-,-,-,-,-,-,"4,967"
2011,강북구,-,-,-,-,-,-,1,815,"12,225.0",-,-,-,-,-,-,3,68,698,5,"4,583","39,200.0",-,-,-,-,-,-,"4,330"
2011,도봉구,-,-,-,-,-,-,-,-,-,1,315,"3,014.0",-,-,-,1,30,202,1,870,"5,505.0",-,-,-,-,-,-,"4,629"
2011,노원구,1,122,"2,318.0",-,-,-,-,-,-,3,334,"4,766.0",6,206,"3,795.0",7,638,"3,314.0",3,"2,264","11,712.0",-,-,-,-,-,-,"8,648"
2011,은평구,-,-,-,-,-,-,1,340,"3,400.0",-,-,-,-,-,-,1,22,194,-,-,-,-,-,-,-,-,-,"7,388"
