기간,자치구,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소
2011,서대문구,2,141,"1,569.0",-,-,-,-,-,-,-,-,-,3,102,"1,134.0",10,334,"2,100.0",2,"1,722","15,417.0",-,-,-,-,-,-,"5,002"
2011,마포구,1,20,284,-,-,-,-,-,-,1,130,"1,287.0",4,280,"1,786.0",2,48,407,1,956,"18,355.0",-,-,-,-,-,-,"6,694"
2011,양천구,1,150,"1,163.0",-,-,-,-,-,-,1,185,"1,591.0",2,69,291,15,877,"6,082.0",-,-,-,-,-,-,-,-,-,"7,396"
2011,강서구,-,-,-,-,-,-,-,-,-,-,-,-,3,244,"2,490.0",3,219,"1,112.0",-,-,-,-,-,-,-,-,-,"6,453"
2011,구로구,-,-,-,-,-,-,-,-,-,4,638,"4,784.0",5,125,"1,239.0",9,361,"2,750.0",1,"3,624","3,980.0",-,-,-,-,-,-,"6,315"
2011,금천구,-,-,-,-,-,-,1,146,"1,752.0",-,-,-,-,-,-,6,356,"1,800.0",1,750,"9,000.0",-,-,-,-,-,-,"3,808"
2011,영등포구,-,-,-,-,-,-,-,-,-,-,-,-,1,27,284,6,274,"1,410.0",-,-,-,-,-,-,-,-,-,"8,620"
2011,동작구,2,338,"2,673.0",-,-,-,-,-,-,3,402,"3,825.0",4,137,"1,584.0",10,394,"2,466.0",1,"2,113","6,339.0",-,-,-,-,-,-,"4,471"
2011,관악구,-,-,-,-,-,-,1,110,"1,595.0",-,-,-,1,34,596,8,361,"2,622.0",1,"1,340","24,120.0",-,-,-,-,-,-,"4,934"
2011,서초구,-,-,-,-,-,-,-,-,-,-,-,-,6,342,"2,688.0",14,556,"3,314.0",-,-,-,-,-,-,-,-,-,"10,224"
2011,강남구,-,-,-,-,-,-,-,-,-,-,-,-,7,727,"4,954.0",10,420,"2,806.0",-,-,-,-,-,-,-,-,-,"11,334"
2011,송파구,-,-,-,-,-,-,-,-,-,2,506,"7,443.0",7,512,"6,934.0",6,268,"1,329.0",1,"1,771","10,820.0",-,-,-,-,-,-,"9,034"
2011,강동구,-,-,-,-,-,-,-,-,-,-,-,-,1,34,599,7,194,"1,391.0",-,-,-,-,-,-,-,-,-,"6,092"
