기간,구분,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소
2017,합계,95,"83,114","1,383,833",40,"12,617","140,790",44,"24,718","445,394",150,"45,397","741,229",83,"4,972","49,724",159,"7,844","52,474",73,"83,095","1,080,855",7,"69,442","192,382",6,"1,593","19,630","272,031"
2017,안전총괄본부,36,"68,701","1,179,495",30,"10,314","107,025",4,"5,208","129,112",28,"9,565","168,507",-,-,-,-,-,-,1,230,"2,070",7,"69,442","192,382",6,"1,593","19,630","36,875"
2017,동부도로사업소,1,71,"1,306",-,-,-,3,"2,872","54,927",13,"7,070","110,195",-,-,-,-,-,-,1,394,"15,760",-,-,-,-,-,-,"9,206"
2017,서부도로사업소,14,"3,763","54,545",2,456,"6,663",6,"7,297","108,758",12,"3,682","51,017",-,-,-,-,-,-,12,"17,452","266,644",-,-,-,-,-,-,"10,935"
2017,남부도로사업소,8,"2,563","35,782",2,91,"2,586",6,"1,958","35,409",11,"3,744","61,432",-,-,-,-,-,-,14,"17,335","306,349",-,-,-,-,-,-,"7,529"
2017,북부도로사업소,9,985,"12,390",-,-,-,8,"4,193","64,295",8,"2,241","42,106",-,-,-,-,-,-,16,"16,421","243,623",-,-,-,-,-,-,"6,348"
2017,성동도로사업소,9,"1,769","28,431",-,-,-,3,740,"14,992",12,"3,325","50,614",-,-,-,-,-,-,1,"4,715","35,431",-,-,-,-,-,-,"4,845"
2017,강서도로사업소,7,"2,165","38,291",6,"1,756","24,516",5,805,"14,500",23,"8,690","166,427",-,-,-,-,-,-,4,"2,904","31,742",-,-,-,-,-,-,"10,507"
2017,종로구,-,-,-,-,-,-,-,-,-,1,209,"1,762",5,580,"5,765",3,162,968,2,160,775,-,-,-,-,-,-,"8,986"
2017,중구,-,-,-,-,-,-,-,-,-,1,109,858,13,921,"8,979",2,55,322,-,-,-,-,-,-,-,-,-,"8,641"
2017,용산구,1,256,"4,096",-,-,-,-,-,-,5,"1,082","29,584",4,117,779,13,502,"2,917",1,390,"7,800",-,-,-,-,-,-,"7,291"
2017,성동구,-,-,-,-,-,-,-,-,-,4,136,"1,204",5,192,"1,881",4,100,782,-,-,-,-,-,-,-,-,-,"5,662"
2017,광진구,-,-,-,-,-,-,-,-,-,1,72,504,3,238,"1,467",-,-,-,-,-,-,-,-,-,-,-,-,"4,852"
2017,동대문구,4,"2,219","22,653",-,-,-,-,-,-,7,"1,919","15,180",2,87,610,8,337,"1,948",2,"1,171","3,606",-,-,-,-,-,-,"8,096"
2017,중랑구,-,-,-,-,-,-,-,-,-,1,300,"3,088",3,209,614,6,187,"1,316",-,-,-,-,-,-,-,-,-,"5,698"
2017,성북구,-,-,-,-,-,-,-,-,-,5,401,"6,841",3,94,"1,303",5,331,"1,480",2,"1,390","19,110",-,-,-,-,-,-,"5,373"
2017,강북구,-,-,-,-,-,-,1,815,"12,225",-,-,-,-,-,-,1,22,108,5,"4,583","35,938",-,-,-,-,-,-,"4,445"
2017,도봉구,-,-,-,-,-,-,-,-,-,1,315,"3,014",-,-,-,-,-,-,1,870,"5,505",-,-,-,-,-,-,"4,464"
2017,노원구,1,122,"2,318",-,-,-,1,45,540,3,512,"4,766",6,222,"3,797",7,638,"3,274",3,"2,264","11,712",-,-,-,-,-,-,"9,308"
2017,은평구,-,-,-,-,-,-,1,340,"3,400",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,554"
2017,서대문구,2,141,"1,569",-,-,-,-,-,-,-,-,-,2,78,909,8,271,"1,643",2,"1,595","15,417",-,-,-,-,-,-,"5,848"
2017,마포구,1,20,284,-,-,-,-,-,-,1,130,"1,287",1,36,590,3,84,761,1,956,"18,355",-,-,-,-,-,-,"7,941"
2017,양천구,-,-,-,-,-,-,-,-,-,-,-,-,2,69,291,16,"1,106","7,109",-,-,-,-,-,-,-,-,-,"7,198"
2017,강서구,-,-,-,-,-,-,-,-,-,-,-,-,2,201,"2,028",4,306,"1,426",-,-,-,-,-,-,-,-,-,"6,691"
2017,구로구,-,-,-,-,-,-,3,101,"2,833",4,596,"4,543",5,142,"2,266",9,388,"5,731",1,"3,624","3,980",-,-,-,-,-,-,"7,413"
2017,금천구,-,-,-,-,-,-,2,234,"2,808",-,-,-,1,26,143,8,456,"2,426",1,750,"9,000",-,-,-,-,-,-,"5,369"
2017,영등포구,-,-,-,-,-,-,-,-,-,-,-,-,1,27,284,8,487,"3,172",-,-,-,-,-,-,-,-,-,"9,209"
2017,동작구,2,339,"2,673",-,-,-,-,-,-,4,490,"4,705",4,137,"1,585",6,284,"1,656",1,"2,780","16,500",-,-,-,-,-,-,"5,483"
2017,관악구,-,-,-,-,-,-,1,110,"1,595",-,-,-,1,34,595,8,362,"3,821",1,"1,340","20,718",-,-,-,-,-,-,"4,895"
2017,서초구,-,-,-,-,-,-,-,-,-,2,284,"3,767",6,334,"2,944",17,713,"5,268",-,-,-,-,-,-,-,-,-,"11,699"
2017,강남구,-,-,-,-,-,-,-,-,-,-,-,-,7,728,"6,087",10,419,"2,790",-,-,-,-,-,-,-,-,-,"14,193"
2017,송파구,-,-,-,-,-,-,-,-,-,2,484,"9,646",6,466,"6,208",3,180,690,1,"1,771","10,820",-,-,-,-,-,-,"12,586"
2017,강동구,-,-,-,-,-,-,-,-,-,1,41,182,1,34,599,10,454,"2,866",-,-,-,-,-,-,-,-,-,"7,891"
